Pct	UniqueA	UniqueB	PerfectA	PerfectB
0	723150648	709903809	626299465	603049755
2	723603107	710319166	650169192	625956539
4	723997582	710695419	663767509	638994638
6	724199250	710920738	671932285	646831914
8	724266065	711001626	676467766	651188784
10	724307959	711037993	678618635	653254233
15	724223172	710971069	680219036	654791952
20	724138884	710882628	680701706	655255937
30	723986243	710730870	681055534	655596257
40	723814039	710548777	681148084	655690423
50	723682326	710423687	681168770	655715679
60	723540644	710286389	681159490	655712494
70	723398204	710142241	681147262	655704818
Auto	722039366	708842363	676084090	650934786	
