Pct	UniqueA	UniqueB	PerfectA	PerfectB
0	723150648	709903809	710177103	683776912
2	723603107	710319166	735909643	708977524
4	723997582	710695419	749715923	722229489
6	724199250	710920738	757994630	730146442
8	724266065	711001626	762658389	734626557
10	724307959	711037993	764806301	736678364
15	724223172	710971069	766238083	738045426
20	724138884	710882628	766716879	738518260
30	723986243	710730870	766990686	738763125
40	723814039	710548777	767041062	738856466
50	723682326	710423687	767020882	738840275
60	723540644	710286389	766954929	738784661
70	723398204	710142241	766808791	738608976
Auto	722039366	708842363	762688553	734725886
