Pct	Hap	Aligned	Correct	Overall
0	A	96.572620	94.318421	91.085770
0	B	96.608480	94.346469	91.146690
2	A	96.795900	94.375382	91.351500
10	A	97.015570	94.448860	91.630100
4	A	96.916410	94.412804	91.501500
6	A	96.979490	94.433462	91.581090
30	A	96.994770	94.444659	91.606380
8	A	97.005630	94.444075	91.616070
15	A	97.015550	94.450580	91.631750
50	A	96.970610	94.439965	91.579010
20	A	97.008220	94.447677	91.622010
60	A	96.962050	94.438164	91.569180
80	A	96.946770	94.438948	91.555510
40	A	96.981580	94.441161	91.590530
90	A	96.941620	94.437085	91.548840
70	A	96.955880	94.438666	91.563840
2	B	96.820790	94.400810	91.399610
6	B	96.985520	94.451048	91.603840
4	B	96.931090	94.433767	91.535680
10	B	97.016100	94.463981	91.645270
30	B	96.994780	94.459423	91.620710
15	B	97.015200	94.465166	91.645570
20	B	97.008380	94.462602	91.636640
50	B	96.971650	94.456875	91.596390
8	B	97.008980	94.462049	91.636670
60	B	96.964130	94.456940	91.589350
80	B	96.949310	94.457867	91.576250
40	B	96.982120	94.457205	91.606600
90	B	96.944530	94.456933	91.570830
70	B	96.957330	94.457603	91.583570
100	A	96.823430	94.335968	91.339320
100	B	96.825970	94.350090	91.355390
