Pct	Hap	Aligned	Correct	Overall
0	A	96.572620	94.318421	91.085770
2	A	96.766210	94.351200	91.300080
8	A	96.919420	94.397222	91.489240
4	A	96.869020	94.377026	91.422100
20	A	96.914610	94.400545	91.487920
90	A	96.876310	94.368437	91.420660
50	A	96.902230	94.402451	91.478080
70	A	96.893960	94.390187	91.458390
60	A	96.898170	94.390472	91.462640
6	A	96.907720	94.392108	91.473240
10	A	96.920490	94.399100	91.492070
30	A	96.903530	94.402216	91.479080
40	A	96.907920	94.402387	91.483390
15	A	96.919160	94.399116	91.490830
80	A	96.883310	94.378774	91.437280
0	B	96.608480	94.346469	91.146690
4	B	96.885930	94.402283	91.462530
8	B	96.931250	94.420313	91.522790
60	B	96.904910	94.413224	91.491050
20	B	96.925780	94.422970	91.520200
70	B	96.901220	94.412754	91.487110
50	B	96.910180	94.426984	91.509360
6	B	96.921620	94.415890	91.509410
15	B	96.930260	94.422877	91.524340
40	B	96.915900	94.426240	91.514040
90	B	96.880750	94.388194	91.443990
10	B	96.932390	94.422669	91.526150
30	B	96.915050	94.425613	91.512630
80	B	96.888820	94.399963	91.463010
2	B	96.793790	94.380042	91.354020
100	A	96.823430	94.335968	91.339320
100	B	96.825970	94.350090	91.355390
