Pct	Hap	Aligned	Correct	Overall
0	A	93.653250	83.340301	78.050900
0	B	93.673000	83.359954	78.085770
10	A	93.883370	83.459041	78.354160
2	A	93.792870	83.398344	78.221700
6	A	93.872480	83.453340	78.339720
50	A	93.915270	83.320231	78.250420
30	A	93.894340	83.455414	78.359910
40	A	93.898620	83.452898	78.361120
20	A	93.890080	83.457731	78.358530
70	A	93.940970	83.099738	78.064700
8	A	93.880410	83.457688	78.350420
90	A	93.966680	82.781184	77.786730
15	A	93.887560	83.458298	78.356960
60	A	93.937500	83.101296	78.063280
80	A	93.958670	82.852322	77.846940
4	A	93.848890	83.436714	78.304430
10	B	93.886630	83.464270	78.361790
6	B	93.877530	83.460717	78.350860
30	B	93.897100	83.459926	78.366450
50	B	93.917500	83.321532	78.253500
20	B	93.893180	83.462217	78.365330
2	B	93.805410	83.414357	78.247180
15	B	93.890660	83.463360	78.364300
40	B	93.901260	83.456196	78.366420
8	B	93.883680	83.463803	78.358890
60	B	93.938570	83.102787	78.065570
70	B	93.942090	83.100844	78.066670
80	B	93.959580	82.848295	77.843910
90	B	93.967360	82.778925	77.785170
4	B	93.856820	83.447095	78.320790
100	A	93.987350	82.447053	77.489800
100	B	93.987700	82.442362	77.485680
