Pct	Hap	Aligned	Correct	Overall
0	A	93.653250	83.340301	78.050900
0	B	93.673000	83.359954	78.085770
6	A	93.880630	83.446095	78.339720
30	A	93.930740	83.177190	78.128950
15	A	93.915890	83.351231	78.280050
60	A	93.951870	82.916721	77.901810
4	A	93.846040	83.443478	78.308400
70	A	93.959050	82.832500	77.828630
80	A	93.966930	82.732744	77.741420
20	A	93.921420	83.289829	78.226990
50	A	93.945950	82.982939	77.959110
40	A	93.938910	83.070540	78.035560
90	A	93.974670	82.629606	77.650900
8	A	93.898190	83.437263	78.346080
10	A	93.906830	83.414721	78.332120
2	A	93.779430	83.413687	78.224880
6	B	93.885380	83.448488	78.345930
15	B	93.916520	83.350916	78.280280
4	B	93.853900	83.449020	78.320160
30	B	93.931520	83.172369	78.125070
20	B	93.922280	83.288278	78.226250
60	B	93.952200	82.910725	77.896450
80	B	93.967370	82.729037	77.738300
40	B	93.939470	83.068044	78.033680
50	B	93.946250	82.977575	77.954320
70	B	93.959470	82.827787	77.824550
2	B	93.792100	83.425502	78.246530
10	B	93.907850	83.412452	78.330840
8	B	93.900750	83.437065	78.348030
90	B	93.975140	82.626033	77.647930
100	A	93.987350	82.447053	77.489800
100	B	93.987700	82.442362	77.485680
