Pct	Hap	Aligned	Correct	Overall
0	A	96.572620	94.318421	91.085770
20	A	96.886280	94.405720	91.466190
15	A	96.833920	94.389807	91.401350
6	A	96.694070	94.354504	91.235210
4	A	96.654160	94.342023	91.185490
10	A	96.763280	94.371005	91.316480
90	A	97.024370	94.455280	91.644640
30	A	96.960370	94.431127	91.560770
100	A	96.997610	94.441502	91.606000
2	A	96.611150	94.330810	91.134080
40	A	96.998030	94.444052	91.608870
8	A	96.730680	94.363391	91.278350
50	A	97.018620	94.451972	91.636000
80	A	97.025300	94.456013	91.646230
60	A	97.024240	94.455138	91.644380
70	A	97.026110	94.455915	91.646900
0	B	96.608480	94.346469	91.146690
20	B	96.908070	94.429834	91.510130
10	B	96.796280	94.398638	91.374370
2	B	96.649370	94.360708	91.199030
30	B	96.969110	94.449500	91.586840
8	B	96.764650	94.391320	91.337430
100	B	96.998300	94.457748	91.622410
90	B	97.025320	94.471752	91.661520
50	B	97.019170	94.468382	91.652440
6	B	96.729290	94.383935	91.296910
40	B	97.002110	94.461698	91.629840
4	B	96.691130	94.371449	91.248820
15	B	96.859370	94.415223	91.449990
70	B	97.026290	94.471715	91.662400
80	B	97.025780	94.472150	91.662340
60	B	97.024520	94.470542	91.659590
