Pct	Hap	Aligned	Correct	Overall
0	A	96.572620	94.318421	91.085770
2	A	96.595640	94.333626	91.122170
20	A	96.880350	94.417237	91.471750
15	A	96.826070	94.400227	91.404030
70	A	97.009390	94.451785	91.627100
60	A	97.011180	94.454258	91.631190
90	A	97.003750	94.446823	91.616960
50	A	97.006830	94.456803	91.629550
8	A	96.721620	94.371765	91.277900
6	A	96.684780	94.364108	91.235730
4	A	96.641100	94.351306	91.182140
10	A	96.754620	94.380206	91.317210
30	A	96.954900	94.440353	91.564550
80	A	97.005970	94.449383	91.621540
40	A	96.990250	94.451690	91.608930
100	A	96.997610	94.441502	91.606000
0	B	96.608480	94.346469	91.146690
2	B	96.632440	94.364191	91.186420
60	B	97.010830	94.468504	91.644680
50	B	97.006690	94.470990	91.643180
8	B	96.756920	94.399553	91.338100
4	B	96.677570	94.379844	91.244140
20	B	96.903510	94.439180	91.514880
15	B	96.853820	94.424959	91.454180
80	B	97.006430	94.463913	91.636070
90	B	97.004250	94.462428	91.632570
40	B	96.993760	94.467469	91.627550
70	B	97.009960	94.465929	91.641360
6	B	96.718880	94.391881	91.294770
10	B	96.787060	94.407909	91.374640
30	B	96.962870	94.456878	91.588100
100	B	96.998300	94.457748	91.622410
