Pct	Region	Total	Hap	Aligned	Correct	Overall
0	Total	10000000	A	0.965726	0.943184	0.910858
0	Exome	83482	A	0.972293	0.950535	0.924199
0	NonConf	2375567	A	0.954941	0.772655	0.737840
0	Rep	3409405	A	0.958761	0.928236	0.889957
0	Alu	670574	A	0.945925	0.943271	0.892264
30	Total	10000000	A	0.969571	0.944188	0.915457
30	Exome	83482	A	0.974893	0.950286	0.926427
30	NonConf	2375567	A	0.959642	0.777351	0.745979
30	Rep	3409405	A	0.962059	0.930139	0.894849
30	Alu	670574	A	0.950228	0.944695	0.897676
4	Total	10000000	A	0.969136	0.944252	0.915109
4	Exome	83482	A	0.974521	0.951238	0.927002
4	NonConf	2375567	A	0.960007	0.777296	0.746210
4	Rep	3409405	A	0.962477	0.930148	0.895246
4	Alu	670574	A	0.949885	0.945294	0.897920
40	Total	10000000	A	0.969351	0.944043	0.915108
40	Exome	83482	A	0.974785	0.949986	0.926032
40	NonConf	2375567	A	0.959037	0.776799	0.744978
40	Rep	3409405	A	0.961549	0.929851	0.894097
40	Alu	670574	A	0.949570	0.944242	0.896624
60	Total	10000000	A	0.969103	0.943888	0.914725
60	Exome	83482	A	0.974677	0.949157	0.925122
60	NonConf	2375567	A	0.958391	0.776277	0.743977
60	Rep	3409405	A	0.960975	0.929505	0.893231
60	Alu	670574	A	0.948772	0.943842	0.895491
70	Total	10000000	A	0.968983	0.943785	0.914512
70	Exome	83482	A	0.974677	0.948936	0.924906
70	NonConf	2375567	A	0.958066	0.775911	0.743375
70	Rep	3409405	A	0.960693	0.929254	0.892727
70	Alu	670574	A	0.948305	0.943517	0.894742
100	Total	10000000	A	0.968234	0.943360	0.913393
100	Exome	83482	A	0.972976	0.949487	0.923828
100	NonConf	2375567	A	0.956332	0.774472	0.740652
100	Rep	3409405	A	0.958986	0.928152	0.890085
100	Alu	670574	A	0.943923	0.941193	0.888414
20	Total	10000000	A	0.969838	0.944333	0.915850
20	Exome	83482	A	0.975001	0.950464	0.926703
20	NonConf	2375567	A	0.960414	0.777856	0.747064
20	Rep	3409405	A	0.962682	0.930400	0.895680
20	Alu	670574	A	0.950945	0.945242	0.898873
8	Total	10000000	A	0.969961	0.944522	0.916150
8	Exome	83482	A	0.974773	0.950944	0.926954
8	NonConf	2375567	A	0.961068	0.778522	0.748213
8	Rep	3409405	A	0.963277	0.930706	0.896529
8	Alu	670574	A	0.951464	0.945777	0.899872
2	Total	10000000	A	0.967883	0.943890	0.913575
2	Exome	83482	A	0.973982	0.950609	0.925876
2	NonConf	2375567	A	0.958243	0.775690	0.743300
2	Rep	3409405	A	0.961055	0.929460	0.893263
2	Alu	670574	A	0.947315	0.944699	0.894927
6	Total	10000000	A	0.969714	0.944449	0.915845
6	Exome	83482	A	0.974701	0.951002	0.926942
6	NonConf	2375567	A	0.960779	0.778173	0.747652
6	Rep	3409405	A	0.963045	0.930581	0.896192
6	Alu	670574	A	0.950981	0.945573	0.899222
15	Total	10000000	A	0.969957	0.944427	0.916054
15	Exome	83482	A	0.974869	0.950445	0.926559
15	NonConf	2375567	A	0.960777	0.778242	0.747717
15	Rep	3409405	A	0.963014	0.930567	0.896149
15	Alu	670574	A	0.951284	0.945470	0.899410
10	Total	10000000	A	0.970034	0.944506	0.916203
10	Exome	83482	A	0.974857	0.950973	0.927062
10	NonConf	2375567	A	0.961131	0.778491	0.748232
10	Rep	3409405	A	0.963289	0.930671	0.896505
10	Alu	670574	A	0.951585	0.945766	0.899977
90	Total	10000000	A	0.968647	0.943591	0.914006
90	Exome	83482	A	0.973887	0.949263	0.924475
90	NonConf	2375567	A	0.957283	0.775196	0.742081
90	Rep	3409405	A	0.959924	0.928767	0.891546
90	Alu	670574	A	0.946814	0.942912	0.892762
50	Total	10000000	A	0.969200	0.943952	0.914879
50	Exome	83482	A	0.974821	0.949349	0.925445
50	NonConf	2375567	A	0.958632	0.776488	0.744366
50	Rep	3409405	A	0.961184	0.929635	0.893550
50	Alu	670574	A	0.949109	0.943972	0.895932
80	Total	10000000	A	0.968838	0.943676	0.914269
80	Exome	83482	A	0.974474	0.949036	0.924810
80	NonConf	2375567	A	0.957757	0.775528	0.742767
80	Rep	3409405	A	0.960344	0.928978	0.892139
80	Alu	670574	A	0.947639	0.943067	0.893687
0	Total	10000000	B	0.966085	0.943465	0.911467
0	Exome	83490	B	0.972428	0.950547	0.924338
0	NonConf	2375623	B	0.955547	0.773817	0.739419
0	Rep	3409357	B	0.959236	0.928532	0.890682
0	Alu	670528	B	0.946474	0.943059	0.892580
40	Total	10000000	B	0.969361	0.944227	0.915297
40	Exome	83490	B	0.974847	0.949859	0.925967
40	NonConf	2375623	B	0.959038	0.777517	0.745668
40	Rep	3409357	B	0.961532	0.930039	0.894262
40	Alu	670528	B	0.949576	0.944189	0.896579
60	Total	10000000	B	0.969116	0.944083	0.914925
60	Exome	83490	B	0.974692	0.949556	0.925524
60	NonConf	2375623	B	0.958404	0.777015	0.744694
60	Rep	3409357	B	0.960952	0.929767	0.893462
60	Alu	670528	B	0.948775	0.943840	0.895491
30	Total	10000000	B	0.969572	0.944392	0.915656
