Pct	DelSNPs	Total	Hap	Aligned	Correct	Overall
0	0	7622824	A	0.967457	0.995713	0.963309
0	1	1523	A	0.948129	0.998615	0.946815
0	2	75	A	0.853333	1.000000	0.853333
0	3	11	A	0.181818	1.000000	0.181818
2	0	7622824	A	0.969546	0.995789	0.965463
2	1	1523	A	0.961261	0.998634	0.959947
2	2	75	A	0.933333	1.000000	0.933333
2	3	11	A	0.727273	1.000000	0.727273
10	0	7622824	A	0.971443	0.995794	0.967357
10	1	1523	A	0.978989	0.999329	0.978332
10	2	75	A	1.000000	1.000000	1.000000
10	3	11	A	0.727273	1.000000	0.727273
8	0	7622824	A	0.971377	0.995803	0.967300
8	1	1523	A	0.978989	0.999329	0.978332
8	2	75	A	1.000000	1.000000	1.000000
8	3	11	A	0.727273	1.000000	0.727273
15	0	7622824	A	0.971418	0.995751	0.967291
15	1	1523	A	0.978989	0.999329	0.978332
15	2	75	A	1.000000	1.000000	1.000000
15	3	11	A	0.727273	1.000000	0.727273
20	0	7622824	A	0.971331	0.995710	0.967165
20	1	1523	A	0.979645	0.999330	0.978989
20	2	75	A	1.000000	1.000000	1.000000
20	3	11	A	0.727273	1.000000	0.727273
4	0	7622824	A	0.970640	0.995804	0.966568
4	1	1523	A	0.969140	0.998645	0.967827
4	2	75	A	0.946667	1.000000	0.946667
4	3	11	A	0.727273	1.000000	0.727273
6	0	7622824	A	0.971178	0.995811	0.967109
6	1	1523	A	0.973736	0.999326	0.973079
6	2	75	A	0.986667	1.000000	0.986667
6	3	11	A	0.727273	1.000000	0.727273
30	0	7622824	A	0.971093	0.995670	0.966888
30	1	1523	A	0.978989	0.999329	0.978332
30	2	75	A	1.000000	1.000000	1.000000
30	3	11	A	0.727273	1.000000	0.727273
0	0	7622674	B	0.967766	0.995750	0.963653
0	1	1623	B	0.940234	0.998034	0.938386
0	2	65	B	0.738462	1.000000	0.738462
0	3	15	B	0.400000	1.000000	0.400000
40	0	7622824	A	0.970909	0.995621	0.966657
40	1	1523	A	0.979645	0.999330	0.978989
40	2	75	A	1.000000	1.000000	1.000000
40	3	11	A	0.727273	1.000000	0.727273
2	0	7622674	B	0.969774	0.995812	0.965712
2	1	1623	B	0.957486	0.998069	0.955638
2	2	65	B	0.907692	1.000000	0.907692
2	3	15	B	0.800000	1.000000	0.800000
10	0	7622674	B	0.971456	0.995807	0.967383
10	1	1623	B	0.975970	0.998737	0.974738
10	2	65	B	0.953846	1.000000	0.953846
10	3	15	B	0.800000	1.000000	0.800000
8	0	7622674	B	0.971420	0.995818	0.967357
8	1	1623	B	0.975970	0.998737	0.974738
8	2	65	B	0.953846	1.000000	0.953846
8	3	15	B	0.800000	1.000000	0.800000
20	0	7622674	B	0.971328	0.995722	0.967173
20	1	1623	B	0.975970	0.998737	0.974738
20	2	65	B	0.953846	1.000000	0.953846
20	3	15	B	0.800000	1.000000	0.800000
6	0	7622674	B	0.971244	0.995828	0.967191
6	1	1623	B	0.973506	0.998734	0.972274
