Pct	Region	Total	Hap	Aligned	Correct	Overall
0	Total	10000000	A	0.984715	0.944019	0.929590
0	Exome	83464	A	0.991613	0.949000	0.941040
0	NonConf	2374550	A	0.971294	0.773696	0.751486
0	Rep	3408454	A	0.978968	0.929870	0.910313
0	Alu	669276	A	0.965621	0.948345	0.915742
2	Total	10000000	A	0.986954	0.944529	0.932207
2	Exome	83464	A	0.992440	0.949283	0.942107
2	NonConf	2374550	A	0.976023	0.776268	0.757655
2	Rep	3408454	A	0.981419	0.930686	0.913393
2	Alu	669276	A	0.969848	0.949231	0.920610
4	Total	10000000	A	0.987996	0.944898	0.933555
4	Exome	83464	A	0.992895	0.949596	0.942850
4	NonConf	2374550	A	0.977963	0.777987	0.760842
4	Rep	3408454	A	0.982637	0.931327	0.915157
4	Alu	669276	A	0.971695	0.949779	0.922896
10	Total	10000000	A	0.988888	0.945311	0.934807
10	Exome	83464	A	0.993314	0.949738	0.943389
10	NonConf	2374550	A	0.979383	0.779787	0.763710
10	Rep	3408454	A	0.983677	0.932100	0.916885
10	Alu	669276	A	0.973603	0.950369	0.925282
6	Total	10000000	A	0.988536	0.945120	0.934284
6	Exome	83464	A	0.993147	0.949742	0.943233
6	NonConf	2374550	A	0.978832	0.778954	0.762465
6	Rep	3408454	A	0.983271	0.931737	0.916150
6	Alu	669276	A	0.972781	0.950104	0.924244
15	Total	10000000	A	0.988899	0.945359	0.934864
15	Exome	83464	A	0.993314	0.949823	0.943473
15	NonConf	2374550	A	0.979345	0.779980	0.763869
15	Rep	3408454	A	0.983631	0.932179	0.916920
15	Alu	669276	A	0.973441	0.950301	0.925062
8	Total	10000000	A	0.988781	0.945252	0.934647
8	Exome	83464	A	0.993207	0.949853	0.943401
8	NonConf	2374550	A	0.979230	0.779527	0.763337
8	Rep	3408454	A	0.983573	0.931988	0.916678
8	Alu	669276	A	0.973358	0.950304	0.924986
20	Total	10000000	A	0.988833	0.945344	0.934788
20	Exome	83464	A	0.993326	0.949847	0.943509
20	NonConf	2374550	A	0.979199	0.779914	0.763692
20	Rep	3408454	A	0.983490	0.932131	0.916742
20	Alu	669276	A	0.973057	0.950122	0.924523
30	Total	10000000	A	0.988698	0.945328	0.934644
30	Exome	83464	A	0.993267	0.949869	0.943473
30	NonConf	2374550	A	0.978909	0.779846	0.763398
30	Rep	3408454	A	0.983227	0.932102	0.916468
30	Alu	669276	A	0.972397	0.950069	0.923845
80	Total	10000000	A	0.988349	0.945296	0.934282
80	Exome	83464	A	0.992979	0.949504	0.942838
80	NonConf	2374550	A	0.978147	0.779721	0.762682
80	Rep	3408454	A	0.982505	0.932053	0.915747
80	Alu	669276	A	0.971251	0.949577	0.922277
70	Total	10000000	A	0.988415	0.945297	0.934346
70	Exome	83464	A	0.993087	0.949654	0.943089
70	NonConf	2374550	A	0.978332	0.779714	0.762819
70	Rep	3408454	A	0.982652	0.932043	0.915873
70	Alu	669276	A	0.971495	0.949618	0.922549
60	Total	10000000	A	0.988487	0.945300	0.934416
60	Exome	83464	A	0.993111	0.949704	0.943161
60	NonConf	2374550	A	0.978493	0.779737	0.762968
60	Rep	3408454	A	0.982785	0.932043	0.915998
60	Alu	669276	A	0.971642	0.949675	0.922745
90	Total	10000000	A	0.988283	0.945304	0.934228
90	Exome	83464	A	0.992955	0.949515	0.942826
90	NonConf	2374550	A	0.977991	0.779718	0.762558
90	Rep	3408454	A	0.982375	0.932058	0.915631
90	Alu	669276	A	0.971099	0.949504	0.922062
40	Total	10000000	A	0.988632	0.945313	0.934566
40	Exome	83464	A	0.993243	0.949650	0.943233
40	NonConf	2374550	A	0.978792	0.779814	0.763276
40	Rep	3408454	A	0.983078	0.932082	0.916309
40	Alu	669276	A	0.972151	0.949895	0.923441
50	Total	10000000	A	0.988547	0.945299	0.934472
50	Exome	83464	A	0.993099	0.949908	0.943353
50	NonConf	2374550	A	0.978601	0.779741	0.763055
50	Rep	3408454	A	0.982913	0.932063	0.916136
50	Alu	669276	A	0.971920	0.949825	0.923154
0	Total	10000000	B	0.985066	0.944015	0.929918
0	Exome	83544	B	0.992148	0.950741	0.943275
0	NonConf	2374920	B	0.972038	0.773818	0.752181
0	Rep	3410121	B	0.979428	0.929994	0.910862
0	Alu	669905	B	0.966392	0.947693	0.915843
6	Total	10000000	B	0.988637	0.944979	0.934241
6	Exome	83544	B	0.993333	0.951209	0.944867
6	NonConf	2374920	B	0.979035	0.778477	0.762156
6	Rep	3410121	B	0.983415	0.931617	0.916166
6	Alu	669905	B	0.973111	0.949403	0.923874
4	Total	10000000	B	0.988159	0.944794	0.933607
4	Exome	83544	B	0.993129	0.951139	0.944604
4	NonConf	2374920	B	0.978222	0.777645	0.760709
4	Rep	3410121	B	0.982887	0.931279	0.915342
4	Alu	669905	B	0.972189	0.949098	0.922702
2	Total	10000000	B	0.987213	0.944481	0.932405
2	Exome	83544	B	0.992746	0.950831	0.943934
2	NonConf	2374920	B	0.976513	0.776198	0.757967
2	Rep	3410121	B	0.981760	0.930737	0.913761
2	Alu	669905	B	0.970418	0.948555	0.920495
8	Total	10000000	B	0.988851	0.945112	0.934575
8	Exome	83544	B	0.993465	0.951252	0.945035
8	NonConf	2374920	B	0.979387	0.779050	0.762991
8	Rep	3410121	B	0.983669	0.931851	0.916633
8	Alu	669905	B	0.973504	0.949589	0.924428
10	Total	10000000	B	0.988938	0.945154	0.934699
10	Exome	83544	B	0.993476	0.951192	0.944987
10	NonConf	2374920	B	0.979524	0.779247	0.763292
10	Rep	3410121	B	0.983751	0.931900	0.916758
10	Alu	669905	B	0.973644	0.949570	0.924543
15	Total	10000000	B	0.988936	0.945204	0.934746
15	Exome	83544	B	0.993417	0.950864	0.944604
15	NonConf	2374920	B	0.979465	0.779461	0.763454
15	Rep	3410121	B	0.983683	0.931990	0.916783
15	Alu	669905	B	0.973577	0.949539	0.924449
20	Total	10000000	B	0.988866	0.945181	0.934657
20	Exome	83544	B	0.993512	0.950760	0.944592
20	NonConf	2374920	B	0.979327	0.779372	0.763260
20	Rep	3410121	B	0.983548	0.931933	0.916601
20	Alu	669905	B	0.973107	0.949419	0.923886
80	Total	10000000	B	0.988385	0.945141	0.934163
80	Exome	83544	B	0.993141	0.950344	0.943826
80	NonConf	2374920	B	0.978247	0.779187	0.762237
80	Rep	3410121	B	0.982545	0.931842	0.915576
80	Alu	669905	B	0.971300	0.948953	0.921719
30	Total	10000000	B	0.988746	0.945167	0.934531
30	Exome	83544	B	0.993441	0.950624	0.944389
30	NonConf	2374920	B	0.979062	0.779306	0.762988
30	Rep	3410121	B	0.983317	0.931889	0.916343
30	Alu	669905	B	0.972593	0.949313	0.923295
60	Total	10000000	B	0.988514	0.945133	0.934276
60	Exome	83544	B	0.993309	0.950401	0.944041
60	NonConf	2374920	B	0.978561	0.779173	0.762468
60	Rep	3410121	B	0.982806	0.931795	0.915774
60	Alu	669905	B	0.971617	0.949044	0.922107
70	Total	10000000	B	0.988436	0.945131	0.934201
70	Exome	83544	B	0.993129	0.950319	0.943790
70	NonConf	2374920	B	0.978377	0.779155	0.762307
70	Rep	3410121	B	0.982648	0.931808	0.915639
70	Alu	669905	B	0.971387	0.948933	0.921781
90	Total	10000000	B	0.988332	0.945138	0.934110
90	Exome	83544	B	0.993105	0.950186	0.943634
90	NonConf	2374920	B	0.978132	0.779160	0.762121
90	Rep	3410121	B	0.982407	0.931837	0.915443
90	Alu	669905	B	0.971011	0.948886	0.921378
40	Total	10000000	B	0.988646	0.945141	0.934410
40	Exome	83544	B	0.993345	0.950487	0.944161
40	NonConf	2374920	B	0.978867	0.779205	0.762738
40	Rep	3410121	B	0.983082	0.931823	0.916059
40	Alu	669905	B	0.972101	0.949137	0.922656
50	Total	10000000	B	0.988564	0.945133	0.934325
50	Exome	83544	B	0.993261	0.950374	0.943970
50	NonConf	2374920	B	0.978691	0.779166	0.762562
50	Rep	3410121	B	0.982922	0.931820	0.915907
50	Alu	669905	B	0.971820	0.949114	0.922368
