Pct	Num	AlignMem	BuildMem
0	0		
2	10906		
4	21812		
6	32719		
8	43625		
10	54531		
15	81797		
20	109063		
30	163595		
40	218126		
50	272658		
60	327190		
70	381721		
80	436253		
90	490785		
100	545317		
