Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	912219	A	0.935683	0.980883	0.917796
0	1	69145	A	0.945361	0.985115	0.931289
10	0	912219	A	0.968853	0.991887	0.960993
10	1	69145	A	0.952549	0.987125	0.940285
6	0	912219	A	0.966127	0.990893	0.957328
6	1	69145	A	0.947357	0.985971	0.934066
8	0	912219	A	0.968314	0.991686	0.960263
8	1	69145	A	0.947559	0.985729	0.934037
2	0	912219	A	0.951878	0.986473	0.939001
2	1	69145	A	0.945983	0.985706	0.932461
15	0	912219	A	0.968606	0.991759	0.960623
15	1	69145	A	0.961125	0.989783	0.951305
50	0	912219	A	0.966763	0.990989	0.958052
50	1	69145	A	0.966549	0.990932	0.957784
20	0	912219	A	0.968412	0.991580	0.960258
20	1	69145	A	0.963815	0.990307	0.954472
80	0	912219	A	0.965929	0.990595	0.956845
80	1	69145	A	0.966274	0.990436	0.957032
4	0	912219	A	0.961138	0.989408	0.950957
4	1	69145	A	0.946677	0.985884	0.933314
100	0	912219	A	0.965515	0.990500	0.956343
100	1	69145	A	0.966129	0.990435	0.956888
30	0	912219	A	0.967787	0.991368	0.959433
30	1	69145	A	0.965623	0.990759	0.956700
90	0	912219	A	0.965680	0.990559	0.956563
90	1	69145	A	0.966259	0.990421	0.957003
40	0	912219	A	0.967161	0.991161	0.958613
40	1	69145	A	0.966418	0.990916	0.957640
60	0	912219	A	0.966466	0.990827	0.957601
60	1	69145	A	0.966563	0.990768	0.957640
70	0	912219	A	0.966205	0.990681	0.957201
70	1	69145	A	0.966418	0.990647	0.957379
0	0	912257	B	0.937868	0.981974	0.920962
0	1	69127	B	0.948067	0.985001	0.933846
8	0	912257	B	0.968310	0.991754	0.960326
8	1	69127	B	0.949846	0.986247	0.936783
10	0	912257	B	0.968709	0.991875	0.960839
10	1	69127	B	0.952869	0.987141	0.940617
15	0	912257	B	0.968522	0.991819	0.960599
15	1	69127	B	0.961158	0.989991	0.951538
20	0	912257	B	0.968332	0.991637	0.960234
20	1	69127	B	0.963285	0.991110	0.954721
2	0	912257	B	0.953437	0.987158	0.941193
2	1	69127	B	0.948804	0.985805	0.935336
6	0	912257	B	0.966306	0.990993	0.957602
6	1	69127	B	0.949745	0.986200	0.936638
80	0	912257	B	0.965996	0.990505	0.956825
80	1	69127	B	0.965657	0.991012	0.956978
4	0	912257	B	0.961991	0.989733	0.952114
4	1	69127	B	0.949296	0.986117	0.936118
100	0	912257	B	0.965603	0.990424	0.956357
100	1	69127	B	0.965643	0.991041	0.956992
40	0	912257	B	0.967135	0.991163	0.958588
40	1	69127	B	0.966034	0.991449	0.957773
50	0	912257	B	0.966757	0.990918	0.957977
50	1	69127	B	0.966019	0.991135	0.957455
70	0	912257	B	0.966232	0.990615	0.957164
70	1	69127	B	0.965686	0.991117	0.957108
30	0	912257	B	0.967705	0.991357	0.959342
30	1	69127	B	0.965556	0.991610	0.957455
90	0	912257	B	0.965788	0.990485	0.956599
90	1	69127	B	0.965744	0.991072	0.957122
60	0	912257	B	0.966483	0.990771	0.957563
60	1	69127	B	0.965701	0.991162	0.957166
