Pct	Region	Total	Hap	Aligned	Correct	Overall
0	Total	8380607	A	0.988460	0.998078	0.986559
0	Exome	73785	A	0.993007	0.996219	0.989253
0	NonConf	1182366	A	0.977696	0.990360	0.968270
0	Rep	2673976	A	0.983728	0.995122	0.978930
0	Alu	560203	A	0.967464	0.995212	0.962831
8	Total	8380607	A	0.990676	0.998136	0.988829
8	Exome	73785	A	0.993969	0.996209	0.990201
8	NonConf	1182366	A	0.982344	0.990680	0.973189
8	Rep	2673976	A	0.986354	0.995256	0.981675
8	Alu	560203	A	0.971334	0.995306	0.966775
2	Total	8380607	A	0.989796	0.998093	0.987908
2	Exome	73785	A	0.993576	0.996262	0.989862
2	NonConf	1182366	A	0.980551	0.990452	0.971188
2	Rep	2673976	A	0.985202	0.995157	0.980430
2	Alu	560203	A	0.969190	0.995244	0.964581
4	Total	8380607	A	0.990380	0.998115	0.988513
4	Exome	73785	A	0.993766	0.996209	0.989998
4	NonConf	1182366	A	0.981765	0.990578	0.972514
4	Rep	2673976	A	0.985944	0.995208	0.981219
4	Alu	560203	A	0.970450	0.995284	0.965873
15	Total	8380607	A	0.990677	0.998140	0.988834
15	Exome	73785	A	0.993942	0.996168	0.990133
15	NonConf	1182366	A	0.982346	0.990709	0.973219
15	Rep	2673976	A	0.986335	0.995261	0.981660
15	Alu	560203	A	0.971239	0.995304	0.966678
10	Total	8380607	A	0.990689	0.998139	0.988845
10	Exome	73785	A	0.993955	0.996209	0.990188
10	NonConf	1182366	A	0.982384	0.990701	0.973249
10	Rep	2673976	A	0.986372	0.995264	0.981701
10	Alu	560203	A	0.971369	0.995314	0.966817
20	Total	8380607	A	0.990650	0.998143	0.988810
20	Exome	73785	A	0.993874	0.996182	0.990079
20	NonConf	1182366	A	0.982278	0.990717	0.973160
20	Rep	2673976	A	0.986279	0.995269	0.981613
20	Alu	560203	A	0.971082	0.995318	0.966535
6	Total	8380607	A	0.990607	0.998127	0.988752
6	Exome	73785	A	0.993928	0.996209	0.990161
6	NonConf	1182366	A	0.982199	0.990632	0.972998
6	Rep	2673976	A	0.986247	0.995233	0.981546
6	Alu	560203	A	0.971060	0.995296	0.966493
