Pct	DelSNPs	Total	Hap	Aligned	Correct	Overall
0	0	9997164	A	0.984719	0.944003	0.929578
0	1	2629	A	0.976037	1.000000	0.976037
0	2	177	A	0.915254	1.000000	0.915254
0	3	28	A	0.750000	1.000000	0.750000
0	4	2	A	0.500000	1.000000	0.500000
6	0	9997164	A	0.987846	0.945026	0.933540
6	1	2629	A	0.987448	1.000000	0.987448
6	2	177	A	0.966102	1.000000	0.966102
6	3	28	A	0.892857	1.000000	0.892857
6	4	2	A	0.500000	1.000000	0.500000
4	0	9997164	A	0.987578	0.944856	0.933119
4	1	2629	A	0.985546	1.000000	0.985546
4	2	177	A	0.966102	1.000000	0.966102
4	3	28	A	0.892857	1.000000	0.892857
4	4	2	A	0.500000	1.000000	0.500000
10	0	9997164	A	0.987882	0.945110	0.933657
10	1	2629	A	0.987828	1.000000	0.987828
10	2	177	A	0.966102	1.000000	0.966102
10	3	28	A	0.892857	1.000000	0.892857
10	4	2	A	0.500000	1.000000	0.500000
8	0	9997164	A	0.987892	0.945084	0.933641
8	1	2629	A	0.987448	1.000000	0.987448
8	2	177	A	0.966102	1.000000	0.966102
8	3	28	A	0.892857	1.000000	0.892857
8	4	2	A	0.500000	1.000000	0.500000
15	0	9997164	A	0.987831	0.945121	0.933620
15	1	2629	A	0.987828	1.000000	0.987828
15	2	177	A	0.966102	1.000000	0.966102
15	3	28	A	0.892857	1.000000	0.892857
15	4	2	A	0.500000	1.000000	0.500000
2	0	9997164	A	0.986772	0.944525	0.932031
2	1	2629	A	0.982883	1.000000	0.982883
2	2	177	A	0.960452	1.000000	0.960452
2	3	28	A	0.857143	1.000000	0.857143
2	4	2	A	0.500000	1.000000	0.500000
20	0	9997164	A	0.987759	0.945152	0.933582
20	1	2629	A	0.987828	1.000000	0.987828
20	2	177	A	0.966102	1.000000	0.966102
20	3	28	A	0.892857	1.000000	0.892857
20	4	2	A	0.500000	1.000000	0.500000
30	0	9997164	A	0.988090	0.945204	0.933946
30	1	2629	A	0.990110	1.000000	0.990110
30	2	177	A	0.994350	1.000000	0.994350
30	3	28	A	0.928571	1.000000	0.928571
30	4	2	A	0.500000	1.000000	0.500000
50	0	9997164	A	0.987954	0.945058	0.933674
50	1	2629	A	0.990110	1.000000	0.990110
50	2	177	A	0.994350	1.000000	0.994350
50	3	28	A	0.964286	1.000000	0.964286
50	4	2	A	0.500000	1.000000	0.500000
40	0	9997164	A	0.988044	0.945136	0.933836
40	1	2629	A	0.990491	1.000000	0.990491
40	2	177	A	0.994350	1.000000	0.994350
40	3	28	A	0.964286	1.000000	0.964286
40	4	2	A	0.500000	1.000000	0.500000
70	0	9997164	A	0.987760	0.944840	0.933275
70	1	2629	A	0.990871	1.000000	0.990871
70	2	177	A	0.994350	1.000000	0.994350
70	3	28	A	0.964286	1.000000	0.964286
70	4	2	A	0.500000	1.000000	0.500000
80	0	9997164	A	0.987650	0.944747	0.933079
80	1	2629	A	0.990871	1.000000	0.990871
80	2	177	A	0.994350	1.000000	0.994350
80	3	28	A	0.964286	1.000000	0.964286
80	4	2	A	1.000000	1.000000	1.000000
60	0	9997164	A	0.987888	0.945045	0.933598
60	1	2629	A	0.990110	1.000000	0.990110
60	2	177	A	0.994350	1.000000	0.994350
60	3	28	A	0.964286	1.000000	0.964286
60	4	2	A	0.500000	1.000000	0.500000
90	0	9997164	A	0.987486	0.944586	0.932765
90	1	2629	A	0.990491	1.000000	0.990491
90	2	177	A	0.994350	1.000000	0.994350
90	3	28	A	0.964286	1.000000	0.964286
90	4	2	A	1.000000	1.000000	1.000000
0	0	9997058	B	0.985070	0.943999	0.929905
0	1	2727	B	0.976898	1.000000	0.976898
0	2	186	B	0.946237	1.000000	0.946237
0	3	26	B	0.884615	1.000000	0.884615
0	4	3	B	0.000000	-1.000000	0.000000
10	0	9997058	B	0.988040	0.944954	0.933652
10	1	2727	B	0.990466	1.000000	0.990466
10	2	186	B	0.989247	1.000000	0.989247
10	3	26	B	1.000000	1.000000	1.000000
10	4	3	B	0.666667	1.000000	0.666667
8	0	9997058	B	0.988050	0.944945	0.933653
8	1	2727	B	0.990466	1.000000	0.990466
8	2	186	B	0.989247	1.000000	0.989247
8	3	26	B	1.000000	1.000000	1.000000
8	4	3	B	0.666667	1.000000	0.666667
2	0	9997058	B	0.987056	0.944461	0.932236
