Pct	Region	Total	Hap	Aligned	Correct	Overall
6	Total	10000000	A	0.969108	0.944242	0.915073
6	Exome	83482	A	0.974438	0.951271	0.926954
6	NonConf	2375567	A	0.959702	0.777145	0.745827
6	Rep	3409405	A	0.962489	0.930007	0.895121
6	Alu	670574	A	0.949351	0.945053	0.897187
10	Total	10000000	A	0.969152	0.944298	0.915168
10	Exome	83482	A	0.974569	0.951056	0.926870
10	NonConf	2375567	A	0.959664	0.777352	0.745997
10	Rep	3409405	A	0.962475	0.930133	0.895229
10	Alu	670574	A	0.949297	0.945144	0.897222
50	Total	10000000	A	0.969185	0.944270	0.915172
50	Exome	83482	A	0.974689	0.950841	0.926775
50	NonConf	2375567	A	0.959365	0.777356	0.745768
50	Rep	3409405	A	0.961846	0.930108	0.894620
50	Alu	670574	A	0.948659	0.944571	0.896076
60	Total	10000000	A	0.969099	0.944166	0.914990
60	Exome	83482	A	0.974893	0.950557	0.926691
60	NonConf	2375567	A	0.959065	0.777029	0.745222
60	Rep	3409405	A	0.961525	0.929942	0.894162
60	Alu	670574	A	0.948197	0.944303	0.895385
90	Total	10000000	A	0.968751	0.943699	0.914210
90	Exome	83482	A	0.973958	0.949907	0.925169
90	NonConf	2375567	A	0.957765	0.775504	0.742751
90	Rep	3409405	A	0.960364	0.929012	0.892189
90	Alu	670574	A	0.947166	0.943318	0.893479
80	Total	10000000	A	0.968886	0.943851	0.914484
80	Exome	83482	A	0.974378	0.949817	0.925481
80	NonConf	2375567	A	0.958260	0.776024	0.743633
80	Rep	3409405	A	0.960756	0.929331	0.892860
80	Alu	670574	A	0.947515	0.943723	0.894192
2	Total	10000000	A	0.967822	0.943763	0.913394
2	Exome	83482	A	0.973958	0.950608	0.925852
2	NonConf	2375567	A	0.958175	0.775151	0.742730
2	Rep	3409405	A	0.961021	0.929176	0.892958
2	Alu	670574	A	0.947068	0.944410	0.894420
8	Total	10000000	A	0.969164	0.944284	0.915166
8	Exome	83482	A	0.974521	0.951263	0.927026
8	NonConf	2375567	A	0.959718	0.777303	0.745991
8	Rep	3409405	A	0.962517	0.930082	0.895220
8	Alu	670574	A	0.949363	0.945072	0.897216
4	Total	10000000	A	0.968799	0.944092	0.914635
4	Exome	83482	A	0.974438	0.951111	0.926799
4	NonConf	2375567	A	0.959363	0.776525	0.744969
4	Rep	3409405	A	0.962158	0.929773	0.894588
4	Alu	670574	A	0.948769	0.944873	0.896466
15	Total	10000000	A	0.969091	0.944293	0.915106
15	Exome	83482	A	0.974474	0.951199	0.926918
15	NonConf	2375567	A	0.959493	0.777304	0.745818
15	Rep	3409405	A	0.962316	0.930122	0.895071
15	Alu	670574	A	0.949050	0.945045	0.896894
20	Total	10000000	A	0.969033	0.944286	0.915045
20	Exome	83482	A	0.974509	0.951139	0.926894
20	NonConf	2375567	A	0.959329	0.777257	0.745645
20	Rep	3409405	A	0.962208	0.930112	0.894961
20	Alu	670574	A	0.948898	0.944927	0.896639
30	Total	10000000	A	0.969367	0.944345	0.915417
30	Exome	83482	A	0.974845	0.950972	0.927050
30	NonConf	2375567	A	0.959882	0.777589	0.746394
30	Rep	3409405	A	0.962376	0.930250	0.895250
30	Alu	670574	A	0.949323	0.944918	0.897031
40	Total	10000000	A	0.969282	0.944278	0.915272
40	Exome	83482	A	0.974641	0.950962	0.926847
40	NonConf	2375567	A	0.959597	0.777407	0.745997
40	Rep	3409405	A	0.962064	0.930143	0.894857
40	Alu	670574	A	0.949235	0.944675	0.896718
70	Total	10000000	A	0.969008	0.944069	0.914810
70	Exome	83482	A	0.974749	0.950218	0.926224
70	NonConf	2375567	A	0.958731	0.776736	0.744681
70	Rep	3409405	A	0.961241	0.929749	0.893713
70	Alu	670574	A	0.947918	0.944034	0.894866
6	Total	10000000	B	0.969233	0.944438	0.915380
6	Exome	83490	B	0.974464	0.951191	0.926901
6	NonConf	2375623	B	0.959888	0.777875	0.746673
6	Rep	3409357	B	0.962606	0.930218	0.895434
6	Alu	670528	B	0.949492	0.945029	0.897297
8	Total	10000000	B	0.969274	0.944457	0.915438
8	Exome	83490	B	0.974560	0.951356	0.927153
8	NonConf	2375623	B	0.959889	0.777962	0.746757
8	Rep	3409357	B	0.962601	0.930239	0.895449
8	Alu	670528	B	0.949458	0.945002	0.897239
80	Total	10000000	B	0.968926	0.944035	0.914700
80	Exome	83490	B	0.974452	0.950269	0.925991
80	NonConf	2375623	B	0.958311	0.776762	0.744379
80	Rep	3409357	B	0.960757	0.929543	0.893065
80	Alu	670528	B	0.947498	0.943610	0.894069
10	Total	10000000	B	0.969260	0.944461	0.915427
10	Exome	83490	B	0.974608	0.951186	0.927033
10	NonConf	2375623	B	0.959828	0.777971	0.746719
10	Rep	3409357	B	0.962552	0.930287	0.895450
10	Alu	670528	B	0.949441	0.945013	0.897235
20	Total	10000000	B	0.969142	0.944474	0.915330
20	Exome	83490	B	0.974536	0.951158	0.926937
20	NonConf	2375623	B	0.959510	0.778010	0.746508
20	Rep	3409357	B	0.962297	0.930340	0.895264
20	Alu	670528	B	0.949030	0.944872	0.896711
2	Total	10000000	B	0.968093	0.944012	0.913891
2	Exome	83490	B	0.973961	0.950871	0.926111
2	NonConf	2375623	B	0.958641	0.776137	0.744036
2	Rep	3409357	B	0.961371	0.929454	0.893549
2	Alu	670528	B	0.947422	0.944367	0.894714
30	Total	10000000	B	0.969439	0.944558	0.915692
30	Exome	83490	B	0.974787	0.950998	0.927021
30	NonConf	2375623	B	0.959974	0.778440	0.747283
30	Rep	3409357	B	0.962423	0.930541	0.895574
30	Alu	670528	B	0.949335	0.944980	0.897103
40	Total	10000000	B	0.969348	0.944492	0.915541
40	Exome	83490	B	0.974644	0.950893	0.926782
40	NonConf	2375623	B	0.959672	0.778250	0.746865
40	Rep	3409357	B	0.962110	0.930429	0.895176
40	Alu	670528	B	0.949301	0.944762	0.896863
50	Total	10000000	B	0.969243	0.944482	0.915433
50	Exome	83490	B	0.974704	0.950859	0.926806
50	NonConf	2375623	B	0.959449	0.778186	0.746630
50	Rep	3409357	B	0.961886	0.930413	0.894951
50	Alu	670528	B	0.948709	0.944675	0.896222
15	Total	10000000	B	0.969199	0.944466	0.915376
15	Exome	83490	B	0.974512	0.951107	0.926865
15	NonConf	2375623	B	0.959660	0.777997	0.746613
15	Rep	3409357	B	0.962401	0.930302	0.895323
15	Alu	670528	B	0.949177	0.944899	0.896877
4	Total	10000000	B	0.968967	0.944299	0.914994
4	Exome	83490	B	0.974452	0.951166	0.926865
4	NonConf	2375623	B	0.959643	0.777321	0.745951
4	Rep	3409357	B	0.962360	0.929951	0.894948
4	Alu	670528	B	0.949024	0.944788	0.896626
60	Total	10000000	B	0.969148	0.944356	0.915220
60	Exome	83490	B	0.974895	0.950733	0.926865
60	NonConf	2375623	B	0.959128	0.777764	0.745975
60	Rep	3409357	B	0.961537	0.930192	0.894414
60	Alu	670528	B	0.948248	0.944328	0.895457
70	Total	10000000	B	0.969062	0.944251	0.915038
70	Exome	83490	B	0.974751	0.950542	0.926542
70	NonConf	2375623	B	0.958803	0.777456	0.745428
70	Rep	3409357	B	0.961261	0.929951	0.893925
70	Alu	670528	B	0.948033	0.943967	0.894913
90	Total	10000000	B	0.968788	0.943867	0.914407
90	Exome	83490	B	0.974021	0.949964	0.925284
90	NonConf	2375623	B	0.957820	0.776189	0.743449
90	Rep	3409357	B	0.960373	0.929185	0.892364
90	Alu	670528	B	0.947177	0.943218	0.893394
