Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	816595	A	0.973697	0.996390	0.970182
0	1	62236	A	0.978116	0.997207	0.975384
8	0	816595	A	0.987694	0.996779	0.984513
8	1	62236	A	0.981506	0.997446	0.978999
2	0	816595	A	0.981352	0.996500	0.977917
2	1	62236	A	0.978887	0.997242	0.976187
4	0	816595	A	0.985463	0.996646	0.982158
4	1	62236	A	0.979096	0.997227	0.976380
15	0	816595	A	0.987742	0.996808	0.984588
15	1	62236	A	0.984543	0.997503	0.982084
10	0	816595	A	0.987756	0.996796	0.984592
10	1	62236	A	0.982984	0.997466	0.980494
20	0	816595	A	0.987730	0.996820	0.984588
20	1	62236	A	0.984944	0.997537	0.982518
6	0	816595	A	0.987248	0.996745	0.984035
6	1	62236	A	0.979272	0.997342	0.976669
30	0	816595	A	0.987636	0.996830	0.984505
30	1	62236	A	0.985298	0.997521	0.982856
40	0	816595	A	0.987992	0.996948	0.984977
40	1	62236	A	0.986471	0.997426	0.983932
60	0	816595	A	0.988511	0.997215	0.985758
60	1	62236	A	0.987708	0.997462	0.985201
50	0	816595	A	0.987999	0.996955	0.984990
50	1	62236	A	0.986792	0.997427	0.984253
0	0	816595	B	0.975333	0.996553	0.971971
0	1	62236	B	0.979674	0.997573	0.977296
8	0	816595	B	0.988162	0.996925	0.985124
8	1	62236	B	0.982422	0.997890	0.980349
4	0	816595	B	0.986226	0.996763	0.983033
4	1	62236	B	0.980606	0.997591	0.978244
6	0	816595	B	0.987809	0.996864	0.984711
6	1	62236	B	0.980783	0.997739	0.978565
10	0	816595	B	0.988210	0.996932	0.985177
10	1	62236	B	0.984205	0.997894	0.982133
15	0	816595	B	0.988207	0.996943	0.985186
15	1	62236	B	0.985555	0.998027	0.983611
20	0	816595	B	0.988196	0.996949	0.985181
20	1	62236	B	0.985941	0.998028	0.983996
30	0	816595	B	0.988123	0.996959	0.985117
30	1	62236	B	0.986005	0.998012	0.984045
2	0	816595	B	0.982514	0.996627	0.979200
2	1	62236	B	0.980317	0.997574	0.977939
40	0	816595	B	0.988341	0.997042	0.985417
40	1	62236	B	0.986985	0.998030	0.985041
50	0	816595	B	0.988338	0.997042	0.985415
50	1	62236	B	0.987194	0.998031	0.985250
60	0	816595	B	0.988723	0.997302	0.986056
60	1	62236	B	0.988351	0.998147	0.986519
80	0	816595	A	0.988674	0.997432	0.986135
80	1	62236	A	0.988431	0.997870	0.986326
90	0	816595	A	0.988927	0.997714	0.986667
90	1	62236	A	0.989267	0.997986	0.987274
70	0	816595	A	0.988357	0.997204	0.985593
70	1	62236	A	0.987788	0.997462	0.985282
80	0	816595	B	0.988828	0.997569	0.986424
80	1	62236	B	0.988865	0.998083	0.986969
90	0	816595	B	0.989004	0.997756	0.986785
90	1	62236	B	0.989074	0.998197	0.987290
70	0	816595	B	0.988539	0.997294	0.985864
70	1	62236	B	0.988383	0.998179	0.986583
