Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	816595	A	0.973697	0.996390	0.970182
0	1	62236	A	0.978116	0.997207	0.975384
6	0	816595	A	0.989486	0.998425	0.987927
6	1	62236	A	0.979369	0.997506	0.976927
2	0	816595	A	0.982652	0.997540	0.980235
2	1	62236	A	0.978983	0.997554	0.976589
15	0	816595	A	0.990846	0.998556	0.989416
15	1	62236	A	0.986069	0.998110	0.984205
30	0	816595	A	0.990398	0.998379	0.988792
30	1	62236	A	0.989026	0.998148	0.987194
4	0	816595	A	0.987136	0.998083	0.985244
4	1	62236	A	0.979192	0.997571	0.976814
70	0	816595	A	0.989450	0.998088	0.987558
70	1	62236	A	0.989604	0.997938	0.987563
100	0	816595	A	0.989073	0.997993	0.987088
100	1	62236	A	0.989202	0.997905	0.987130
8	0	816595	A	0.990634	0.998510	0.989159
8	1	62236	A	0.979240	0.997375	0.976669
10	0	816595	A	0.990933	0.998584	0.989530
10	1	62236	A	0.981699	0.997692	0.979433
20	0	816595	A	0.990725	0.998471	0.989210
20	1	62236	A	0.988062	0.998114	0.986198
40	0	816595	A	0.989949	0.998279	0.988245
40	1	62236	A	0.989492	0.998084	0.987596
90	0	816595	A	0.989211	0.997997	0.987230
90	1	62236	A	0.989186	0.997953	0.987162
50	0	816595	A	0.989820	0.998216	0.988054
50	1	62236	A	0.989717	0.997938	0.987676
60	0	816595	A	0.989592	0.998131	0.987743
60	1	62236	A	0.989765	0.998052	0.987837
80	0	816595	A	0.989307	0.998028	0.987356
80	1	62236	A	0.989267	0.997872	0.987162
0	0	816595	B	0.975333	0.996553	0.971971
0	1	62236	B	0.979674	0.997573	0.977296
2	0	816595	B	0.983679	0.997615	0.981332
2	1	62236	B	0.980461	0.997968	0.978469
6	0	816595	B	0.989848	0.998434	0.988298
6	1	62236	B	0.980911	0.998018	0.978967
10	0	816595	B	0.990976	0.998547	0.989536
10	1	62236	B	0.982454	0.998234	0.980719
4	0	816595	B	0.987716	0.998137	0.985875
4	1	62236	B	0.980735	0.997985	0.978758
100	0	816595	B	0.989090	0.997967	0.987079
100	1	62236	B	0.988801	0.998018	0.986840
15	0	816595	B	0.990877	0.998531	0.989421
15	1	62236	B	0.986664	0.998355	0.985041
30	0	816595	B	0.990432	0.998380	0.988828
30	1	62236	B	0.989186	0.998538	0.987740
40	0	816595	B	0.990021	0.998277	0.988315
40	1	62236	B	0.989331	0.998213	0.987563
8	0	816595	B	0.990823	0.998545	0.989382
8	1	62236	B	0.980927	0.998018	0.978983
60	0	816595	B	0.989639	0.998123	0.987781
60	1	62236	B	0.989363	0.997986	0.987371
70	0	816595	B	0.989504	0.998069	0.987594
70	1	62236	B	0.989058	0.997937	0.987017
20	0	816595	B	0.990771	0.998464	0.989249
20	1	62236	B	0.988046	0.998471	0.986535
90	0	816595	B	0.989246	0.997997	0.987264
90	1	62236	B	0.988785	0.998001	0.986808
50	0	816595	B	0.989862	0.998217	0.988097
50	1	62236	B	0.989572	0.998052	0.987644
80	0	816595	B	0.989344	0.998028	0.987393
80	1	62236	B	0.988849	0.997920	0.986792
