Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	816595	A	0.973697	0.996390	0.970182
0	1	62236	A	0.978116	0.997207	0.975384
50	0	816595	A	0.989939	0.998316	0.988272
50	1	62236	A	0.989861	0.998117	0.987997
4	0	816595	A	0.987488	0.998124	0.985635
4	1	62236	A	0.979224	0.997572	0.976846
80	0	816595	A	0.989557	0.998196	0.987771
80	1	62236	A	0.989700	0.998084	0.987804
8	0	816595	A	0.990726	0.998518	0.989258
8	1	62236	A	0.979208	0.997457	0.976718
6	0	816595	A	0.989653	0.998435	0.988104
6	1	62236	A	0.979305	0.997506	0.976862
20	0	816595	A	0.990807	0.998560	0.989380
20	1	62236	A	0.987997	0.998309	0.986326
40	0	816595	A	0.990191	0.998361	0.988568
40	1	62236	A	0.989877	0.998198	0.988094
30	0	816595	A	0.990504	0.998435	0.988954
30	1	62236	A	0.989106	0.998083	0.987210
2	0	816595	A	0.982974	0.997551	0.980567
2	1	62236	A	0.979080	0.997620	0.976750
70	0	816595	A	0.989710	0.998231	0.987959
70	1	62236	A	0.989700	0.998084	0.987804
90	0	816595	A	0.989465	0.998151	0.987635
90	1	62236	A	0.989700	0.998036	0.987756
10	0	816595	A	0.990928	0.998570	0.989511
10	1	62236	A	0.981956	0.997889	0.979883
60	0	816595	A	0.989917	0.998276	0.988210
60	1	62236	A	0.989974	0.998166	0.988158
100	0	816595	A	0.989073	0.997993	0.987088
100	1	62236	A	0.989202	0.997905	0.987130
15	0	816595	A	0.990846	0.998591	0.989450
15	1	62236	A	0.986182	0.998371	0.984575
0	0	816595	B	0.975333	0.996553	0.971971
0	1	62236	B	0.979674	0.997573	0.977296
50	0	816595	B	0.990043	0.998335	0.988394
50	1	62236	B	0.989540	0.998328	0.987885
80	0	816595	B	0.989678	0.998186	0.987883
80	1	62236	B	0.989588	0.998181	0.987788
6	0	816595	B	0.989989	0.998474	0.988478
6	1	62236	B	0.980879	0.998034	0.978951
8	0	816595	B	0.990852	0.998573	0.989438
8	1	62236	B	0.980911	0.998018	0.978967
30	0	816595	B	0.990567	0.998448	0.989030
30	1	62236	B	0.989186	0.998571	0.987772
4	0	816595	B	0.987995	0.998188	0.986205
4	1	62236	B	0.980702	0.998018	0.978758
70	0	816595	B	0.989832	0.998232	0.988082
70	1	62236	B	0.989620	0.998133	0.987772
2	0	816595	B	0.983930	0.997625	0.981593
2	1	62236	B	0.980526	0.997968	0.978533
20	0	816595	B	0.990850	0.998558	0.989421
20	1	62236	B	0.988094	0.998634	0.986744
100	0	816595	B	0.989090	0.997967	0.987079
100	1	62236	B	0.988801	0.998018	0.986840
40	0	816595	B	0.990253	0.998385	0.988654
40	1	62236	B	0.989556	0.998522	0.988094
10	0	816595	B	0.990973	0.998544	0.989531
10	1	62236	B	0.982823	0.998332	0.981185
90	0	816595	B	0.989535	0.998165	0.987719
90	1	62236	B	0.989492	0.998149	0.987660
60	0	816595	B	0.989983	0.998267	0.988267
60	1	62236	B	0.989717	0.998312	0.988046
15	0	816595	B	0.990888	0.998559	0.989460
15	1	62236	B	0.986824	0.998486	0.985330
