Pct	Region	Total	Hap	Aligned	Correct	Overall
0	Total	8384247	A	0.967147	0.997336	0.964570
0	Exome	73771	A	0.973242	0.995613	0.968972
0	NonConf	1185057	A	0.954102	0.988555	0.943182
0	Rep	2673883	A	0.962236	0.993826	0.956295
0	Alu	560997	A	0.945413	0.990897	0.936807
6	Total	8384247	A	0.971410	0.997642	0.969119
6	Exome	73771	A	0.975316	0.995803	0.971222
6	NonConf	1185057	A	0.963300	0.990157	0.953819
6	Rep	2673883	A	0.966878	0.994598	0.961655
6	Alu	560997	A	0.951130	0.992560	0.944053
2	Total	8384247	A	0.969407	0.997515	0.966998
2	Exome	73771	A	0.974692	0.995856	0.970652
2	NonConf	1185057	A	0.959178	0.989427	0.949037
2	Rep	2673883	A	0.964524	0.994251	0.958978
2	Alu	560997	A	0.947151	0.991921	0.939499
4	Total	8384247	A	0.970732	0.997602	0.968404
4	Exome	73771	A	0.975166	0.995927	0.971195
4	NonConf	1185057	A	0.961879	0.989947	0.952209
4	Rep	2673883	A	0.966099	0.994481	0.960768
4	Alu	560997	A	0.949834	0.992369	0.942586
8	Total	8384247	A	0.971667	0.997632	0.969366
8	Exome	73771	A	0.975397	0.995775	0.971276
8	NonConf	1185057	A	0.963784	0.990102	0.954244
8	Rep	2673883	A	0.967143	0.994562	0.961883
8	Alu	560997	A	0.951508	0.992499	0.944370
10	Total	8384247	A	0.971748	0.997632	0.969447
10	Exome	73771	A	0.975532	0.995845	0.971479
10	NonConf	1185057	A	0.963859	0.990181	0.954395
10	Rep	2673883	A	0.967196	0.994556	0.961931
10	Alu	560997	A	0.951568	0.992471	0.944404
40	Total	8384247	A	0.971316	0.997371	0.968763
40	Exome	73771	A	0.975424	0.995609	0.971140
40	NonConf	1185057	A	0.962349	0.989335	0.952085
40	Rep	2673883	A	0.966126	0.993847	0.960182
40	Alu	560997	A	0.948625	0.990599	0.939707
50	Total	8384247	A	0.971151	0.997302	0.968531
50	Exome	73771	A	0.975397	0.995511	0.971018
50	NonConf	1185057	A	0.961853	0.989100	0.951369
50	Rep	2673883	A	0.965767	0.993652	0.959636
50	Alu	560997	A	0.947641	0.990123	0.938281
90	Total	8384247	A	0.970729	0.997134	0.967947
90	Exome	73771	A	0.974245	0.995548	0.969907
90	NonConf	1185057	A	0.960794	0.988519	0.949764
90	Rep	2673883	A	0.964751	0.993176	0.958168
90	Alu	560997	A	0.944804	0.989052	0.934460
30	Total	8384247	A	0.971464	0.997461	0.968997
30	Exome	73771	A	0.975438	0.995678	0.971222
30	NonConf	1185057	A	0.962807	0.989619	0.952812
30	Rep	2673883	A	0.966468	0.994103	0.960769
30	Alu	560997	A	0.949599	0.991258	0.941297
15	Total	8384247	A	0.971722	0.997595	0.969385
15	Exome	73771	A	0.975410	0.995942	0.971452
15	NonConf	1185057	A	0.963624	0.990073	0.954058
15	Rep	2673883	A	0.967078	0.994442	0.961703
15	Alu	560997	A	0.951148	0.992245	0.943772
20	Total	8384247	A	0.971662	0.997536	0.969267
20	Exome	73771	A	0.975600	0.995776	0.971479
20	NonConf	1185057	A	0.963451	0.989837	0.953659
20	Rep	2673883	A	0.966922	0.994295	0.961406
20	Alu	560997	A	0.950627	0.991845	0.942875
