Pct	Region	Total	Hap	Aligned	Correct	Overall
0	Total	10000000	A	0.965726	0.943184	0.910858
0	Exome	83482	A	0.972293	0.950535	0.924199
0	NonConf	2375567	A	0.954941	0.772655	0.737840
0	Rep	3409405	A	0.958761	0.928236	0.889957
0	Alu	670574	A	0.945925	0.943271	0.892264
2	Total	10000000	A	0.967725	0.943501	0.913049
2	Exome	83482	A	0.973911	0.950519	0.925721
2	NonConf	2375567	A	0.957727	0.774136	0.741410
2	Rep	3409405	A	0.960415	0.928568	0.891810
2	Alu	670574	A	0.944559	0.943372	0.891071
0	Total	10000000	B	0.966085	0.943465	0.911467
0	Exome	83490	B	0.972428	0.950547	0.924338
0	NonConf	2375623	B	0.955547	0.773817	0.739419
0	Rep	3409357	B	0.959236	0.928532	0.890682
0	Alu	670528	B	0.946474	0.943059	0.892580
2	Total	10000000	B	0.968002	0.943789	0.913589
2	Exome	83490	B	0.973997	0.950848	0.926123
2	NonConf	2375623	B	0.958208	0.775286	0.742885
2	Rep	3409357	B	0.960798	0.928919	0.892503
2	Alu	670528	B	0.945066	0.943387	0.891563
4	Total	10000000	A	0.968850	0.943771	0.914372
4	Exome	83482	A	0.974438	0.950902	0.926595
4	NonConf	2375567	A	0.959252	0.775293	0.743701
4	Rep	3409405	A	0.961682	0.928972	0.893376
4	Alu	670574	A	0.946218	0.943722	0.892966
8	Total	10000000	A	0.969614	0.944009	0.915325
8	Exome	83482	A	0.974677	0.951086	0.927002
8	NonConf	2375567	A	0.960356	0.776317	0.745540
8	Rep	3409405	A	0.962568	0.929326	0.894540
8	Alu	670574	A	0.947567	0.943963	0.894468
6	Total	10000000	A	0.969400	0.943922	0.915038
6	Exome	83482	A	0.974617	0.951059	0.926918
6	NonConf	2375567	A	0.960067	0.775962	0.744975
6	Rep	3409405	A	0.962323	0.929201	0.894191
6	Alu	670574	A	0.947148	0.943867	0.893982
10	Total	10000000	A	0.969692	0.944042	0.915430
10	Exome	83482	A	0.974725	0.951064	0.927026
10	NonConf	2375567	A	0.960448	0.776460	0.745749
10	Rep	3409405	A	0.962655	0.929387	0.894678
10	Alu	670574	A	0.947749	0.944043	0.894716
15	Total	10000000	A	0.969715	0.944061	0.915470
15	Exome	83482	A	0.974785	0.951141	0.927158
15	NonConf	2375567	A	0.960456	0.776556	0.745848
15	Rep	3409405	A	0.962676	0.929441	0.894751
15	Alu	670574	A	0.947666	0.944041	0.894635
20	Total	10000000	A	0.969689	0.944068	0.915453
20	Exome	83482	A	0.974797	0.951105	0.927134
20	NonConf	2375567	A	0.960417	0.776571	0.745832
20	Rep	3409405	A	0.962619	0.929447	0.894703
20	Alu	670574	A	0.947617	0.944041	0.894589
30	Total	10000000	A	0.969603	0.944075	0.915378
30	Exome	83482	A	0.974809	0.951216	0.927254
30	NonConf	2375567	A	0.960236	0.776566	0.745687
30	Rep	3409405	A	0.962452	0.929472	0.894572
30	Alu	670574	A	0.947348	0.944069	0.894362
40	Total	10000000	A	0.969496	0.944069	0.915271
40	Exome	83482	A	0.974677	0.950767	0.926691
40	NonConf	2375567	A	0.960043	0.776539	0.745511
40	Rep	3409405	A	0.962294	0.929473	0.894426
40	Alu	670574	A	0.947099	0.944094	0.894150
80	Total	10000000	A	0.969274	0.944069	0.915061
80	Exome	83482	A	0.974545	0.951080	0.926870
80	NonConf	2375567	A	0.959670	0.776512	0.745195
80	Rep	3409405	A	0.961879	0.929460	0.894028
80	Alu	670574	A	0.946398	0.943988	0.893388
90	Total	10000000	A	0.969140	0.944095	0.914960
90	Exome	83482	A	0.974426	0.951160	0.926835
90	NonConf	2375567	A	0.959323	0.776545	0.744957
90	Rep	3409405	A	0.961633	0.929520	0.893857
90	Alu	670574	A	0.946188	0.944042	0.893241
50	Total	10000000	A	0.969428	0.944052	0.915191
50	Exome	83482	A	0.974605	0.950898	0.926751
50	NonConf	2375567	A	0.959934	0.776460	0.745351
50	Rep	3409405	A	0.962173	0.929445	0.894287
50	Alu	670574	A	0.946901	0.944018	0.893891
70	Total	10000000	A	0.969325	0.944057	0.915098
70	Exome	83482	A	0.974521	0.951165	0.926930
70	NonConf	2375567	A	0.959747	0.776466	0.745211
70	Rep	3409405	A	0.961996	0.929456	0.894133
70	Alu	670574	A	0.946608	0.944029	0.893625
60	Total	10000000	A	0.969382	0.944060	0.915155
60	Exome	83482	A	0.974713	0.950707	0.926667
60	NonConf	2375567	A	0.959849	0.776480	0.745303
60	Rep	3409405	A	0.962089	0.929477	0.894240
60	Alu	670574	A	0.946752	0.944031	0.893763
4	Total	10000000	B	0.969020	0.944026	0.914780
4	Exome	83490	B	0.974428	0.950907	0.926590
4	NonConf	2375623	B	0.959557	0.776293	0.744897
4	Rep	3409357	B	0.961957	0.929272	0.893920
4	Alu	670528	B	0.946626	0.943659	0.893292
8	Total	10000000	B	0.969712	0.944244	0.915645
8	Exome	83490	B	0.974739	0.951021	0.926997
8	NonConf	2375623	B	0.960532	0.777224	0.746549
8	Rep	3409357	B	0.962727	0.929620	0.894970
8	Alu	670528	B	0.947868	0.943893	0.894686
6	Total	10000000	B	0.969513	0.944165	0.915380
