Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	817616	A	0.937586	0.995267	0.933148
0	1	62065	A	0.947265	0.996445	0.943898
30	0	817616	A	0.966267	0.995837	0.962244
30	1	62065	A	0.963715	0.996690	0.960525
15	0	817616	A	0.966657	0.995818	0.962614
15	1	62065	A	0.960525	0.996695	0.957351
20	0	817616	A	0.966596	0.995840	0.962574
20	1	62065	A	0.962362	0.996685	0.959172
40	0	817616	A	0.965824	0.995831	0.961797
40	1	62065	A	0.964134	0.996691	0.960944
50	0	817616	A	0.965539	0.995816	0.961499
50	1	62065	A	0.964295	0.996692	0.961105
90	0	817616	A	0.965070	0.995857	0.961072
90	1	62065	A	0.964779	0.996677	0.961573
70	0	817616	A	0.965320	0.995820	0.961285
70	1	62065	A	0.964666	0.996710	0.961492
60	0	817616	A	0.965450	0.995825	0.961418
60	1	62065	A	0.964586	0.996743	0.961444
80	0	817616	A	0.965221	0.995818	0.961185
80	1	62065	A	0.964521	0.996743	0.961379
8	0	817616	A	0.966309	0.995746	0.962199
8	1	62065	A	0.949182	0.996554	0.945912
4	0	817616	A	0.960423	0.995486	0.956087
4	1	62065	A	0.948409	0.996330	0.944929
6	0	817616	A	0.964607	0.995661	0.960422
6	1	62065	A	0.948925	0.996536	0.945638
10	0	817616	A	0.966580	0.995791	0.962512
10	1	62065	A	0.955305	0.996661	0.952115
2	0	817616	A	0.952004	0.995291	0.947522
2	1	62065	A	0.947813	0.996328	0.944333
0	0	817642	B	0.939722	0.995497	0.935490
0	1	62049	B	0.949862	0.996030	0.946091
15	0	817642	B	0.967017	0.996040	0.963188
15	1	62049	B	0.961144	0.996546	0.957824
30	0	817642	B	0.966604	0.996065	0.962800
30	1	62049	B	0.963771	0.996572	0.960467
40	0	817642	B	0.966188	0.996057	0.962378
40	1	62049	B	0.964238	0.996540	0.960902
50	0	817642	B	0.965936	0.996045	0.962115
50	1	62049	B	0.964173	0.996573	0.960870
70	0	817642	B	0.965690	0.996046	0.961872
70	1	62049	B	0.964367	0.996574	0.961063
2	0	817642	B	0.953733	0.995551	0.949490
2	1	62049	B	0.950394	0.996049	0.946639
60	0	817642	B	0.965798	0.996057	0.961989
60	1	62049	B	0.964528	0.996558	0.961208
4	0	817642	B	0.961443	0.995751	0.957358
4	1	62049	B	0.950974	0.996085	0.947251
80	0	817642	B	0.965606	0.996047	0.961789
80	1	62049	B	0.964625	0.996642	0.961385
8	0	817642	B	0.966748	0.995990	0.962871
8	1	62049	B	0.951522	0.996257	0.947960
10	0	817642	B	0.966939	0.996011	0.963082
10	1	62049	B	0.956276	0.996393	0.952828
20	0	817642	B	0.966959	0.996051	0.963140
20	1	62049	B	0.962304	0.996567	0.959000
90	0	817642	B	0.965445	0.996041	0.961623
90	1	62049	B	0.964754	0.996692	0.961563
6	0	817642	B	0.965098	0.995895	0.961137
6	1	62049	B	0.951345	0.996256	0.947783
