# Chr 9
# All populations
# Ranked by ambiguity + blowup
# Read length 100
Pct	Num	AlignMem	BuildMem
0	0	127.9	283.8
2	68319	142.1	292.7
4	136638	155.3	312.6
6	204958	163.9	323.9
8	273277	164.6	343.3
10	341597	192.9	352.1
15	512396	213.2	376.9
20	683194	233.6	393.8
30	1024792	277.1	444.2
40	1366389	341.7	483.8
50	1707987	371.4	552.0
60	2049584	492.8	602.6
70	2391181	553.9	688.5
80	2732779	644.3	780.2
90	3074376	863.2	937.6
100	3415974	1868.0	1750.9
