Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	7593243	A	0.967668	0.995708	0.963514
0	1	30500	A	0.916951	0.997390	0.914557
0	2	645	A	0.827907	0.985019	0.815504
0	3	43	A	0.558140	1.000000	0.558140
0	4	2	A	0.000000	-1.000000	0.000000
2	0	7593243	A	0.969770	0.995786	0.965683
2	1	30500	A	0.922361	0.997476	0.920033
2	2	645	A	0.826357	0.984991	0.813953
2	3	43	A	0.558140	1.000000	0.558140
2	4	2	A	0.000000	-1.000000	0.000000
8	0	7593243	A	0.971579	0.995805	0.967502
8	1	30500	A	0.927541	0.997667	0.925377
8	2	645	A	0.834109	0.985130	0.821705
8	3	43	A	0.558140	1.000000	0.558140
8	4	2	A	0.000000	-1.000000	0.000000
6	0	7593243	A	0.971361	0.995809	0.967289
6	1	30500	A	0.926557	0.997700	0.924426
6	2	645	A	0.832558	0.985102	0.820155
6	3	43	A	0.558140	1.000000	0.558140
6	4	2	A	0.000000	-1.000000	0.000000
10	0	7593243	A	0.971598	0.995792	0.967510
10	1	30500	A	0.938328	0.998183	0.936623
10	2	645	A	0.888372	0.994764	0.883721
10	3	43	A	0.860465	1.000000	0.860465
10	4	2	A	0.500000	1.000000	0.500000
15	0	7593243	A	0.971512	0.995755	0.967387
15	1	30500	A	0.953672	0.998556	0.952295
15	2	645	A	0.936434	0.995033	0.931783
15	3	43	A	0.860465	1.000000	0.860465
15	4	2	A	1.000000	1.000000	1.000000
4	0	7593243	A	0.970858	0.995802	0.966782
4	1	30500	A	0.925082	0.997519	0.922787
4	2	645	A	0.829457	0.985047	0.817054
4	3	43	A	0.558140	1.000000	0.558140
4	4	2	A	0.000000	-1.000000	0.000000
30	0	7593243	A	0.971194	0.995693	0.967011
30	1	30500	A	0.963410	0.998775	0.962230
30	2	645	A	0.955039	0.998377	0.953488
30	3	43	A	0.860465	1.000000	0.860465
30	4	2	A	1.000000	1.000000	1.000000
20	0	7593243	A	0.971404	0.995731	0.967257
20	1	30500	A	0.959508	0.998838	0.958393
20	2	645	A	0.941085	0.998353	0.939535
20	3	43	A	0.860465	1.000000	0.860465
20	4	2	A	1.000000	1.000000	1.000000
40	0	7593243	A	0.971021	0.995665	0.966811
40	1	30500	A	0.965148	0.998811	0.964000
40	2	645	A	0.962791	0.998390	0.961240
40	3	43	A	0.906977	1.000000	0.906977
40	4	2	A	1.000000	1.000000	1.000000
0	0	7598108	B	0.967935	0.995747	0.963819
0	1	25875	B	0.918300	0.996886	0.915440
0	2	358	B	0.796089	0.989474	0.787709
0	3	36	B	0.638889	1.000000	0.638889
50	0	7593243	A	0.970843	0.995661	0.966631
50	1	30500	A	0.966000	0.998948	0.964984
50	2	645	A	0.962791	0.998390	0.961240
50	3	43	A	0.906977	1.000000	0.906977
50	4	2	A	1.000000	1.000000	1.000000
60	0	7593243	A	0.970691	0.995687	0.966505
60	1	30500	A	0.965967	0.999016	0.965016
60	2	645	A	0.962791	0.998390	0.961240
60	3	43	A	0.906977	1.000000	0.906977
60	4	2	A	1.000000	1.000000	1.000000
70	0	7593243	A	0.970575	0.995685	0.966387
70	1	30500	A	0.965902	0.999084	0.965016
70	2	645	A	0.962791	0.998390	0.961240
70	3	43	A	0.930233	1.000000	0.930233
