Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	817616	A	0.937586	0.995267	0.933148
0	1	62065	A	0.947265	0.996445	0.943898
6	0	817616	A	0.966726	0.997189	0.964009
6	1	62065	A	0.949102	0.996554	0.945831
10	0	817616	A	0.969695	0.997438	0.967211
10	1	62065	A	0.954548	0.997063	0.951744
8	0	817616	A	0.969001	0.997387	0.966470
8	1	62065	A	0.949521	0.996589	0.946282
20	0	817616	A	0.969596	0.997424	0.967098
20	1	62065	A	0.962974	0.997172	0.960251
40	0	817616	A	0.968751	0.997344	0.966177
40	1	62065	A	0.965762	0.997397	0.963248
30	0	817616	A	0.969190	0.997403	0.966673
30	1	62065	A	0.964682	0.997445	0.962217
50	0	817616	A	0.968479	0.997275	0.965840
50	1	62065	A	0.966181	0.997382	0.963651
80	0	817616	A	0.967995	0.997241	0.965324
80	1	62065	A	0.967534	0.997386	0.965004
2	0	817616	A	0.952715	0.996059	0.948960
2	1	62065	A	0.947684	0.996549	0.944413
4	0	817616	A	0.961834	0.996755	0.958713
4	1	62065	A	0.948296	0.996704	0.945170
15	0	817616	A	0.969810	0.997432	0.967320
15	1	62065	A	0.961057	0.997217	0.958382
60	0	817616	A	0.968287	0.997287	0.965660
60	1	62065	A	0.966922	0.997434	0.964441
90	0	817616	A	0.967848	0.997225	0.965162
90	1	62065	A	0.967776	0.997370	0.965230
70	0	817616	A	0.968148	0.997276	0.965511
70	1	62065	A	0.967276	0.997352	0.964714
100	0	817616	A	0.967361	0.997038	0.964496
100	1	62065	A	0.967615	0.997153	0.964859
0	0	817642	B	0.939722	0.995497	0.935490
0	1	62049	B	0.949862	0.996030	0.946091
10	0	817642	B	0.969734	0.997512	0.967321
10	1	62049	B	0.954729	0.996641	0.951522
8	0	817642	B	0.969111	0.997492	0.966681
8	1	62049	B	0.951571	0.996342	0.948089
4	0	817642	B	0.962718	0.996871	0.959706
4	1	62049	B	0.951087	0.996289	0.947558
20	0	817642	B	0.969597	0.997515	0.967187
20	1	62049	B	0.962578	0.997304	0.959983
6	0	817642	B	0.967028	0.997312	0.964429
6	1	62049	B	0.951377	0.996341	0.947896
40	0	817642	B	0.968804	0.997399	0.966285
40	1	62049	B	0.964931	0.997445	0.962465
30	0	817642	B	0.969215	0.997486	0.966779
30	1	62049	B	0.964173	0.997443	0.961708
50	0	817642	B	0.968527	0.997382	0.965991
50	1	62049	B	0.965898	0.997430	0.963416
2	0	817642	B	0.954226	0.996243	0.950641
2	1	62049	B	0.950491	0.996185	0.946865
15	0	817642	B	0.969828	0.997525	0.967427
15	1	62049	B	0.960451	0.997332	0.957888
90	0	817642	B	0.967980	0.997309	0.965375
90	1	62049	B	0.967912	0.997419	0.965414
80	0	817642	B	0.968119	0.997327	0.965531
80	1	62049	B	0.967638	0.997468	0.965189
60	0	817642	B	0.968424	0.997381	0.965887
60	1	62049	B	0.966623	0.997432	0.964141
70	0	817642	B	0.968191	0.997354	0.965629
70	1	62049	B	0.967010	0.997417	0.964512
100	0	817642	B	0.967441	0.997067	0.964603
100	1	62049	B	0.967284	0.997201	0.964576
