Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	910654	A	0.965483	0.981711	0.947825
0	1	68635	A	0.970496	0.985227	0.956159
10	0	910654	A	0.988629	0.992813	0.981524
10	1	68635	A	0.974954	0.986341	0.961638
2	0	910654	A	0.976852	0.987132	0.964282
2	1	68635	A	0.973104	0.986061	0.959540
15	0	910654	A	0.988446	0.992718	0.981248
15	1	68635	A	0.982371	0.989766	0.972317
8	0	910654	A	0.987939	0.992438	0.980469
8	1	68635	A	0.974590	0.986500	0.961434
6	0	910654	A	0.986322	0.991542	0.977980
6	1	68635	A	0.974284	0.986571	0.961201
4	0	910654	A	0.982902	0.990113	0.973184
4	1	68635	A	0.973978	0.986268	0.960603
60	0	910654	A	0.986561	0.991843	0.978514
60	1	68635	A	0.985955	0.990853	0.976936
50	0	910654	A	0.986735	0.991992	0.978833
50	1	68635	A	0.985561	0.990967	0.976659
20	0	910654	A	0.988197	0.992547	0.980832
20	1	68635	A	0.984090	0.990480	0.974721
30	0	910654	A	0.987668	0.992405	0.980167
30	1	68635	A	0.985459	0.990937	0.976528
40	0	910654	A	0.987116	0.992182	0.979398
40	1	68635	A	0.985794	0.990984	0.976907
90	0	910654	A	0.985779	0.991545	0.977445
90	1	68635	A	0.985197	0.990772	0.976105
80	0	910654	A	0.986000	0.991599	0.977717
80	1	68635	A	0.985182	0.990860	0.976178
0	0	910755	B	0.967286	0.982873	0.950720
0	1	69176	B	0.973676	0.985747	0.959798
2	0	910755	B	0.978188	0.987738	0.966194
2	1	69176	B	0.975714	0.986681	0.962718
10	0	910755	B	0.988636	0.992720	0.981438
10	1	69176	B	0.977709	0.987196	0.965190
8	0	910755	B	0.988090	0.992311	0.980493
8	1	69176	B	0.977622	0.987121	0.965031
15	0	910755	B	0.988430	0.992664	0.981179
15	1	69176	B	0.983462	0.990284	0.973907
6	0	910755	B	0.986702	0.991466	0.978282
6	1	69176	B	0.976957	0.987142	0.964395
4	0	910755	B	0.983690	0.990207	0.974057
4	1	69176	B	0.976480	0.986884	0.963672
50	0	910755	B	0.986819	0.991871	0.978797
50	1	69176	B	0.986397	0.991808	0.978316
60	0	910755	B	0.986670	0.991756	0.978536
60	1	69176	B	0.986368	0.991881	0.978360
40	0	910755	B	0.987193	0.992116	0.979410
40	1	69176	B	0.986354	0.992144	0.978605
20	0	910755	B	0.988165	0.992532	0.980785
20	1	69176	B	0.984735	0.991398	0.976263
30	0	910755	B	0.987654	0.992331	0.980080
30	1	69176	B	0.986455	0.992145	0.978706
80	0	910755	B	0.986146	0.991529	0.977792
80	1	69176	B	0.985689	0.991787	0.977593
90	0	910755	B	0.985942	0.991451	0.977513
90	1	69176	B	0.985674	0.991655	0.977449
