Pct	Region	Total	Hap	Aligned	Correct	Overall
0	Total	10000000	A	0.984715	0.944019	0.929590
0	Exome	83464	A	0.991613	0.949000	0.941040
0	NonConf	2374550	A	0.971294	0.773696	0.751486
0	Rep	3408454	A	0.978968	0.929870	0.910313
0	Alu	669276	A	0.965621	0.948345	0.915742
4	Total	10000000	A	0.987944	0.945055	0.933662
4	Exome	83464	A	0.992883	0.949596	0.942838
4	NonConf	2374550	A	0.977544	0.778611	0.761127
4	Rep	3408454	A	0.982516	0.931711	0.915422
4	Alu	669276	A	0.971995	0.950087	0.923480
2	Total	10000000	A	0.986866	0.944700	0.932292
2	Exome	83464	A	0.992524	0.949348	0.942251
2	NonConf	2374550	A	0.975527	0.776917	0.757904
2	Rep	3408454	A	0.981329	0.931041	0.913658
2	Alu	669276	A	0.969788	0.949550	0.920862
6	Total	10000000	A	0.988489	0.945246	0.934366
6	Exome	83464	A	0.993255	0.949446	0.943041
6	NonConf	2374550	A	0.978434	0.779506	0.762695
6	Rep	3408454	A	0.983087	0.932121	0.916356
6	Alu	669276	A	0.973107	0.950255	0.924699
15	Total	10000000	A	0.988673	0.945307	0.934600
15	Exome	83464	A	0.993314	0.949002	0.942658
15	NonConf	2374550	A	0.978385	0.779893	0.763036
15	Rep	3408454	A	0.982918	0.932312	0.916387
15	Alu	669276	A	0.973474	0.949983	0.924784
8	Total	10000000	A	0.988718	0.945331	0.934666
8	Exome	83464	A	0.993159	0.949127	0.942634
8	NonConf	2374550	A	0.978769	0.779941	0.763383
8	Rep	3408454	A	0.983257	0.932326	0.916716
8	Alu	669276	A	0.973676	0.950281	0.925266
10	Total	10000000	A	0.988776	0.945352	0.934742
10	Exome	83464	A	0.993362	0.949126	0.942826
10	NonConf	2374550	A	0.978820	0.780059	0.763537
10	Rep	3408454	A	0.983255	0.932388	0.916775
10	Alu	669276	A	0.973761	0.950323	0.925388
20	Total	10000000	A	0.988534	0.945214	0.934377
20	Exome	83464	A	0.993314	0.948870	0.942526
20	NonConf	2374550	A	0.977956	0.779544	0.762360
20	Rep	3408454	A	0.982566	0.932185	0.915933
20	Alu	669276	A	0.973180	0.949672	0.924202
30	Total	10000000	A	0.988248	0.945092	0.933985
30	Exome	83464	A	0.993231	0.948492	0.942071
30	NonConf	2374550	A	0.977068	0.779068	0.761203
30	Rep	3408454	A	0.981906	0.931905	0.915042
30	Alu	669276	A	0.972478	0.949079	0.922959
40	Total	10000000	A	0.987997	0.944886	0.933545
40	Exome	83464	A	0.993303	0.948182	0.941831
40	NonConf	2374550	A	0.976413	0.778351	0.759992
40	Rep	3408454	A	0.981392	0.931464	0.914132
40	Alu	669276	A	0.971801	0.948497	0.921750
50	Total	10000000	A	0.987805	0.944750	0.933229
50	Exome	83464	A	0.993075	0.948206	0.941640
50	NonConf	2374550	A	0.975901	0.777835	0.759090
50	Rep	3408454	A	0.980946	0.931183	0.913440
50	Alu	669276	A	0.971326	0.948156	0.920968
60	Total	10000000	A	0.987633	0.944642	0.932959
60	Exome	83464	A	0.993015	0.947841	0.941220
60	NonConf	2374550	A	0.975437	0.777438	0.758342
60	Rep	3408454	A	0.980579	0.930937	0.912858
60	Alu	669276	A	0.970845	0.947926	0.920288
70	Total	10000000	A	0.987523	0.944558	0.932773
70	Exome	83464	A	0.992859	0.947772	0.941005
70	NonConf	2374550	A	0.975161	0.777123	0.757820
70	Rep	3408454	A	0.980330	0.930809	0.912500
70	Alu	669276	A	0.970525	0.947671	0.919739
80	Total	10000000	A	0.987414	0.944500	0.932612
80	Exome	83464	A	0.992416	0.947737	0.940549
80	NonConf	2374550	A	0.974825	0.776852	0.757294
80	Rep	3408454	A	0.980107	0.930666	0.912153
80	Alu	669276	A	0.970281	0.947521	0.919362
90	Total	10000000	A	0.987233	0.944395	0.932338
90	Exome	83464	A	0.991865	0.948022	0.940310
90	NonConf	2374550	A	0.974382	0.776525	0.756632
90	Rep	3408454	A	0.979681	0.930403	0.911499
90	Alu	669276	A	0.969473	0.947115	0.918203
0	Total	10000000	B	0.985066	0.944015	0.929918
0	Exome	83544	B	0.992148	0.950741	0.943275
0	NonConf	2374920	B	0.972038	0.773818	0.752181
0	Rep	3410121	B	0.979428	0.929994	0.910862
0	Alu	669905	B	0.966392	0.947693	0.915843
4	Total	10000000	B	0.988120	0.944918	0.933692
4	Exome	83544	B	0.993201	0.950829	0.944365
4	NonConf	2374920	B	0.977876	0.778154	0.760938
4	Rep	3410121	B	0.982761	0.931612	0.915552
4	Alu	669905	B	0.972359	0.949371	0.923129
8	Total	10000000	B	0.988772	0.945160	0.934547
8	Exome	83544	B	0.993405	0.950502	0.944233
8	NonConf	2374920	B	0.978926	0.779329	0.762905
8	Rep	3410121	B	0.983334	0.932098	0.916564
8	Alu	669905	B	0.973746	0.949649	0.924716
2	Total	10000000	B	0.987139	0.944608	0.932459
2	Exome	83544	B	0.992818	0.950726	0.943898
2	NonConf	2374920	B	0.976099	0.776691	0.758127
2	Rep	3410121	B	0.981683	0.931011	0.913958
2	Alu	669905	B	0.970435	0.948829	0.920777
15	Total	10000000	B	0.988710	0.945123	0.934452
15	Exome	83544	B	0.993476	0.949795	0.943599
15	NonConf	2374920	B	0.978503	0.779254	0.762503
15	Rep	3410121	B	0.982965	0.932045	0.916167
15	Alu	669905	B	0.973483	0.949312	0.924138
6	Total	10000000	B	0.988586	0.945084	0.934296
6	Exome	83544	B	0.993273	0.950700	0.944305
6	NonConf	2374920	B	0.978652	0.778948	0.762319
6	Rep	3410121	B	0.983223	0.931947	0.916311
6	Alu	669905	B	0.973299	0.949612	0.924256
20	Total	10000000	B	0.988549	0.945032	0.934210
20	Exome	83544	B	0.993488	0.949880	0.943694
20	NonConf	2374920	B	0.978006	0.778911	0.761780
20	Rep	3410121	B	0.982562	0.931864	0.915614
20	Alu	669905	B	0.973093	0.949007	0.923473
10	Total	10000000	B	0.988826	0.945170	0.934609
10	Exome	83544	B	0.993488	0.950410	0.944221
10	NonConf	2374920	B	0.978953	0.779421	0.763016
10	Rep	3410121	B	0.983322	0.932098	0.916553
10	Alu	669905	B	0.973847	0.949553	0.924719
50	Total	10000000	B	0.987806	0.944566	0.933048
50	Exome	83544	B	0.993345	0.948583	0.942270
50	NonConf	2374920	B	0.975946	0.777195	0.758501
50	Rep	3410121	B	0.980925	0.930919	0.913162
50	Alu	669905	B	0.971157	0.947472	0.920144
60	Total	10000000	B	0.987624	0.944472	0.932784
60	Exome	83544	B	0.993321	0.948317	0.941983
60	NonConf	2374920	B	0.975494	0.776866	0.757828
60	Rep	3410121	B	0.980535	0.930675	0.912559
60	Alu	669905	B	0.970573	0.947129	0.919259
30	Total	10000000	B	0.988242	0.944883	0.933773
30	Exome	83544	B	0.993381	0.949826	0.943539
30	NonConf	2374920	B	0.977112	0.778324	0.760509
30	Rep	3410121	B	0.981853	0.931595	0.914690
30	Alu	669905	B	0.972278	0.948404	0.922113
70	Total	10000000	B	0.987526	0.944399	0.932618
70	Exome	83544	B	0.993105	0.948028	0.941492
70	NonConf	2374920	B	0.975187	0.776576	0.757307
70	Rep	3410121	B	0.980297	0.930576	0.912241
70	Alu	669905	B	0.970354	0.947008	0.918933
80	Total	10000000	B	0.987410	0.944349	0.932459
80	Exome	83544	B	0.992818	0.948254	0.941444
80	NonConf	2374920	B	0.974880	0.776377	0.756874
80	Rep	3410121	B	0.980059	0.930441	0.911887
80	Alu	669905	B	0.970023	0.946889	0.918503
40	Total	10000000	B	0.987997	0.944710	0.933370
40	Exome	83544	B	0.993453	0.948998	0.942785
40	NonConf	2374920	B	0.976444	0.777715	0.759395
40	Rep	3410121	B	0.981357	0.931225	0.913864
40	Alu	669905	B	0.971705	0.947868	0.921049
90	Total	10000000	B	0.987237	0.944236	0.932184
90	Exome	83544	B	0.992028	0.948346	0.940786
90	NonConf	2374920	B	0.974409	0.775980	0.756122
90	Rep	3410121	B	0.979650	0.930191	0.911262
90	Alu	669905	B	0.969236	0.946474	0.917357
