Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	910654	A	0.965483	0.981711	0.947825
0	1	68635	A	0.970496	0.985227	0.956159
4	0	910654	A	0.982864	0.990192	0.973224
4	1	68635	A	0.974066	0.986329	0.960749
2	0	910654	A	0.976845	0.987267	0.964407
2	1	68635	A	0.973148	0.986061	0.959583
6	0	910654	A	0.986265	0.991621	0.978000
6	1	68635	A	0.974328	0.986587	0.961259
15	0	910654	A	0.988440	0.992731	0.981255
15	1	68635	A	0.982429	0.990049	0.972652
8	0	910654	A	0.987877	0.992456	0.980424
8	1	68635	A	0.974590	0.986471	0.961405
10	0	910654	A	0.988586	0.992830	0.981498
10	1	68635	A	0.975800	0.986920	0.963036
20	0	910654	A	0.988285	0.992622	0.980994
20	1	68635	A	0.984410	0.990720	0.975275
30	0	910654	A	0.987752	0.992448	0.980292
30	1	68635	A	0.985357	0.991025	0.976513
40	0	910654	A	0.987187	0.992232	0.979519
40	1	68635	A	0.986071	0.991164	0.977358
50	0	910654	A	0.986990	0.992068	0.979161
50	1	68635	A	0.985736	0.991206	0.977067
60	0	910654	A	0.986739	0.991917	0.978764
60	1	68635	A	0.985794	0.991073	0.976994
70	0	910654	A	0.986553	0.991876	0.978537
70	1	68635	A	0.985853	0.991029	0.977009
80	0	910654	A	0.986335	0.991798	0.978245
80	1	68635	A	0.985736	0.991087	0.976951
90	0	910654	A	0.986079	0.991708	0.977903
90	1	68635	A	0.985765	0.991043	0.976936
0	0	910755	B	0.967286	0.982873	0.950720
0	1	69176	B	0.973676	0.985747	0.959798
4	0	910755	B	0.983682	0.990275	0.974115
4	1	69176	B	0.976480	0.986913	0.963701
8	0	910755	B	0.988090	0.992349	0.980530
8	1	69176	B	0.977492	0.987163	0.964944
2	0	910755	B	0.978240	0.987787	0.966293
2	1	69176	B	0.975627	0.986680	0.962632
15	0	910755	B	0.988452	0.992643	0.981180
15	1	69176	B	0.983462	0.990431	0.974052
6	0	910755	B	0.986630	0.991513	0.978257
6	1	69176	B	0.976972	0.987142	0.964410
20	0	910755	B	0.988248	0.992543	0.980879
20	1	69176	B	0.985082	0.991665	0.976871
10	0	910755	B	0.988615	0.992732	0.981430
10	1	69176	B	0.978316	0.987411	0.966000
50	0	910755	B	0.986947	0.992050	0.979101
50	1	69176	B	0.986368	0.992071	0.978547
60	0	910755	B	0.986709	0.991965	0.978780
60	1	69176	B	0.986310	0.991910	0.978331
30	0	910755	B	0.987785	0.992380	0.980258
30	1	69176	B	0.986281	0.992041	0.978432
70	0	910755	B	0.986560	0.991926	0.978594
70	1	69176	B	0.986354	0.991851	0.978316
80	0	910755	B	0.986345	0.991828	0.978285
80	1	69176	B	0.986281	0.991763	0.978157
40	0	910755	B	0.987260	0.992189	0.979549
40	1	69176	B	0.986556	0.992161	0.978822
90	0	910755	B	0.986215	0.991647	0.977977
90	1	69176	B	0.985934	0.991789	0.977839
