Pct	Region	Total	Hap	Aligned	Correct	Overall
0	Total	8380607	A	0.988460	0.998078	0.986559
0	Exome	73785	A	0.993007	0.996219	0.989253
0	NonConf	1182366	A	0.977696	0.990360	0.968270
0	Rep	2673976	A	0.983728	0.995122	0.978930
0	Alu	560203	A	0.967464	0.995212	0.962831
50	Total	8380607	A	0.990947	0.998096	0.989060
50	Exome	73785	A	0.993901	0.995732	0.989659
50	NonConf	1182366	A	0.983449	0.991094	0.974691
50	Rep	2673976	A	0.986612	0.995242	0.981918
50	Alu	560203	A	0.973231	0.995002	0.968367
4	Total	8380607	A	0.990739	0.998272	0.989027
4	Exome	73785	A	0.993725	0.996181	0.989930
4	NonConf	1182366	A	0.983310	0.991475	0.974927
4	Rep	2673976	A	0.986816	0.995688	0.982561
4	Alu	560203	A	0.973649	0.996137	0.969888
80	Total	8380607	A	0.990752	0.998005	0.988775
80	Exome	73785	A	0.993359	0.995607	0.988995
80	NonConf	1182366	A	0.982786	0.990823	0.973767
80	Rep	2673976	A	0.986151	0.995005	0.981226
80	Alu	560203	A	0.972182	0.994552	0.966885
8	Total	8380607	A	0.991278	0.998310	0.989602
8	Exome	73785	A	0.993983	0.996100	0.990106
8	NonConf	1182366	A	0.984653	0.991721	0.976501
8	Rep	2673976	A	0.987506	0.995791	0.983350
8	Alu	560203	A	0.975077	0.996275	0.971444
6	Total	8380607	A	0.991113	0.998304	0.989432
6	Exome	73785	A	0.993888	0.996032	0.989944
6	NonConf	1182366	A	0.984239	0.991675	0.976045
6	Rep	2673976	A	0.987282	0.995775	0.983111
6	Alu	560203	A	0.974657	0.996247	0.971000
20	Total	8380607	A	0.991254	0.998256	0.989525
20	Exome	73785	A	0.994037	0.996019	0.990079
20	NonConf	1182366	A	0.984430	0.991629	0.976188
20	Rep	2673976	A	0.987323	0.995659	0.983037
20	Alu	560203	A	0.974789	0.995927	0.970820
40	Total	8380607	A	0.991047	0.998135	0.989198
40	Exome	73785	A	0.993955	0.995678	0.989659
40	NonConf	1182366	A	0.983754	0.991198	0.975095
40	Rep	2673976	A	0.986849	0.995340	0.982250
40	Alu	560203	A	0.973802	0.995205	0.969133
