Pct	DelSNPs	Total	Hap	Aligned	Correct	Overall
0	0	7622824	A	0.967457	0.995713	0.963309
0	1	1523	A	0.948129	0.998615	0.946815
0	2	75	A	0.853333	1.000000	0.853333
0	3	11	A	0.181818	1.000000	0.181818
8	0	7622824	A	0.971012	0.995783	0.966917
8	1	1523	A	0.977019	0.999328	0.976362
8	2	75	A	0.986667	1.000000	0.986667
8	3	11	A	0.727273	1.000000	0.727273
2	0	7622824	A	0.969520	0.995746	0.965396
2	1	1523	A	0.962574	0.998636	0.961261
2	2	75	A	0.920000	1.000000	0.920000
2	3	11	A	0.727273	1.000000	0.727273
15	0	7622824	A	0.971028	0.995783	0.966933
15	1	1523	A	0.977676	0.999328	0.977019
15	2	75	A	0.986667	1.000000	0.986667
15	3	11	A	0.727273	1.000000	0.727273
10	0	7622824	A	0.971035	0.995782	0.966939
10	1	1523	A	0.977019	0.999328	0.976362
10	2	75	A	0.986667	1.000000	0.986667
10	3	11	A	0.727273	1.000000	0.727273
20	0	7622824	A	0.970987	0.995793	0.966901
20	1	1523	A	0.977676	0.999328	0.977019
20	2	75	A	0.986667	1.000000	0.986667
20	3	11	A	0.727273	1.000000	0.727273
4	0	7622824	A	0.970501	0.995767	0.966393
4	1	1523	A	0.969140	0.998645	0.967827
4	2	75	A	0.973333	1.000000	0.973333
4	3	11	A	0.727273	1.000000	0.727273
6	0	7622824	A	0.970885	0.995776	0.966785
6	1	1523	A	0.974393	0.999326	0.973736
6	2	75	A	0.986667	1.000000	0.986667
6	3	11	A	0.727273	1.000000	0.727273
30	0	7622824	A	0.970885	0.995808	0.966815
30	1	1523	A	0.977676	0.999328	0.977019
30	2	75	A	0.986667	1.000000	0.986667
30	3	11	A	0.727273	1.000000	0.727273
40	0	7622824	A	0.970725	0.995834	0.966681
40	1	1523	A	0.977676	0.999328	0.977019
40	2	75	A	0.973333	1.000000	0.973333
40	3	11	A	0.727273	1.000000	0.727273
0	0	7622674	B	0.967766	0.995750	0.963653
0	1	1623	B	0.940234	0.998034	0.938386
0	2	65	B	0.738462	1.000000	0.738462
0	3	15	B	0.400000	1.000000	0.400000
60	0	7622824	A	0.970639	0.995816	0.966578
60	1	1523	A	0.978332	0.999329	0.977676
60	2	75	A	0.986667	1.000000	0.986667
60	3	11	A	0.727273	1.000000	0.727273
70	0	7622824	A	0.970501	0.995771	0.966396
70	1	1523	A	0.978332	0.999329	0.977676
70	2	75	A	0.986667	1.000000	0.986667
70	3	11	A	0.727273	1.000000	0.727273
50	0	7622824	A	0.970713	0.995803	0.966639
50	1	1523	A	0.978332	0.999329	0.977676
50	2	75	A	0.986667	1.000000	0.986667
50	3	11	A	0.727273	1.000000	0.727273
80	0	7622824	A	0.970495	0.995773	0.966393
80	1	1523	A	0.978989	0.999329	0.978332
80	2	75	A	0.986667	1.000000	0.986667
80	3	11	A	0.727273	1.000000	0.727273
90	0	7622824	A	0.970376	0.995713	0.966216
90	1	1523	A	0.979645	0.999330	0.978989
