Pct	DelSNPs	Total	Hap	Aligned	Correct	Overall
0	0	9997164	A	0.984719	0.944003	0.929578
0	1	2629	A	0.976037	1.000000	0.976037
0	2	177	A	0.915254	1.000000	0.915254
0	3	28	A	0.750000	1.000000	0.750000
0	4	2	A	0.500000	1.000000	0.500000
2	0	9997164	A	0.986956	0.944513	0.932193
2	1	2629	A	0.982503	1.000000	0.982503
2	2	177	A	0.983051	1.000000	0.983051
2	3	28	A	0.928571	1.000000	0.928571
2	4	2	A	1.000000	1.000000	1.000000
4	0	9997164	A	0.987996	0.944882	0.933540
4	1	2629	A	0.987067	1.000000	0.987067
4	2	177	A	0.988701	1.000000	0.988701
4	3	28	A	0.964286	1.000000	0.964286
4	4	2	A	1.000000	1.000000	1.000000
10	0	9997164	A	0.988888	0.945295	0.934791
10	1	2629	A	0.990110	1.000000	0.990110
10	2	177	A	0.988701	1.000000	0.988701
10	3	28	A	1.000000	1.000000	1.000000
10	4	2	A	1.000000	1.000000	1.000000
6	0	9997164	A	0.988535	0.945104	0.934269
6	1	2629	A	0.988589	1.000000	0.988589
6	2	177	A	0.988701	1.000000	0.988701
6	3	28	A	1.000000	1.000000	1.000000
6	4	2	A	1.000000	1.000000	1.000000
15	0	9997164	A	0.988898	0.945343	0.934848
15	1	2629	A	0.991251	1.000000	0.991251
15	2	177	A	0.988701	1.000000	0.988701
15	3	28	A	1.000000	1.000000	1.000000
15	4	2	A	1.000000	1.000000	1.000000
8	0	9997164	A	0.988781	0.945237	0.934632
8	1	2629	A	0.990110	1.000000	0.990110
8	2	177	A	0.988701	1.000000	0.988701
8	3	28	A	1.000000	1.000000	1.000000
8	4	2	A	1.000000	1.000000	1.000000
20	0	9997164	A	0.988832	0.945329	0.934772
20	1	2629	A	0.991251	1.000000	0.991251
20	2	177	A	0.988701	1.000000	0.988701
20	3	28	A	1.000000	1.000000	1.000000
20	4	2	A	1.000000	1.000000	1.000000
30	0	9997164	A	0.988698	0.945313	0.934628
30	1	2629	A	0.990491	1.000000	0.990491
30	2	177	A	0.994350	1.000000	0.994350
30	3	28	A	1.000000	1.000000	1.000000
30	4	2	A	1.000000	1.000000	1.000000
80	0	9997164	A	0.988348	0.945280	0.934266
80	1	2629	A	0.990491	1.000000	0.990491
80	2	177	A	0.994350	1.000000	0.994350
80	3	28	A	1.000000	1.000000	1.000000
80	4	2	A	1.000000	1.000000	1.000000
70	0	9997164	A	0.988414	0.945281	0.934329
70	1	2629	A	0.991632	1.000000	0.991632
70	2	177	A	0.994350	1.000000	0.994350
70	3	28	A	1.000000	1.000000	1.000000
70	4	2	A	1.000000	1.000000	1.000000
60	0	9997164	A	0.988486	0.945284	0.934401
60	1	2629	A	0.990110	1.000000	0.990110
60	2	177	A	0.994350	1.000000	0.994350
60	3	28	A	1.000000	1.000000	1.000000
60	4	2	A	1.000000	1.000000	1.000000
90	0	9997164	A	0.988282	0.945289	0.934212
90	1	2629	A	0.991251	1.000000	0.991251
90	2	177	A	0.994350	1.000000	0.994350
90	3	28	A	1.000000	1.000000	1.000000
90	4	2	A	1.000000	1.000000	1.000000
40	0	9997164	A	0.988631	0.945297	0.934550
40	1	2629	A	0.990871	1.000000	0.990871
40	2	177	A	0.994350	1.000000	0.994350
40	3	28	A	1.000000	1.000000	1.000000
40	4	2	A	1.000000	1.000000	1.000000
50	0	9997164	A	0.988546	0.945283	0.934456
50	1	2629	A	0.990871	1.000000	0.990871
50	2	177	A	0.994350	1.000000	0.994350
50	3	28	A	1.000000	1.000000	1.000000
50	4	2	A	1.000000	1.000000	1.000000
0	0	9997058	B	0.985070	0.943999	0.929905
0	1	2727	B	0.976898	1.000000	0.976898
0	2	186	B	0.946237	1.000000	0.946237
0	3	26	B	0.884615	1.000000	0.884615
0	4	3	B	0.000000	-1.000000	0.000000
6	0	9997058	B	0.988636	0.944963	0.934224
6	1	2727	B	0.990466	1.000000	0.990466
6	2	186	B	0.994624	1.000000	0.994624
6	3	26	B	1.000000	1.000000	1.000000
6	4	3	B	1.000000	1.000000	1.000000
4	0	9997058	B	0.988159	0.944778	0.933590
4	1	2727	B	0.988999	1.000000	0.988999
4	2	186	B	0.989247	1.000000	0.989247
4	3	26	B	1.000000	1.000000	1.000000
4	4	3	B	1.000000	1.000000	1.000000
2	0	9997058	B	0.987214	0.944465	0.932389
