Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	816595	A	0.973697	0.996390	0.970182
0	1	62236	A	0.978116	0.997207	0.975384
8	0	816595	A	0.988099	0.996775	0.984913
8	1	62236	A	0.979305	0.997391	0.976750
20	0	816595	A	0.988271	0.996833	0.985141
20	1	62236	A	0.985876	0.997539	0.983450
15	0	816595	A	0.988322	0.996822	0.985181
15	1	62236	A	0.984896	0.997520	0.982454
90	0	816595	A	0.987426	0.996876	0.984341
90	1	62236	A	0.987162	0.997558	0.984752
80	0	816595	A	0.987415	0.996867	0.984321
80	1	62236	A	0.987130	0.997558	0.984719
70	0	816595	A	0.987518	0.996866	0.984423
70	1	62236	A	0.987130	0.997558	0.984719
2	0	816595	A	0.981060	0.996492	0.977619
2	1	62236	A	0.978871	0.997242	0.976171
30	0	816595	A	0.988055	0.996841	0.984934
30	1	62236	A	0.986455	0.997573	0.984061
4	0	816595	A	0.985115	0.996616	0.981782
4	1	62236	A	0.979080	0.997227	0.976364
10	0	816595	A	0.988274	0.996802	0.985114
10	1	62236	A	0.982245	0.997481	0.979771
6	0	816595	A	0.987134	0.996739	0.983915
6	1	62236	A	0.979224	0.997342	0.976621
40	0	816595	A	0.987801	0.996846	0.984685
40	1	62236	A	0.986824	0.997574	0.984430
60	0	816595	A	0.987612	0.996862	0.984513
60	1	62236	A	0.987194	0.997559	0.984784
50	0	816595	A	0.987655	0.996857	0.984550
50	1	62236	A	0.986889	0.997574	0.984495
0	0	816595	B	0.975333	0.996553	0.971971
0	1	62236	B	0.979674	0.997573	0.977296
20	0	816595	B	0.988664	0.996955	0.985654
20	1	62236	B	0.986439	0.998094	0.984559
2	0	816595	B	0.982274	0.996620	0.978954
2	1	62236	B	0.980301	0.997591	0.977939
8	0	816595	B	0.988528	0.996901	0.985464
8	1	62236	B	0.980799	0.997788	0.978630
90	0	816595	B	0.987845	0.996979	0.984860
90	1	62236	B	0.987114	0.998047	0.985185
30	0	816595	B	0.988484	0.996960	0.985479
30	1	62236	B	0.987081	0.998079	0.985185
80	0	816595	B	0.987873	0.996952	0.984862
80	1	62236	B	0.987258	0.998080	0.985362
70	0	816595	B	0.987987	0.996958	0.984982
70	1	62236	B	0.987242	0.998079	0.985346
15	0	816595	B	0.988708	0.996953	0.985695
15	1	62236	B	0.985587	0.998027	0.983643
10	0	816595	B	0.988660	0.996933	0.985628
10	1	62236	B	0.983081	0.997957	0.981072
40	0	816595	B	0.988249	0.996954	0.985239
40	1	62236	B	0.987162	0.998079	0.985266
60	0	816595	B	0.988077	0.996952	0.985066
60	1	62236	B	0.987435	0.998096	0.985555
4	0	816595	B	0.985950	0.996741	0.982737
4	1	62236	B	0.980510	0.997591	0.978148
6	0	816595	B	0.987760	0.996825	0.984624
6	1	62236	B	0.980735	0.997755	0.978533
50	0	816595	B	0.988091	0.996956	0.985083
50	1	62236	B	0.987210	0.998096	0.985330
