Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
6	0	912219	A	0.964291	0.989055	0.953737
6	1	69145	A	0.947473	0.985850	0.934066
10	0	912219	A	0.964694	0.989412	0.954479
10	1	69145	A	0.955817	0.987774	0.944132
50	0	912219	A	0.965389	0.990078	0.955810
50	1	69145	A	0.962832	0.989801	0.953012
60	0	912219	A	0.965543	0.990294	0.956172
60	1	69145	A	0.963569	0.990184	0.954111
90	0	912219	A	0.965768	0.990762	0.956846
90	1	69145	A	0.965565	0.990669	0.956555
80	0	912219	A	0.965645	0.990609	0.956577
80	1	69145	A	0.964914	0.990497	0.955745
2	0	912219	A	0.951751	0.984413	0.936915
2	1	69145	A	0.945998	0.985583	0.932360
8	0	912219	A	0.964698	0.989415	0.954487
8	1	69145	A	0.953301	0.987105	0.941008
4	0	912219	A	0.960974	0.987520	0.948982
4	1	69145	A	0.946807	0.985794	0.933357
15	0	912219	A	0.964632	0.989393	0.954400
15	1	69145	A	0.957611	0.988477	0.946576
20	0	912219	A	0.964584	0.989378	0.954339
20	1	69145	A	0.958016	0.988678	0.947169
30	0	912219	A	0.965826	0.989994	0.956162
30	1	69145	A	0.961501	0.989576	0.951479
40	0	912219	A	0.965493	0.990142	0.955975
40	1	69145	A	0.962210	0.989704	0.952303
70	0	912219	A	0.965486	0.990414	0.956231
70	1	69145	A	0.963873	0.990322	0.954545
6	0	912257	B	0.964696	0.989393	0.954463
6	1	69127	B	0.949542	0.985816	0.936074
8	0	912257	B	0.965031	0.989654	0.955047
8	1	69127	B	0.953896	0.987231	0.941716
80	0	912257	B	0.965777	0.990549	0.956649
80	1	69127	B	0.964789	0.990764	0.955878
10	0	912257	B	0.965010	0.989671	0.955042
10	1	69127	B	0.956298	0.988276	0.945087
20	0	912257	B	0.964917	0.989651	0.954930
20	1	69127	B	0.958381	0.988891	0.947734
2	0	912257	B	0.953367	0.985295	0.939348
2	1	69127	B	0.948804	0.985409	0.934960
30	0	912257	B	0.966057	0.990172	0.956563
30	1	69127	B	0.961173	0.989675	0.951249
40	0	912257	B	0.965727	0.990250	0.956311
40	1	69127	B	0.961954	0.990075	0.952406
50	0	912257	B	0.965589	0.990173	0.956100
50	1	69127	B	0.962460	0.990320	0.953144
15	0	912257	B	0.964950	0.989656	0.954968
15	1	69127	B	0.958178	0.988843	0.947488
4	0	912257	B	0.961716	0.987959	0.950136
4	1	69127	B	0.949238	0.985720	0.935684
60	0	912257	B	0.965696	0.990322	0.956350
60	1	69127	B	0.962996	0.990551	0.953896
70	0	912257	B	0.965661	0.990383	0.956374
70	1	69127	B	0.963806	0.990769	0.954909
90	0	912257	B	0.965923	0.990586	0.956830
90	1	69127	B	0.965542	0.990996	0.956848
