Pct	Region	Total	Hap	Aligned	Correct	Overall
0	Total	10000000	A	0.965726	0.943184	0.910858
0	Exome	83482	A	0.972293	0.950535	0.924199
0	NonConf	2375567	A	0.954941	0.772655	0.737840
0	Rep	3409405	A	0.958761	0.928236	0.889957
0	Alu	670574	A	0.945925	0.943271	0.892264
2	Total	10000000	A	0.967676	0.943507	0.913009
2	Exome	83482	A	0.973875	0.950517	0.925685
2	NonConf	2375567	A	0.957485	0.774114	0.741202
2	Rep	3409405	A	0.960383	0.928581	0.891793
2	Alu	670574	A	0.944610	0.943380	0.891126
4	Total	10000000	A	0.968738	0.943771	0.914267
4	Exome	83482	A	0.974474	0.950830	0.926559
4	NonConf	2375567	A	0.958818	0.775226	0.743300
4	Rep	3409405	A	0.961590	0.928984	0.893302
4	Alu	670574	A	0.946213	0.943720	0.892960
10	Total	10000000	A	0.969331	0.944008	0.915056
10	Exome	83482	A	0.974713	0.951137	0.927086
10	NonConf	2375567	A	0.959602	0.776219	0.744862
10	Rep	3409405	A	0.962288	0.929344	0.894297
10	Alu	670574	A	0.947366	0.943977	0.894292
6	Total	10000000	A	0.969173	0.943923	0.914825
6	Exome	83482	A	0.974533	0.950993	0.926775
6	NonConf	2375567	A	0.959422	0.775867	0.744384
6	Rep	3409405	A	0.962100	0.929203	0.893986
6	Alu	670574	A	0.947014	0.943860	0.893849
15	Total	10000000	A	0.969329	0.944014	0.915060
15	Exome	83482	A	0.974737	0.950905	0.926882
15	NonConf	2375567	A	0.959575	0.776233	0.744854
15	Rep	3409405	A	0.962261	0.929378	0.894305
15	Alu	670574	A	0.947357	0.943993	0.894298
20	Total	10000000	A	0.969287	0.944022	0.915029
20	Exome	83482	A	0.974605	0.951181	0.927026
20	NonConf	2375567	A	0.959461	0.776232	0.744764
20	Rep	3409405	A	0.962158	0.929364	0.894195
20	Alu	670574	A	0.947172	0.943997	0.894128
8	Total	10000000	A	0.969310	0.943983	0.915011
8	Exome	83482	A	0.974665	0.951000	0.926906
8	NonConf	2375567	A	0.959593	0.776105	0.744744
8	Rep	3409405	A	0.962257	0.929301	0.894226
8	Alu	670574	A	0.947311	0.943958	0.894222
70	Total	10000000	A	0.968931	0.943812	0.914489
70	Exome	83482	A	0.974509	0.950451	0.926224
70	NonConf	2375567	A	0.958301	0.775704	0.743358
70	Rep	3409405	A	0.960974	0.929072	0.892814
70	Alu	670574	A	0.947120	0.943281	0.893400
90	Total	10000000	A	0.968803	0.943704	0.914262
90	Exome	83482	A	0.974533	0.949838	0.925649
90	NonConf	2375567	A	0.957857	0.775435	0.742755
90	Rep	3409405	A	0.960439	0.928956	0.892206
90	Alu	670574	A	0.946956	0.943185	0.893154
30	Total	10000000	A	0.969177	0.944022	0.914925
30	Exome	83482	A	0.974737	0.951028	0.927002
30	NonConf	2375567	A	0.959209	0.776217	0.744554
30	Rep	3409405	A	0.961959	0.929368	0.894014
30	Alu	670574	A	0.946871	0.943981	0.893828
40	Total	10000000	A	0.969050	0.944046	0.914828
40	Exome	83482	A	0.974677	0.951172	0.927086
40	NonConf	2375567	A	0.959026	0.776312	0.744503
40	Rep	3409405	A	0.961783	0.929419	0.893899
40	Alu	670574	A	0.946628	0.944011	0.893627
60	Total	10000000	A	0.969007	0.943979	0.914723
60	Exome	83482	A	0.974725	0.950806	0.926775
60	NonConf	2375567	A	0.958589	0.776163	0.744022
60	Rep	3409405	A	0.961239	0.929364	0.893341
60	Alu	670574	A	0.946798	0.943484	0.893288
50	Total	10000000	A	0.969064	0.943992	0.914789
50	Exome	83482	A	0.974677	0.950804	0.926727
50	NonConf	2375567	A	0.958670	0.776219	0.744138
50	Rep	3409405	A	0.961334	0.929381	0.893445
50	Alu	670574	A	0.947023	0.943486	0.893503
80	Total	10000000	A	0.968925	0.943819	0.914489
80	Exome	83482	A	0.974450	0.950510	0.926224
80	NonConf	2375567	A	0.958257	0.775737	0.743355
80	Rep	3409405	A	0.960883	0.929102	0.892758
80	Alu	670574	A	0.947172	0.943251	0.893421
0	Total	10000000	B	0.966085	0.943465	0.911467
0	Exome	83490	B	0.972428	0.950547	0.924338
0	NonConf	2375623	B	0.955547	0.773817	0.739419
0	Rep	3409357	B	0.959236	0.928532	0.890682
0	Alu	670528	B	0.946474	0.943059	0.892580
2	Total	10000000	B	0.967952	0.943796	0.913549
2	Exome	83490	B	0.973973	0.950847	0.926099
2	NonConf	2375623	B	0.957982	0.775271	0.742695
2	Rep	3409357	B	0.960774	0.928934	0.892496
2	Alu	670528	B	0.945115	0.943397	0.891618
4	Total	10000000	B	0.968905	0.944022	0.914668
4	Exome	83490	B	0.974476	0.950921	0.926650
4	NonConf	2375623	B	0.959165	0.776217	0.744520
4	Rep	3409357	B	0.961860	0.929273	0.893830
4	Alu	670528	B	0.946578	0.943646	0.893235
6	Total	10000000	B	0.969298	0.944157	0.915170
6	Exome	83490	B	0.974584	0.950976	0.926806
6	NonConf	2375623	B	0.959694	0.776782	0.745473
6	Rep	3409357	B	0.962299	0.929489	0.894446
6	Alu	670528	B	0.947328	0.943756	0.894046
15	Total	10000000	B	0.969427	0.944239	0.915371
