Pct	Region	Total	Hap	Aligned	Correct	Overall
0	Total	10000000	A	0.965726	0.943184	0.910858
0	Exome	83482	A	0.972293	0.950535	0.924199
0	NonConf	2375567	A	0.954941	0.772655	0.737840
0	Rep	3409405	A	0.958761	0.928236	0.889957
0	Alu	670574	A	0.945925	0.943271	0.892264
2	Total	10000000	A	0.967662	0.943512	0.913001
2	Exome	83482	A	0.973946	0.950521	0.925756
2	NonConf	2375567	A	0.957450	0.774131	0.741191
2	Rep	3409405	A	0.960369	0.928591	0.891790
2	Alu	670574	A	0.944619	0.943390	0.891144
8	Total	10000000	A	0.969194	0.943972	0.914892
8	Exome	83482	A	0.974629	0.950998	0.926870
8	NonConf	2375567	A	0.959390	0.776048	0.744533
8	Rep	3409405	A	0.962154	0.929282	0.894112
8	Alu	670574	A	0.947214	0.943949	0.894122
4	Total	10000000	A	0.968690	0.943770	0.914221
4	Exome	83482	A	0.974426	0.950877	0.926559
4	NonConf	2375567	A	0.958724	0.775213	0.743215
4	Rep	3409405	A	0.961546	0.928994	0.893271
4	Alu	670574	A	0.946160	0.943714	0.892904
20	Total	10000000	A	0.969146	0.944005	0.914879
20	Exome	83482	A	0.974533	0.950883	0.926667
20	NonConf	2375567	A	0.959206	0.776153	0.744491
20	Rep	3409405	A	0.962023	0.929370	0.894075
20	Alu	670574	A	0.946996	0.944022	0.893985
90	Total	10000000	A	0.968763	0.943684	0.914207
90	Exome	83482	A	0.974426	0.950103	0.925804
90	NonConf	2375567	A	0.957786	0.775382	0.742650
90	Rep	3409405	A	0.960415	0.928891	0.892121
90	Alu	670574	A	0.947099	0.942992	0.893107
50	Total	10000000	A	0.969022	0.944025	0.914781
50	Exome	83482	A	0.974833	0.951315	0.927374
50	NonConf	2375567	A	0.958676	0.776276	0.744197
50	Rep	3409405	A	0.961384	0.929429	0.893538
50	Alu	670574	A	0.946795	0.943501	0.893302
70	Total	10000000	A	0.968940	0.943902	0.914584
70	Exome	83482	A	0.974785	0.950453	0.926487
70	NonConf	2375567	A	0.958413	0.775983	0.743713
70	Rep	3409405	A	0.961002	0.929274	0.893034
70	Alu	670574	A	0.946932	0.943360	0.893297
60	Total	10000000	A	0.968982	0.943905	0.914626
60	Exome	83482	A	0.974797	0.950773	0.926811
60	NonConf	2375567	A	0.958447	0.775989	0.743745
60	Rep	3409405	A	0.961079	0.929259	0.893092
60	Alu	670574	A	0.946990	0.943363	0.893356
6	Total	10000000	A	0.969077	0.943921	0.914732
6	Exome	83482	A	0.974545	0.951006	0.926799
6	NonConf	2375567	A	0.959234	0.775840	0.744213
6	Rep	3409405	A	0.962008	0.929208	0.893905
6	Alu	670574	A	0.946923	0.943869	0.893772
10	Total	10000000	A	0.969205	0.943991	0.914921
10	Exome	83482	A	0.974629	0.950998	0.926870
10	NonConf	2375567	A	0.959377	0.776135	0.744606
10	Rep	3409405	A	0.962173	0.929330	0.894177
10	Alu	670574	A	0.947192	0.943978	0.894128
30	Total	10000000	A	0.969035	0.944022	0.914791
30	Exome	83482	A	0.974653	0.951036	0.926930
30	NonConf	2375567	A	0.958948	0.776185	0.744321
30	Rep	3409405	A	0.961799	0.929399	0.893895
30	Alu	670574	A	0.946622	0.943935	0.893549
40	Total	10000000	A	0.969079	0.944024	0.914834
40	Exome	83482	A	0.974749	0.951237	0.927218
40	NonConf	2375567	A	0.958806	0.776294	0.744315
40	Rep	3409405	A	0.961480	0.929444	0.893642
40	Alu	670574	A	0.946944	0.943557	0.893496
15	Total	10000000	A	0.969192	0.943991	0.914908
15	Exome	83482	A	0.974665	0.950914	0.926823
15	NonConf	2375567	A	0.959343	0.776121	0.744567
15	Rep	3409405	A	0.962127	0.929331	0.894135
15	Alu	670574	A	0.947166	0.943966	0.894092
80	Total	10000000	A	0.968833	0.943788	0.914373
80	Exome	83482	A	0.974509	0.950537	0.926307
80	NonConf	2375567	A	0.958090	0.775719	0.743209
80	Rep	3409405	A	0.960711	0.929069	0.892567
80	Alu	670574	A	0.947013	0.943161	0.893186
0	Total	10000000	B	0.966085	0.943465	0.911467
0	Exome	83490	B	0.972428	0.950547	0.924338
0	NonConf	2375623	B	0.955547	0.773817	0.739419
0	Rep	3409357	B	0.959236	0.928532	0.890682
0	Alu	670528	B	0.946474	0.943059	0.892580
4	Total	10000000	B	0.968859	0.944023	0.914625
4	Exome	83490	B	0.974464	0.950957	0.926674
4	NonConf	2375623	B	0.959072	0.776210	0.744441
4	Rep	3409357	B	0.961818	0.929279	0.893798
4	Alu	670528	B	0.946542	0.943646	0.893201
8	Total	10000000	B	0.969313	0.944203	0.915228
8	Exome	83490	B	0.974680	0.951091	0.927009
8	NonConf	2375623	B	0.959626	0.776955	0.745586
8	Rep	3409357	B	0.962324	0.929585	0.894563
8	Alu	670528	B	0.947525	0.943849	0.894321
60	Total	10000000	B	0.969049	0.944132	0.914910
60	Exome	83490	B	0.974871	0.950646	0.926758
60	NonConf	2375623	B	0.958622	0.776894	0.744747
60	Rep	3409357	B	0.961151	0.929616	0.893501
60	Alu	670528	B	0.947028	0.943377	0.893405
20	Total	10000000	B	0.969258	0.944230	0.915202
