Pct	DelSNPs	Total	Hap	Aligned	Correct	Overall
0	0	7622824	A	0.967457	0.995713	0.963309
0	1	1523	A	0.948129	0.998615	0.946815
0	2	75	A	0.853333	1.000000	0.853333
0	3	11	A	0.181818	1.000000	0.181818
2	0	7622824	A	0.969510	0.995745	0.965384
2	1	1523	A	0.962574	0.998636	0.961261
2	2	75	A	0.920000	1.000000	0.920000
2	3	11	A	0.727273	1.000000	0.727273
4	0	7622824	A	0.970513	0.995764	0.966401
4	1	1523	A	0.969140	0.998645	0.967827
4	2	75	A	0.986667	1.000000	0.986667
4	3	11	A	0.727273	1.000000	0.727273
6	0	7622824	A	0.970984	0.995775	0.966881
6	1	1523	A	0.975706	0.999327	0.975049
6	2	75	A	0.986667	1.000000	0.986667
6	3	11	A	0.727273	1.000000	0.727273
8	0	7622824	A	0.971171	0.995782	0.967074
8	1	1523	A	0.978332	0.999329	0.977676
8	2	75	A	1.000000	1.000000	1.000000
8	3	11	A	0.727273	1.000000	0.727273
10	0	7622824	A	0.971247	0.995784	0.967151
10	1	1523	A	0.978332	0.999329	0.977676
10	2	75	A	1.000000	1.000000	1.000000
10	3	11	A	0.727273	1.000000	0.727273
20	0	7622824	A	0.971231	0.995781	0.967133
20	1	1523	A	0.978332	0.999329	0.977676
20	2	75	A	1.000000	1.000000	1.000000
20	3	11	A	0.727273	1.000000	0.727273
15	0	7622824	A	0.971262	0.995783	0.967166
15	1	1523	A	0.978332	0.999329	0.977676
15	2	75	A	1.000000	1.000000	1.000000
15	3	11	A	0.727273	1.000000	0.727273
30	0	7622824	A	0.971152	0.995792	0.967065
30	1	1523	A	0.978332	0.999329	0.977676
30	2	75	A	1.000000	1.000000	1.000000
30	3	11	A	0.727273	1.000000	0.727273
40	0	7622824	A	0.971059	0.995808	0.966988
40	1	1523	A	0.978989	0.999329	0.978332
40	2	75	A	0.986667	1.000000	0.986667
40	3	11	A	0.727273	1.000000	0.727273
0	0	7622674	B	0.967766	0.995750	0.963653
0	1	1623	B	0.940234	0.998034	0.938386
0	2	65	B	0.738462	1.000000	0.738462
0	3	15	B	0.400000	1.000000	0.400000
50	0	7622824	A	0.970996	0.995813	0.966931
50	1	1523	A	0.978332	0.999329	0.977676
50	2	75	A	1.000000	1.000000	1.000000
50	3	11	A	0.727273	1.000000	0.727273
60	0	7622824	A	0.970940	0.995811	0.966873
60	1	1523	A	0.978332	0.999329	0.977676
60	2	75	A	0.986667	1.000000	0.986667
60	3	11	A	0.727273	1.000000	0.727273
70	0	7622824	A	0.970863	0.995821	0.966806
70	1	1523	A	0.978332	0.999329	0.977676
70	2	75	A	0.986667	1.000000	0.986667
70	3	11	A	0.727273	1.000000	0.727273
80	0	7622824	A	0.970795	0.995836	0.966753
80	1	1523	A	0.978332	0.999329	0.977676
80	2	75	A	0.986667	1.000000	0.986667
80	3	11	A	0.727273	1.000000	0.727273
90	0	7622824	A	0.970666	0.995882	0.966669
90	1	1523	A	0.978332	0.999329	0.977676
