Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	7593243	A	0.967668	0.995708	0.963514
0	1	30500	A	0.916951	0.997390	0.914557
0	2	645	A	0.827907	0.985019	0.815504
0	3	43	A	0.558140	1.000000	0.558140
0	4	2	A	0.000000	-1.000000	0.000000
2	0	7593243	A	0.969712	0.995740	0.965581
2	1	30500	A	0.922164	0.997440	0.919803
2	2	645	A	0.826357	0.984991	0.813953
2	3	43	A	0.558140	1.000000	0.558140
2	4	2	A	0.000000	-1.000000	0.000000
4	0	7593243	A	0.970710	0.995758	0.966593
4	1	30500	A	0.924852	0.997518	0.922557
4	2	645	A	0.827907	0.985019	0.815504
4	3	43	A	0.558140	1.000000	0.558140
4	4	2	A	0.000000	-1.000000	0.000000
6	0	7593243	A	0.971179	0.995770	0.967071
6	1	30500	A	0.926164	0.997522	0.923869
6	2	645	A	0.831008	0.985075	0.818605
6	3	43	A	0.558140	1.000000	0.558140
6	4	2	A	0.000000	-1.000000	0.000000
8	0	7593243	A	0.971360	0.995776	0.967257
8	1	30500	A	0.927213	0.997525	0.924918
8	2	645	A	0.858915	0.994585	0.854264
8	3	43	A	0.604651	1.000000	0.604651
8	4	2	A	0.000000	-1.000000	0.000000
10	0	7593243	A	0.971381	0.995777	0.967279
10	1	30500	A	0.939934	0.997768	0.937836
10	2	645	A	0.899225	0.994828	0.894574
10	3	43	A	0.720930	1.000000	0.720930
10	4	2	A	1.000000	1.000000	1.000000
20	0	7593243	A	0.971301	0.995773	0.967196
20	1	30500	A	0.954984	0.997974	0.953049
20	2	645	A	0.942636	0.995066	0.937984
20	3	43	A	0.720930	1.000000	0.720930
20	4	2	A	1.000000	1.000000	1.000000
15	0	7593243	A	0.971351	0.995775	0.967247
15	1	30500	A	0.950754	0.998000	0.948852
15	2	645	A	0.925581	0.994975	0.920930
15	3	43	A	0.720930	1.000000	0.720930
15	4	2	A	1.000000	1.000000	1.000000
30	0	7593243	A	0.971210	0.995784	0.967115
30	1	30500	A	0.958098	0.997947	0.956131
30	2	645	A	0.944186	0.995074	0.939535
30	3	43	A	0.720930	1.000000	0.720930
30	4	2	A	1.000000	1.000000	1.000000
40	0	7593243	A	0.971112	0.995800	0.967034
40	1	30500	A	0.958918	0.997949	0.956951
40	2	645	A	0.947287	0.995090	0.942636
40	3	43	A	0.790698	1.000000	0.790698
40	4	2	A	1.000000	1.000000	1.000000
0	0	7598108	B	0.967935	0.995747	0.963819
0	1	25875	B	0.918300	0.996886	0.915440
0	2	358	B	0.796089	0.989474	0.787709
0	3	36	B	0.638889	1.000000	0.638889
50	0	7593243	A	0.971048	0.995806	0.966976
50	1	30500	A	0.959049	0.997915	0.957049
50	2	645	A	0.948837	0.995098	0.944186
50	3	43	A	0.767442	1.000000	0.767442
50	4	2	A	1.000000	1.000000	1.000000
60	0	7593243	A	0.970989	0.995804	0.966914
60	1	30500	A	0.959967	0.997951	0.958000
60	2	645	A	0.947287	0.995090	0.942636
60	3	43	A	0.767442	1.000000	0.767442
60	4	2	A	1.000000	1.000000	1.000000
70	0	7593243	A	0.970911	0.995814	0.966847
70	1	30500	A	0.959967	0.997882	0.957934
70	2	645	A	0.947287	0.995090	0.942636
70	3	43	A	0.767442	1.000000	0.767442
