Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	912219	A	0.935683	0.980883	0.917796
0	1	69145	A	0.945361	0.985115	0.931289
30	0	912219	A	0.967953	0.991492	0.959718
30	1	69145	A	0.965609	0.990924	0.956844
4	0	912219	A	0.961834	0.989663	0.951891
4	1	69145	A	0.946750	0.985916	0.933415
40	0	912219	A	0.967267	0.991337	0.958887
40	1	69145	A	0.966722	0.991054	0.958074
60	0	912219	A	0.966897	0.991094	0.958286
60	1	69145	A	0.966780	0.990980	0.958059
70	0	912219	A	0.966552	0.990998	0.957851
70	1	69145	A	0.966722	0.990904	0.957929
100	0	912219	A	0.965515	0.990500	0.956343
100	1	69145	A	0.966129	0.990435	0.956888
20	0	912219	A	0.968480	0.991679	0.960422
20	1	69145	A	0.963685	0.990485	0.954516
8	0	912219	A	0.968378	0.991841	0.960478
8	1	69145	A	0.947588	0.985806	0.934138
2	0	912219	A	0.952588	0.986705	0.939923
2	1	69145	A	0.946200	0.985724	0.932692
6	0	912219	A	0.966384	0.991133	0.957815
6	1	69145	A	0.947444	0.985941	0.934124
15	0	912219	A	0.968688	0.991791	0.960736
15	1	69145	A	0.960966	0.989871	0.951233
10	0	912219	A	0.968820	0.991933	0.961005
10	1	69145	A	0.953446	0.987592	0.941615
90	0	912219	A	0.966089	0.990774	0.957176
90	1	69145	A	0.966375	0.990602	0.957293
50	0	912219	A	0.967067	0.991176	0.958534
50	1	69145	A	0.966737	0.991024	0.958059
80	0	912219	A	0.966180	0.990907	0.957395
80	1	69145	A	0.966592	0.990664	0.957567
0	0	912257	B	0.937868	0.981974	0.920962
0	1	69127	B	0.948067	0.985001	0.933846
40	0	912257	B	0.967230	0.991340	0.958854
40	1	69127	B	0.966352	0.991512	0.958149
60	0	912257	B	0.966913	0.991051	0.958260
60	1	69127	B	0.966366	0.991677	0.958323
30	0	912257	B	0.967862	0.991506	0.959641
30	1	69127	B	0.965643	0.991641	0.957571
70	0	912257	B	0.966566	0.990970	0.957839
70	1	69127	B	0.966279	0.991796	0.958352
6	0	912257	B	0.966532	0.991230	0.958056
6	1	69127	B	0.949846	0.986263	0.936797
10	0	912257	B	0.968716	0.991874	0.960844
10	1	69127	B	0.953911	0.987413	0.941904
4	0	912257	B	0.962506	0.989906	0.952791
4	1	69127	B	0.949267	0.986132	0.936103
20	0	912257	B	0.968395	0.991720	0.960376
20	1	69127	B	0.963574	0.991232	0.955126
2	0	912257	B	0.954025	0.987317	0.941925
2	1	69127	B	0.948906	0.985822	0.935452
50	0	912257	B	0.967048	0.991158	0.958497
50	1	69127	B	0.966178	0.991630	0.958092
80	0	912257	B	0.966230	0.990803	0.957343
80	1	69127	B	0.965976	0.991584	0.957846
8	0	912257	B	0.968354	0.991888	0.960499
8	1	69127	B	0.949817	0.986293	0.936797
100	0	912257	B	0.965603	0.990424	0.956357
100	1	69127	B	0.965643	0.991041	0.956992
15	0	912257	B	0.968588	0.991798	0.960644
15	1	69127	B	0.961231	0.990353	0.951958
90	0	912257	B	0.966122	0.990713	0.957150
90	1	69127	B	0.965961	0.991359	0.957614
