Pct	Region	Total	Hap	Aligned	Correct	Overall
4	Total	10000000	A	0.969164	0.944128	0.915015
4	Exome	83482	A	0.974557	0.951130	0.926930
4	NonConf	2375567	A	0.960449	0.776808	0.746085
4	Rep	3409405	A	0.962581	0.929820	0.895027
4	Alu	670574	A	0.949583	0.945011	0.897367
20	Total	10000000	A	0.970082	0.944477	0.916220
20	Exome	83482	A	0.974929	0.951074	0.927230
20	NonConf	2375567	A	0.961549	0.778330	0.748403
20	Rep	3409405	A	0.963483	0.930417	0.896441
20	Alu	670574	A	0.950514	0.945374	0.898591
50	Total	10000000	A	0.969706	0.944400	0.915790
50	Exome	83482	A	0.974462	0.951137	0.926847
50	NonConf	2375567	A	0.960820	0.778042	0.747559
50	Rep	3409405	A	0.962690	0.930227	0.895520
50	Alu	670574	A	0.948617	0.944748	0.896204
60	Total	10000000	A	0.969620	0.944382	0.915692
60	Exome	83482	A	0.974665	0.950742	0.926655
60	NonConf	2375567	A	0.960629	0.777970	0.747340
60	Rep	3409405	A	0.962510	0.930212	0.895338
60	Alu	670574	A	0.948232	0.944703	0.895798
70	Total	10000000	A	0.969559	0.944387	0.915638
70	Exome	83482	A	0.974474	0.950843	0.926571
70	NonConf	2375567	A	0.960476	0.777960	0.747212
70	Rep	3409405	A	0.962363	0.930201	0.895191
70	Alu	670574	A	0.947940	0.944670	0.895491
80	Total	10000000	A	0.969468	0.944389	0.915555
80	Exome	83482	A	0.974414	0.950913	0.926583
80	NonConf	2375567	A	0.960255	0.777966	0.747046
80	Rep	3409405	A	0.962180	0.930199	0.895018
80	Alu	670574	A	0.947742	0.944624	0.895260
30	Total	10000000	A	0.969948	0.944447	0.916064
30	Exome	83482	A	0.974821	0.951020	0.927074
30	NonConf	2375567	A	0.961256	0.778233	0.748081
30	Rep	3409405	A	0.963194	0.930341	0.896100
30	Alu	670574	A	0.949816	0.945135	0.897704
90	Total	10000000	A	0.969416	0.944371	0.915488
90	Exome	83482	A	0.974414	0.950950	0.926619
90	NonConf	2375567	A	0.960161	0.777892	0.746901
90	Rep	3409405	A	0.962077	0.930175	0.894899
90	Alu	670574	A	0.947523	0.944498	0.894933
8	Total	10000000	A	0.970056	0.944441	0.916161
8	Exome	83482	A	0.974701	0.951284	0.927218
8	NonConf	2375567	A	0.961642	0.778146	0.748298
8	Rep	3409405	A	0.963612	0.930367	0.896512
8	Alu	670574	A	0.951264	0.945500	0.899420
15	Total	10000000	A	0.970155	0.944506	0.916318
15	Exome	83482	A	0.974833	0.951180	0.927242
15	NonConf	2375567	A	0.961666	0.778428	0.748588
15	Rep	3409405	A	0.963650	0.930487	0.896664
15	Alu	670574	A	0.951100	0.945507	0.899271
40	Total	10000000	A	0.969816	0.944412	0.915905
40	Exome	83482	A	0.974653	0.951036	0.926930
40	NonConf	2375567	A	0.961052	0.778080	0.747775
40	Rep	3409405	A	0.962925	0.930265	0.895775
40	Alu	670574	A	0.949145	0.944870	0.896818
2	Total	10000000	A	0.967959	0.943754	0.913515
2	Exome	83482	A	0.973994	0.950646	0.925924
2	NonConf	2375567	A	0.958729	0.775211	0.743218
2	Rep	3409405	A	0.961154	0.929146	0.893052
2	Alu	670574	A	0.947297	0.944387	0.894616
6	Total	10000000	A	0.969795	0.944335	0.915811
6	Exome	83482	A	0.974653	0.951282	0.927170
6	NonConf	2375567	A	0.961330	0.777704	0.747630
6	Rep	3409405	A	0.963322	0.930208	0.896089
6	Alu	670574	A	0.950774	0.945409	0.898870
10	Total	10000000	A	0.970156	0.944489	0.916301
10	Exome	83482	A	0.974821	0.951253	0.927302
10	NonConf	2375567	A	0.961742	0.778341	0.748563
10	Rep	3409405	A	0.963698	0.930458	0.896681
10	Alu	670574	A	0.951366	0.945584	0.899596
4	Total	10000000	B	0.969311	0.944338	0.915357
4	Exome	83490	B	0.974548	0.951146	0.926937
4	NonConf	2375623	B	0.960629	0.777599	0.746984
4	Rep	3409357	B	0.962772	0.930015	0.895393
4	Alu	670528	B	0.949738	0.944943	0.897448
20	Total	10000000	B	0.970084	0.944626	0.916366
20	Exome	83490	B	0.974979	0.951241	0.927440
20	NonConf	2375623	B	0.961525	0.778887	0.748919
20	Rep	3409357	B	0.963446	0.930544	0.896529
20	Alu	670528	B	0.950482	0.945265	0.898458
60	Total	10000000	B	0.969641	0.944569	0.915894
60	Exome	83490	B	0.974751	0.951304	0.927285
60	NonConf	2375623	B	0.960632	0.778680	0.748025
60	Rep	3409357	B	0.962508	0.930385	0.895503
60	Alu	670528	B	0.948299	0.944680	0.895839
80	Total	10000000	B	0.969493	0.944579	0.915763
80	Exome	83490	B	0.974428	0.951324	0.926997
80	NonConf	2375623	B	0.960276	0.778681	0.747749
80	Rep	3409357	B	0.962184	0.930404	0.895219
80	Alu	670528	B	0.947793	0.944570	0.895257
15	Total	10000000	B	0.970152	0.944652	0.916456
15	Exome	83490	B	0.974871	0.951396	0.927488
15	NonConf	2375623	B	0.961619	0.778978	0.749081
15	Rep	3409357	B	0.963603	0.930583	0.896712
15	Alu	670528	B	0.951010	0.945394	0.899080
40	Total	10000000	B	0.969821	0.944572	0.916066
40	Exome	83490	B	0.974692	0.951460	0.927381
40	NonConf	2375623	B	0.961025	0.778671	0.748322
40	Rep	3409357	B	0.962903	0.930379	0.895865
40	Alu	670528	B	0.949179	0.944799	0.896783
50	Total	10000000	B	0.969716	0.944569	0.915964
50	Exome	83490	B	0.974512	0.951476	0.927225
50	NonConf	2375623	B	0.960806	0.778663	0.748144
50	Rep	3409357	B	0.962669	0.930385	0.895653
50	Alu	670528	B	0.948633	0.944717	0.896189
30	Total	10000000	B	0.969948	0.944594	0.916207
30	Exome	83490	B	0.974883	0.951396	0.927500
30	NonConf	2375623	B	0.961237	0.778768	0.748581
30	Rep	3409357	B	0.963159	0.930443	0.896165
30	Alu	670528	B	0.949792	0.944999	0.897552
2	Total	10000000	B	0.968208	0.944008	0.913996
2	Exome	83490	B	0.973961	0.950895	0.926135
2	NonConf	2375623	B	0.959128	0.776220	0.744494
2	Rep	3409357	B	0.961492	0.929422	0.893632
2	Alu	670528	B	0.947617	0.944322	0.894856
70	Total	10000000	B	0.969573	0.944576	0.915836
70	Exome	83490	B	0.974476	0.951290	0.927009
70	NonConf	2375623	B	0.960483	0.778682	0.747911
70	Rep	3409357	B	0.962353	0.930388	0.895362
70	Alu	670528	B	0.947969	0.944604	0.895456
10	Total	10000000	B	0.970161	0.944640	0.916453
10	Exome	83490	B	0.974883	0.951200	0.927309
10	NonConf	2375623	B	0.961694	0.778897	0.749060
10	Rep	3409357	B	0.963673	0.930560	0.896756
10	Alu	670528	B	0.951259	0.945437	0.899355
90	Total	10000000	B	0.969445	0.944569	0.915708
90	Exome	83490	B	0.974464	0.951154	0.926865
90	NonConf	2375623	B	0.960197	0.778661	0.747668
90	Rep	3409357	B	0.962082	0.930415	0.895135
90	Alu	670528	B	0.947544	0.944510	0.894965
8	Total	10000000	B	0.970090	0.944620	0.916367
8	Exome	83490	B	0.974739	0.951143	0.927117
8	NonConf	2375623	B	0.961636	0.778801	0.748923
8	Rep	3409357	B	0.963628	0.930538	0.896692
8	Alu	670528	B	0.951276	0.945409	0.899345
6	Total	10000000	B	0.969855	0.944510	0.916038
6	Exome	83490	B	0.974692	0.951215	0.927141
6	NonConf	2375623	B	0.961353	0.778339	0.748258
6	Rep	3409357	B	0.963376	0.930353	0.896280
6	Alu	670528	B	0.950813	0.945286	0.898790
