Pct	SNPs	Total	Hap	Aligned	Correct	Overall
0	0	7023786	A	0.971931	0.995637	0.967690
0	1	548595	A	0.925162	0.996936	0.922327
0	2	48085	A	0.829552	0.993507	0.824166
0	3	3688	A	0.580260	0.993925	0.576735
0	4	231	A	0.199134	0.978261	0.194805
0	5	36	A	0.194444	0.571429	0.111111
0	6	11	A	0.363636	0.000000	0.000000
0	7	1	A	0.000000	-1.000000	0.000000
8	0	7023786	A	0.971887	0.995639	0.967648
8	1	548595	A	0.963738	0.997660	0.961483
8	2	48085	A	0.934907	0.995840	0.931018
8	3	3688	A	0.879338	0.997225	0.876898
8	4	231	A	0.753247	1.000000	0.753247
8	5	36	A	0.527778	0.842105	0.444444
8	6	11	A	0.363636	0.000000	0.000000
8	7	1	A	0.000000	-1.000000	0.000000
2	0	7023786	A	0.971928	0.995645	0.967694
2	1	548595	A	0.946297	0.997165	0.943614
2	2	48085	A	0.898783	0.994863	0.894167
2	3	3688	A	0.789046	0.996220	0.786063
2	4	231	A	0.580087	1.000000	0.580087
2	5	36	A	0.416667	0.800000	0.333333
2	6	11	A	0.363636	0.000000	0.000000
2	7	1	A	0.000000	-1.000000	0.000000
15	0	7023786	A	0.971824	0.995636	0.967583
15	1	548595	A	0.964664	0.997672	0.962419
15	2	48085	A	0.936030	0.996001	0.932287
15	3	3688	A	0.880152	0.997227	0.877711
15	4	231	A	0.753247	1.000000	0.753247
15	5	36	A	0.527778	0.842105	0.444444
15	6	11	A	0.363636	0.000000	0.000000
15	7	1	A	0.000000	-1.000000	0.000000
10	0	7023786	A	0.971870	0.995636	0.967629
10	1	548595	A	0.964212	0.997673	0.961968
10	2	48085	A	0.935489	0.995865	0.931621
10	3	3688	A	0.880152	0.997227	0.877711
10	4	231	A	0.753247	1.000000	0.753247
10	5	36	A	0.527778	0.842105	0.444444
10	6	11	A	0.363636	0.000000	0.000000
10	7	1	A	0.000000	-1.000000	0.000000
20	0	7023786	A	0.971773	0.995645	0.967542
20	1	548595	A	0.964752	0.997680	0.962513
20	2	48085	A	0.935926	0.996067	0.932245
20	3	3688	A	0.879610	0.997226	0.877169
20	4	231	A	0.753247	1.000000	0.753247
20	5	36	A	0.527778	0.842105	0.444444
20	6	11	A	0.363636	0.000000	0.000000
20	7	1	A	0.000000	-1.000000	0.000000
4	0	7023786	A	0.971919	0.995643	0.967684
4	1	548595	A	0.957471	0.997418	0.955000
4	2	48085	A	0.923219	0.995405	0.918977
4	3	3688	A	0.849241	0.996169	0.845987
4	4	231	A	0.683983	1.000000	0.683983
4	5	36	A	0.500000	0.833333	0.416667
4	6	11	A	0.363636	0.000000	0.000000
4	7	1	A	0.000000	-1.000000	0.000000
6	0	7023786	A	0.971905	0.995640	0.967667
6	1	548595	A	0.962047	0.997565	0.959704
6	2	48085	A	0.932203	0.995650	0.928148
6	3	3688	A	0.870390	0.997196	0.867950
6	4	231	A	0.740260	1.000000	0.740260
6	5	36	A	0.527778	0.842105	0.444444
6	6	11	A	0.363636	0.000000	0.000000
6	7	1	A	0.000000	-1.000000	0.000000
30	0	7023786	A	0.971684	0.995662	0.967468
30	1	548595	A	0.964580	0.997681	0.962344
30	2	48085	A	0.934969	0.996019	0.931247
30	3	3688	A	0.879610	0.997226	0.877169
30	4	231	A	0.744589	1.000000	0.744589
30	5	36	A	0.527778	0.842105	0.444444
30	6	11	A	0.363636	0.000000	0.000000
30	7	1	A	0.000000	-1.000000	0.000000
40	0	7023786	A	0.971590	0.995694	0.967406
40	1	548595	A	0.963729	0.997651	0.961465
40	2	48085	A	0.933472	0.995968	0.929708
40	3	3688	A	0.873915	0.997518	0.871746
40	4	231	A	0.731602	1.000000	0.731602
40	5	36	A	0.472222	0.823529	0.388889
40	6	11	A	0.363636	0.000000	0.000000
40	7	1	A	0.000000	-1.000000	0.000000
0	0	7066817	B	0.971943	0.995668	0.967732
0	1	509501	B	0.924858	0.997129	0.922202
0	2	44467	B	0.827872	0.993752	0.822700
0	3	3348	B	0.577360	0.991723	0.572581
0	4	221	B	0.167421	1.000000	0.167421
0	5	13	B	0.307692	0.750000	0.230769
0	6	10	B	0.300000	0.000000	0.000000
60	0	7023786	A	0.971241	0.995653	0.967020
60	1	548595	A	0.965189	0.997883	0.963146
60	2	48085	A	0.949776	0.996278	0.946241
60	3	3688	A	0.920011	0.996758	0.917028
60	4	231	A	0.874459	0.995050	0.870130
60	5	36	A	0.777778	0.892857	0.694444
60	6	11	A	0.272727	0.000000	0.000000
60	7	1	A	0.000000	-1.000000	0.000000
70	0	7023786	A	0.971038	0.995582	0.966747
70	1	548595	A	0.965665	0.998124	0.963853
70	2	48085	A	0.951690	0.996875	0.948716
70	3	3688	A	0.924620	0.997654	0.922451
70	4	231	A	0.887446	0.995122	0.883117
70	5	36	A	0.777778	0.892857	0.694444
70	6	11	A	0.272727	0.000000	0.000000
70	7	1	A	0.000000	-1.000000	0.000000
50	0	7023786	A	0.971311	0.995638	0.967074
50	1	548595	A	0.965280	0.997904	0.963257
50	2	48085	A	0.950109	0.996279	0.946574
50	3	3688	A	0.921638	0.996764	0.918655
50	4	231	A	0.870130	0.995025	0.865801
50	5	36	A	0.777778	0.892857	0.694444
50	6	11	A	0.272727	0.000000	0.000000
50	7	1	A	0.000000	-1.000000	0.000000
80	0	7023786	A	0.971006	0.995578	0.966712
80	1	548595	A	0.965663	0.998209	0.963933
80	2	48085	A	0.954165	0.996752	0.951066
80	3	3688	A	0.938720	0.997978	0.936822
80	4	231	A	0.896104	0.995169	0.891775
80	5	36	A	0.833333	0.900000	0.750000
80	6	11	A	0.454545	0.400000	0.181818
80	7	1	A	1.000000	1.000000	1.000000
90	0	7023786	A	0.970800	0.995498	0.966430
90	1	548595	A	0.966199	0.998345	0.964600
90	2	48085	A	0.958511	0.997375	0.955995
90	3	3688	A	0.947397	0.997424	0.944957
90	4	231	A	0.909091	1.000000	0.909091
90	5	36	A	0.888889	0.906250	0.805556
90	6	11	A	0.545455	0.500000	0.272727
90	7	1	A	1.000000	1.000000	1.000000
100	0	7023786	A	0.970255	0.995290	0.965685
100	1	548595	A	0.966644	0.998654	0.965342
100	2	48085	A	0.962150	0.998530	0.960736
100	3	3688	A	0.957972	0.998585	0.956616
100	4	231	A	0.948052	1.000000	0.948052
100	5	36	A	0.972222	1.000000	0.972222
100	6	11	A	1.000000	1.000000	1.000000
100	7	1	A	1.000000	1.000000	1.000000
15	0	7066817	B	0.971836	0.995663	0.967620
15	1	509501	B	0.964671	0.997833	0.962581
15	2	44467	B	0.934626	0.995741	0.930645
15	3	3348	B	0.889188	0.995969	0.885603
15	4	221	B	0.855204	1.000000	0.855204
15	5	13	B	0.538462	0.857143	0.461538
15	6	10	B	0.300000	0.000000	0.000000
2	0	7066817	B	0.971938	0.995676	0.967736
2	1	509501	B	0.946656	0.997373	0.944169
2	2	44467	B	0.900016	0.994953	0.895473
2	3	3348	B	0.791219	0.995847	0.787933
2	4	221	B	0.705882	1.000000	0.705882
2	5	13	B	0.384615	0.800000	0.307692
2	6	10	B	0.300000	0.000000	0.000000
10	0	7066817	B	0.971882	0.995664	0.967668
10	1	509501	B	0.964332	0.997839	0.962247
10	2	44467	B	0.934108	0.995618	0.930016
10	3	3348	B	0.888590	0.995966	0.885006
10	4	221	B	0.855204	1.000000	0.855204
10	5	13	B	0.538462	0.857143	0.461538
10	6	10	B	0.300000	0.000000	0.000000
20	0	7066817	B	0.971784	0.995667	0.967573
20	1	509501	B	0.964779	0.997848	0.962703
20	2	44467	B	0.934648	0.995813	0.930735
20	3	3348	B	0.889188	0.995969	0.885603
20	4	221	B	0.855204	1.000000	0.855204
20	5	13	B	0.538462	0.857143	0.461538
20	6	10	B	0.300000	0.000000	0.000000
4	0	7066817	B	0.971929	0.995673	0.967724
4	1	509501	B	0.957625	0.997616	0.955343
4	2	44467	B	0.922662	0.995393	0.918411
4	3	3348	B	0.854839	0.995807	0.851254
4	4	221	B	0.791855	1.000000	0.791855
4	5	13	B	0.538462	0.857143	0.461538
4	6	10	B	0.300000	0.000000	0.000000
6	0	7066817	B	0.971914	0.995672	0.967708
6	1	509501	B	0.962149	0.997770	0.960004
6	2	44467	B	0.931252	0.995605	0.927159
6	3	3348	B	0.876344	0.995910	0.872760
6	4	221	B	0.837104	1.000000	0.837104
6	5	13	B	0.538462	0.857143	0.461538
6	6	10	B	0.300000	0.000000	0.000000
8	0	7066817	B	0.971897	0.995667	0.967686
8	1	509501	B	0.963831	0.997835	0.961745
8	2	44467	B	0.933434	0.995615	0.929341
8	3	3348	B	0.887097	0.995960	0.883513
8	4	221	B	0.841629	1.000000	0.841629
8	5	13	B	0.538462	0.857143	0.461538
8	6	10	B	0.300000	0.000000	0.000000
30	0	7066817	B	0.971693	0.995683	0.967499
30	1	509501	B	0.964616	0.997853	0.962546
30	2	44467	B	0.933996	0.995810	0.930083
30	3	3348	B	0.887395	0.995961	0.883811
30	4	221	B	0.855204	1.000000	0.855204
30	5	13	B	0.538462	0.857143	0.461538
30	6	10	B	0.300000	0.000000	0.000000
40	0	7066817	B	0.971602	0.995718	0.967442
40	1	509501	B	0.963712	0.997839	0.961629
40	2	44467	B	0.932422	0.995828	0.928531
40	3	3348	B	0.883811	0.995945	0.880227
40	4	221	B	0.832579	1.000000	0.832579
40	5	13	B	0.538462	0.857143	0.461538
40	6	10	B	0.300000	0.000000	0.000000
60	0	7066817	B	0.971260	0.995687	0.967071
60	1	509501	B	0.964981	0.997988	0.963040
60	2	44467	B	0.951042	0.996240	0.947467
60	3	3348	B	0.931900	0.995192	0.927419
60	4	221	B	0.904977	1.000000	0.904977
60	5	13	B	0.923077	0.916667	0.846154
60	6	10	B	0.400000	0.250000	0.100000
50	0	7066817	B	0.971329	0.995667	0.967120
50	1	509501	B	0.965011	0.998007	0.963087
50	2	44467	B	0.950930	0.996169	0.947287
50	3	3348	B	0.933094	0.995519	0.928913
50	4	221	B	0.895928	1.000000	0.895928
50	5	13	B	0.923077	0.916667	0.846154
50	6	10	B	0.400000	0.250000	0.100000
70	0	7066817	B	0.971055	0.995613	0.966795
