Pct	Region	Total	Hap	Aligned	Correct	Overall
0	Total	10000000	A	0.984715	0.944019	0.929590
0	Exome	83464	A	0.991613	0.949000	0.941040
0	NonConf	2374550	A	0.971294	0.773696	0.751486
0	Rep	3408454	A	0.978968	0.929870	0.910313
0	Alu	669276	A	0.965621	0.948345	0.915742
10	Total	10000000	A	0.988780	0.945339	0.934733
10	Exome	83464	A	0.993362	0.949089	0.942790
10	NonConf	2374550	A	0.978851	0.780031	0.763535
10	Rep	3408454	A	0.983247	0.932345	0.916725
10	Alu	669276	A	0.973706	0.950238	0.925252
2	Total	10000000	A	0.986921	0.944709	0.932354
2	Exome	83464	A	0.992524	0.949252	0.942155
2	NonConf	2374550	A	0.975826	0.777017	0.758234
2	Rep	3408454	A	0.981381	0.931064	0.913729
2	Alu	669276	A	0.969852	0.949590	0.920962
15	Total	10000000	A	0.988659	0.945297	0.934576
15	Exome	83464	A	0.993338	0.949148	0.942826
15	NonConf	2374550	A	0.978355	0.779852	0.762972
15	Rep	3408454	A	0.982865	0.932296	0.916321
15	Alu	669276	A	0.973392	0.949905	0.924630
8	Total	10000000	A	0.988743	0.945339	0.934697
8	Exome	83464	A	0.993231	0.949239	0.942814
8	NonConf	2374550	A	0.978892	0.779996	0.763532
8	Rep	3408454	A	0.983270	0.932336	0.916738
8	Alu	669276	A	0.973679	0.950235	0.925224
6	Total	10000000	A	0.988540	0.945249	0.934416
6	Exome	83464	A	0.993183	0.949490	0.943017
6	NonConf	2374550	A	0.978644	0.779550	0.762901
6	Rep	3408454	A	0.983148	0.932131	0.916422
6	Alu	669276	A	0.973256	0.950253	0.924840
4	Total	10000000	A	0.988011	0.945077	0.933746
4	Exome	83464	A	0.992895	0.949572	0.942826
4	NonConf	2374550	A	0.977852	0.778749	0.761501
4	Rep	3408454	A	0.982600	0.931753	0.915540
4	Alu	669276	A	0.972079	0.950091	0.923564
60	Total	10000000	A	0.987490	0.944525	0.932709
60	Exome	83464	A	0.992859	0.948014	0.941244
60	NonConf	2374550	A	0.975146	0.777116	0.757801
60	Rep	3408454	A	0.980235	0.930622	0.912229
60	Alu	669276	A	0.969400	0.947025	0.918046
50	Total	10000000	A	0.987673	0.944671	0.933026
50	Exome	83464	A	0.993015	0.948203	0.941580
50	NonConf	2374550	A	0.975574	0.777612	0.758618
50	Rep	3408454	A	0.980661	0.930965	0.912961
50	Alu	669276	A	0.970284	0.947526	0.919370
20	Total	10000000	A	0.988512	0.945181	0.934322
20	Exome	83464	A	0.993326	0.948834	0.942502
20	NonConf	2374550	A	0.977904	0.779441	0.762218
20	Rep	3408454	A	0.982507	0.932099	0.915794
20	Alu	669276	A	0.973001	0.949383	0.923750
30	Total	10000000	A	0.988211	0.945038	0.933898
30	Exome	83464	A	0.993291	0.948531	0.942167
30	NonConf	2374550	A	0.977019	0.778918	0.761017
30	Rep	3408454	A	0.981813	0.931774	0.914827
30	Alu	669276	A	0.972219	0.948749	0.922392
40	Total	10000000	A	0.987933	0.944837	0.933435
40	Exome	83464	A	0.993183	0.948248	0.941783
40	NonConf	2374550	A	0.976266	0.778209	0.759739
40	Rep	3408454	A	0.981245	0.931341	0.913874
40	Alu	669276	A	0.971417	0.948138	0.921037
90	Total	10000000	A	0.986942	0.944260	0.931930
90	Exome	83464	A	0.991326	0.947921	0.939699
90	NonConf	2374550	A	0.973668	0.776081	0.755645
90	Rep	3408454	A	0.979081	0.930074	0.910618
90	Alu	669276	A	0.967918	0.946262	0.915903
80	Total	10000000	A	0.987071	0.944312	0.932104
80	Exome	83464	A	0.991481	0.948002	0.939926
80	NonConf	2374550	A	0.974026	0.776229	0.756067
80	Rep	3408454	A	0.979359	0.930174	0.910974
80	Alu	669276	A	0.968170	0.946438	0.916313
0	Total	10000000	B	0.985066	0.944015	0.929918
0	Exome	83544	B	0.992148	0.950741	0.943275
0	NonConf	2374920	B	0.972038	0.773818	0.752181
0	Rep	3410121	B	0.979428	0.929994	0.910862
0	Alu	669905	B	0.966392	0.947693	0.915843
2	Total	10000000	B	0.987179	0.944620	0.932509
2	Exome	83544	B	0.992806	0.950653	0.943814
2	NonConf	2374920	B	0.976342	0.776801	0.758423
2	Rep	3410121	B	0.981697	0.931032	0.913991
2	Alu	669905	B	0.970436	0.948865	0.920813
10	Total	10000000	B	0.988827	0.945161	0.934601
10	Exome	83544	B	0.993500	0.950326	0.944149
10	NonConf	2374920	B	0.978994	0.779413	0.763041
10	Rep	3410121	B	0.983296	0.932067	0.916498
10	Alu	669905	B	0.973772	0.949457	0.924555
8	Total	10000000	B	0.988799	0.945163	0.934576
8	Exome	83544	B	0.993417	0.950490	0.944233
8	NonConf	2374920	B	0.979031	0.779353	0.763011
8	Rep	3410121	B	0.983345	0.932109	0.916585
8	Alu	669905	B	0.973725	0.949597	0.924646
15	Total	10000000	B	0.988689	0.945106	0.934416
15	Exome	83544	B	0.993500	0.950001	0.943826
15	NonConf	2374920	B	0.978463	0.779210	0.762429
15	Rep	3410121	B	0.982898	0.932001	0.916061
15	Alu	669905	B	0.973316	0.949212	0.923883
6	Total	10000000	B	0.988631	0.945085	0.934341
6	Exome	83544	B	0.993237	0.950710	0.944281
6	NonConf	2374920	B	0.978850	0.778985	0.762510
6	Rep	3410121	B	0.983260	0.931952	0.916351
6	Alu	669905	B	0.973396	0.949600	0.924337
4	Total	10000000	B	0.988177	0.944937	0.933765
4	Exome	83544	B	0.993201	0.950829	0.944365
4	NonConf	2374920	B	0.978157	0.778283	0.761283
4	Rep	3410121	B	0.982824	0.931651	0.915649
4	Alu	669905	B	0.972427	0.949366	0.923189
50	Total	10000000	B	0.987685	0.944498	0.932866
50	Exome	83544	B	0.993369	0.948801	0.942509
50	NonConf	2374920	B	0.975694	0.777017	0.758131
50	Rep	3410121	B	0.980650	0.930677	0.912669
50	Alu	669905	B	0.970093	0.946780	0.918465
60	Total	10000000	B	0.987496	0.944365	0.932557
60	Exome	83544	B	0.993105	0.948378	0.941839
60	NonConf	2374920	B	0.975211	0.776559	0.757309
60	Rep	3410121	B	0.980208	0.930388	0.911974
60	Alu	669905	B	0.969178	0.946220	0.917055
40	Total	10000000	B	0.987914	0.944657	0.933240
40	Exome	83544	B	0.993345	0.948993	0.942677
40	NonConf	2374920	B	0.976290	0.777557	0.759121
40	Rep	3410121	B	0.981165	0.931076	0.913539
40	Alu	669905	B	0.971068	0.947405	0.919995
20	Total	10000000	B	0.988518	0.944996	0.934146
20	Exome	83544	B	0.993488	0.949867	0.943682
20	NonConf	2374920	B	0.977925	0.778794	0.761602
20	Rep	3410121	B	0.982496	0.931772	0.915462
20	Alu	669905	B	0.972908	0.948688	0.922986
30	Total	10000000	B	0.988200	0.944819	0.933670
30	Exome	83544	B	0.993500	0.949796	0.943623
30	NonConf	2374920	B	0.977013	0.778118	0.760232
30	Rep	3410121	B	0.981758	0.931434	0.914442
30	Alu	669905	B	0.971999	0.948070	0.921523
80	Total	10000000	B	0.987095	0.944169	0.931985
80	Exome	83544	B	0.991537	0.948525	0.940498
80	NonConf	2374920	B	0.974071	0.775720	0.755606
80	Rep	3410121	B	0.979363	0.929955	0.910764
80	Alu	669905	B	0.968084	0.945740	0.915555
90	Total	10000000	B	0.986963	0.944103	0.931795
90	Exome	83544	B	0.991310	0.948417	0.940175
90	NonConf	2374920	B	0.973679	0.775530	0.755117
90	Rep	3410121	B	0.979049	0.929824	0.910344
90	Alu	669905	B	0.967688	0.945545	0.914992
