Pct	Region	Total	Hap	Aligned	Correct	Overall
0	Total	10000000	A	0.984715	0.944019	0.929590
0	Exome	83464	A	0.991613	0.949000	0.941040
0	NonConf	2374550	A	0.971294	0.773696	0.751486
0	Rep	3408454	A	0.978968	0.929870	0.910313
0	Alu	669276	A	0.965621	0.948345	0.915742
6	Total	10000000	A	0.987845	0.945042	0.933554
6	Exome	83464	A	0.992751	0.949782	0.942898
6	NonConf	2374550	A	0.976849	0.778355	0.760335
6	Rep	3408454	A	0.982480	0.931601	0.915279
6	Alu	669276	A	0.971357	0.949939	0.922730
4	Total	10000000	A	0.987577	0.944872	0.933134
4	Exome	83464	A	0.992679	0.949610	0.942658
4	NonConf	2374550	A	0.976508	0.777646	0.759378
4	Rep	3408454	A	0.982172	0.931292	0.914689
4	Alu	669276	A	0.970839	0.949704	0.922010
10	Total	10000000	A	0.987882	0.945125	0.933672
10	Exome	83464	A	0.992823	0.949967	0.943149
10	NonConf	2374550	A	0.976789	0.778674	0.760600
10	Rep	3408454	A	0.982451	0.931758	0.915406
10	Alu	669276	A	0.971380	0.949865	0.922679
8	Total	10000000	A	0.987892	0.945099	0.933655
8	Exome	83464	A	0.992871	0.949885	0.943113
8	NonConf	2374550	A	0.976853	0.778580	0.760558
8	Rep	3408454	A	0.982501	0.931706	0.915403
8	Alu	669276	A	0.971448	0.949928	0.922806
15	Total	10000000	A	0.987830	0.945137	0.933635
15	Exome	83464	A	0.992895	0.949934	0.943185
15	NonConf	2374550	A	0.976627	0.778714	0.760513
15	Rep	3408454	A	0.982313	0.931795	0.915315
15	Alu	669276	A	0.971161	0.949846	0.922454
2	Total	10000000	A	0.986770	0.944541	0.932045
2	Exome	83464	A	0.992332	0.949290	0.942011
2	NonConf	2374550	A	0.975289	0.776195	0.757014
2	Rep	3408454	A	0.981228	0.930706	0.913235
2	Alu	669276	A	0.969395	0.949220	0.920169
20	Total	10000000	A	0.987758	0.945167	0.933597
20	Exome	83464	A	0.992871	0.949764	0.942993
20	NonConf	2374550	A	0.976424	0.778809	0.760448
20	Rep	3408454	A	0.982180	0.931845	0.915239
20	Alu	669276	A	0.971033	0.949801	0.922288
30	Total	10000000	A	0.988090	0.945219	0.933962
30	Exome	83464	A	0.993075	0.949702	0.943125
30	NonConf	2374550	A	0.977144	0.779142	0.761334
30	Rep	3408454	A	0.982338	0.932003	0.915542
30	Alu	669276	A	0.971508	0.949713	0.922654
50	Total	10000000	A	0.987954	0.945074	0.933690
50	Exome	83464	A	0.992907	0.949344	0.942610
50	NonConf	2374550	A	0.976692	0.778680	0.760531
50	Rep	3408454	A	0.981739	0.931809	0.914793
50	Alu	669276	A	0.971414	0.949219	0.922084
40	Total	10000000	A	0.988045	0.945151	0.933852
40	Exome	83464	A	0.993063	0.949508	0.942921
40	NonConf	2374550	A	0.977018	0.778941	0.761040
40	Rep	3408454	A	0.982085	0.931901	0.915206
40	Alu	669276	A	0.971647	0.949531	0.922609
70	Total	10000000	A	0.987761	0.944855	0.933291
70	Exome	83464	A	0.992859	0.948653	0.941879
70	NonConf	2374550	A	0.976081	0.778006	0.759396
70	Rep	3408454	A	0.981154	0.931365	0.913813
70	Alu	669276	A	0.970961	0.948651	0.921103
80	Total	10000000	A	0.987651	0.944762	0.933095
80	Exome	83464	A	0.992416	0.948715	0.941520
80	NonConf	2374550	A	0.975790	0.777731	0.758902
80	Rep	3408454	A	0.980877	0.931204	0.913396
80	Alu	669276	A	0.970901	0.948500	0.920900
60	Total	10000000	A	0.987888	0.945060	0.933614
60	Exome	83464	A	0.992943	0.949333	0.942634
60	NonConf	2374550	A	0.976543	0.778638	0.760374
60	Rep	3408454	A	0.981564	0.931787	0.914609
60	Alu	669276	A	0.970970	0.949111	0.921559
90	Total	10000000	A	0.987487	0.944601	0.932782
90	Exome	83464	A	0.992104	0.948723	0.941232
90	NonConf	2374550	A	0.975272	0.777161	0.757943
90	Rep	3408454	A	0.980449	0.930883	0.912683
90	Alu	669276	A	0.970628	0.948139	0.920290
0	Total	10000000	B	0.985066	0.944015	0.929918
0	Exome	83544	B	0.992148	0.950741	0.943275
0	NonConf	2374920	B	0.972038	0.773818	0.752181
0	Rep	3410121	B	0.979428	0.929994	0.910862
0	Alu	669905	B	0.966392	0.947693	0.915843
10	Total	10000000	B	0.988041	0.944970	0.933669
10	Exome	83544	B	0.993261	0.950675	0.944269
10	NonConf	2374920	B	0.977171	0.778179	0.760414
10	Rep	3410121	B	0.982670	0.931575	0.915431
10	Alu	669905	B	0.971817	0.949097	0.922349
8	Total	10000000	B	0.988051	0.944961	0.933670
8	Exome	83544	B	0.993285	0.950906	0.944520
8	NonConf	2374920	B	0.977236	0.778149	0.760435
8	Rep	3410121	B	0.982713	0.931566	0.915463
8	Alu	669905	B	0.971886	0.949139	0.922455
2	Total	10000000	B	0.987055	0.944478	0.932251
2	Exome	83544	B	0.992698	0.950756	0.943814
2	NonConf	2374920	B	0.975862	0.776081	0.757348
2	Rep	3410121	B	0.981620	0.930739	0.913632
2	Alu	669905	B	0.970144	0.948511	0.920192
6	Total	10000000	B	0.988016	0.944919	0.933595
6	Exome	83544	B	0.993249	0.951036	0.944616
6	NonConf	2374920	B	0.977229	0.777974	0.760258
6	Rep	3410121	B	0.982712	0.931491	0.915388
6	Alu	669905	B	0.971857	0.949164	0.922452
4	Total	10000000	B	0.987768	0.944762	0.933205
4	Exome	83544	B	0.993022	0.950953	0.944317
4	NonConf	2374920	B	0.976939	0.777321	0.759395
4	Rep	3410121	B	0.982450	0.931221	0.914878
4	Alu	669905	B	0.971430	0.948937	0.921826
15	Total	10000000	B	0.987981	0.944972	0.933615
15	Exome	83544	B	0.993333	0.950583	0.944245
15	NonConf	2374920	B	0.976999	0.778180	0.760281
15	Rep	3410121	B	0.982531	0.931579	0.915304
15	Alu	669905	B	0.971656	0.949049	0.922149
20	Total	10000000	B	0.987913	0.944980	0.933558
20	Exome	83544	B	0.993321	0.950558	0.944209
20	NonConf	2374920	B	0.976817	0.778215	0.760174
20	Rep	3410121	B	0.982412	0.931582	0.915197
20	Alu	669905	B	0.971530	0.948973	0.921956
30	Total	10000000	B	0.988198	0.945037	0.933884
30	Exome	83544	B	0.993321	0.950546	0.944197
30	NonConf	2374920	B	0.977433	0.778558	0.760988
30	Rep	3410121	B	0.982489	0.931736	0.915421
30	Alu	669905	B	0.971899	0.949022	0.922353
40	Total	10000000	B	0.988117	0.944984	0.933755
40	Exome	83544	B	0.993237	0.950397	0.943970
40	NonConf	2374920	B	0.977198	0.778424	0.760674
40	Rep	3410121	B	0.982166	0.931627	0.915012
40	Alu	669905	B	0.971842	0.948713	0.921999
50	Total	10000000	B	0.988002	0.944889	0.933552
50	Exome	83544	B	0.993225	0.949770	0.943335
50	NonConf	2374920	B	0.976782	0.778093	0.760027
50	Rep	3410121	B	0.981780	0.931506	0.914534
50	Alu	669905	B	0.971488	0.948531	0.921487
80	Total	10000000	B	0.987670	0.944575	0.932929
80	Exome	83544	B	0.992567	0.949363	0.942306
80	NonConf	2374920	B	0.975767	0.777094	0.758262
80	Rep	3410121	B	0.980866	0.930888	0.913076
80	Alu	669905	B	0.970742	0.947804	0.920074
70	Total	10000000	B	0.987795	0.944670	0.933140
70	Exome	83544	B	0.993225	0.949011	0.942581
70	NonConf	2374920	B	0.976121	0.777425	0.758861
70	Rep	3410121	B	0.981195	0.931080	0.913571
70	Alu	669905	B	0.971056	0.948038	0.920598
60	Total	10000000	B	0.987931	0.944880	0.933477
60	Exome	83544	B	0.993213	0.949733	0.943287
60	NonConf	2374920	B	0.976637	0.778065	0.759887
60	Rep	3410121	B	0.981614	0.931477	0.914351
60	Alu	669905	B	0.971112	0.948493	0.921093
90	Total	10000000	B	0.987520	0.944424	0.932637
90	Exome	83544	B	0.992387	0.948980	0.941755
90	NonConf	2374920	B	0.975284	0.776554	0.757361
90	Rep	3410121	B	0.980402	0.930604	0.912366
90	Alu	669905	B	0.970296	0.947485	0.919341
