Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	7593243	A	0.967668	0.995708	0.963514
0	1	30500	A	0.916951	0.997390	0.914557
0	2	645	A	0.827907	0.985019	0.815504
0	3	43	A	0.558140	1.000000	0.558140
0	4	2	A	0.000000	-1.000000	0.000000
8	0	7593243	A	0.971166	0.995777	0.967065
8	1	30500	A	0.934984	0.997651	0.932787
8	2	645	A	0.885271	0.994746	0.880620
8	3	43	A	0.720930	1.000000	0.720930
8	4	2	A	0.000000	-1.000000	0.000000
2	0	7593243	A	0.969722	0.995741	0.965592
2	1	30500	A	0.922361	0.997441	0.920000
2	2	645	A	0.826357	0.984991	0.813953
2	3	43	A	0.558140	1.000000	0.558140
2	4	2	A	0.000000	-1.000000	0.000000
15	0	7593243	A	0.971122	0.995775	0.967019
15	1	30500	A	0.949279	0.997859	0.947246
15	2	645	A	0.922481	0.994958	0.917829
15	3	43	A	0.720930	1.000000	0.720930
15	4	2	A	0.000000	-1.000000	0.000000
10	0	7593243	A	0.971161	0.995775	0.967058
10	1	30500	A	0.941607	0.997876	0.939607
10	2	645	A	0.908527	0.994881	0.903876
10	3	43	A	0.720930	1.000000	0.720930
10	4	2	A	0.000000	-1.000000	0.000000
20	0	7593243	A	0.971072	0.995785	0.966980
20	1	30500	A	0.951311	0.997863	0.949279
20	2	645	A	0.924031	0.994966	0.919380
20	3	43	A	0.720930	1.000000	0.720930
20	4	2	A	0.000000	-1.000000	0.000000
4	0	7593243	A	0.970699	0.995761	0.966584
4	1	30500	A	0.924820	0.997518	0.922525
4	2	645	A	0.827907	0.985019	0.815504
4	3	43	A	0.558140	1.000000	0.558140
4	4	2	A	0.000000	-1.000000	0.000000
6	0	7593243	A	0.971080	0.995771	0.966973
6	1	30500	A	0.926131	0.997522	0.923836
6	2	645	A	0.832558	0.985102	0.820155
6	3	43	A	0.558140	1.000000	0.558140
6	4	2	A	0.000000	-1.000000	0.000000
30	0	7593243	A	0.970967	0.995800	0.966889
30	1	30500	A	0.952361	0.997866	0.950328
30	2	645	A	0.924031	0.994966	0.919380
30	3	43	A	0.697674	1.000000	0.697674
30	4	2	A	0.000000	-1.000000	0.000000
40	0	7593243	A	0.970808	0.995827	0.966757
40	1	30500	A	0.951803	0.997864	0.949770
40	2	645	A	0.924031	0.994966	0.919380
40	3	43	A	0.697674	1.000000	0.697674
40	4	2	A	0.000000	-1.000000	0.000000
0	0	7598108	B	0.967935	0.995747	0.963819
0	1	25875	B	0.918300	0.996886	0.915440
0	2	358	B	0.796089	0.989474	0.787709
0	3	36	B	0.638889	1.000000	0.638889
60	0	7593243	A	0.970695	0.995808	0.966626
60	1	30500	A	0.958000	0.998015	0.956098
60	2	645	A	0.937984	0.995041	0.933333
60	3	43	A	0.790698	1.000000	0.790698
60	4	2	A	1.000000	1.000000	1.000000
70	0	7593243	A	0.970549	0.995762	0.966436
70	1	30500	A	0.959410	0.998189	0.957672
70	2	645	A	0.945736	0.995082	0.941085
70	3	43	A	0.837209	1.000000	0.837209
70	4	2	A	1.000000	1.000000	1.000000
50	0	7593243	A	0.970771	0.995795	0.966688
50	1	30500	A	0.957770	0.997980	0.955836
50	2	645	A	0.934884	0.995025	0.930233
