Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	7593243	A	0.967668	0.995708	0.963514
0	1	30500	A	0.916951	0.997390	0.914557
0	2	645	A	0.827907	0.985019	0.815504
0	3	43	A	0.558140	1.000000	0.558140
0	4	2	A	0.000000	-1.000000	0.000000
2	0	7593243	A	0.969748	0.995784	0.965660
2	1	30500	A	0.922131	0.997440	0.919770
2	2	645	A	0.827907	0.985019	0.815504
2	3	43	A	0.558140	1.000000	0.558140
2	4	2	A	0.000000	-1.000000	0.000000
10	0	7593243	A	0.971589	0.995787	0.967495
10	1	30500	A	0.937377	0.997971	0.935475
10	2	645	A	0.889922	0.994774	0.885271
10	3	43	A	0.837209	1.000000	0.837209
10	4	2	A	1.000000	1.000000	1.000000
8	0	7593243	A	0.971569	0.995797	0.967486
8	1	30500	A	0.927410	0.997667	0.925246
8	2	645	A	0.834109	0.985130	0.821705
8	3	43	A	0.558140	1.000000	0.558140
8	4	2	A	0.000000	-1.000000	0.000000
15	0	7593243	A	0.971489	0.995740	0.967350
15	1	30500	A	0.954984	0.998798	0.953836
15	2	645	A	0.941085	0.995058	0.936434
15	3	43	A	0.860465	1.000000	0.860465
15	4	2	A	1.000000	1.000000	1.000000
20	0	7593243	A	0.971380	0.995699	0.967202
20	1	30500	A	0.960098	0.998771	0.958918
20	2	645	A	0.950388	0.998369	0.948837
20	3	43	A	0.860465	1.000000	0.860465
20	4	2	A	1.000000	1.000000	1.000000
4	0	7593243	A	0.970837	0.995799	0.966758
4	1	30500	A	0.925213	0.997484	0.922885
4	2	645	A	0.829457	0.985047	0.817054
4	3	43	A	0.558140	1.000000	0.558140
4	4	2	A	0.000000	-1.000000	0.000000
6	0	7593243	A	0.971372	0.995805	0.967297
6	1	30500	A	0.926590	0.997665	0.924426
6	2	645	A	0.832558	0.985102	0.820155
6	3	43	A	0.558140	1.000000	0.558140
6	4	2	A	0.000000	-1.000000	0.000000
30	0	7593243	A	0.971125	0.995659	0.966909
30	1	30500	A	0.963902	0.998707	0.962656
30	2	645	A	0.956589	0.998379	0.955039
30	3	43	A	0.860465	1.000000	0.860465
30	4	2	A	1.000000	1.000000	1.000000
0	0	7598108	B	0.967935	0.995747	0.963819
0	1	25875	B	0.918300	0.996886	0.915440
0	2	358	B	0.796089	0.989474	0.787709
0	3	36	B	0.638889	1.000000	0.638889
40	0	7593243	A	0.970935	0.995609	0.966671
40	1	30500	A	0.965016	0.998913	0.963967
40	2	645	A	0.964341	1.000000	0.964341
40	3	43	A	0.930233	1.000000	0.930233
40	4	2	A	1.000000	1.000000	1.000000
2	0	7598108	B	0.969940	0.995809	0.965875
2	1	25875	B	0.922705	0.997026	0.919961
2	2	358	B	0.801676	0.986063	0.790503
2	3	36	B	0.638889	1.000000	0.638889
10	0	7598108	B	0.971589	0.995802	0.967510
10	1	25875	B	0.933874	0.997600	0.931633
10	2	358	B	0.874302	1.000000	0.874302
10	3	36	B	0.888889	1.000000	0.888889
8	0	7598108	B	0.971583	0.995814	0.967516
8	1	25875	B	0.926300	0.997163	0.923671
8	2	358	B	0.801676	1.000000	0.801676
8	3	36	B	0.638889	1.000000	0.638889
20	0	7598108	B	0.971379	0.995713	0.967216
20	1	25875	B	0.956870	0.998506	0.955440
