Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	817616	A	0.937586	0.995267	0.933148
0	1	62065	A	0.947265	0.996445	0.943898
2	0	817616	A	0.954252	0.996578	0.950987
2	1	62065	A	0.947942	0.996754	0.944864
4	0	817616	A	0.963228	0.997317	0.960644
4	1	62065	A	0.948457	0.996806	0.945428
6	0	817616	A	0.967688	0.997695	0.965457
6	1	62065	A	0.949070	0.996605	0.945847
10	0	817616	A	0.970100	0.997823	0.967987
10	1	62065	A	0.954918	0.997098	0.952147
8	0	817616	A	0.969648	0.997803	0.967518
8	1	62065	A	0.949247	0.996622	0.946040
20	0	817616	A	0.969919	0.997734	0.967721
20	1	62065	A	0.964908	0.997629	0.962620
60	0	817616	A	0.968529	0.997433	0.966043
60	1	62065	A	0.967905	0.997586	0.965568
50	0	817616	A	0.968686	0.997460	0.966225
50	1	62065	A	0.967856	0.997686	0.965617
80	0	817616	A	0.967899	0.997319	0.965304
80	1	62065	A	0.967695	0.997419	0.965198
90	0	817616	A	0.967839	0.997260	0.965188
90	1	62065	A	0.967582	0.997369	0.965037
40	0	817616	A	0.968830	0.997545	0.966451
40	1	62065	A	0.967937	0.997736	0.965746
15	0	817616	A	0.970039	0.997778	0.967883
15	1	62065	A	0.962459	0.997573	0.960122
30	0	817616	A	0.969469	0.997632	0.967173
30	1	62065	A	0.966825	0.997617	0.964521
70	0	817616	A	0.968248	0.997405	0.965736
70	1	62065	A	0.967840	0.997553	0.965472
0	0	817642	B	0.939722	0.995497	0.935490
0	1	62049	B	0.949862	0.996030	0.946091
2	0	817642	B	0.955712	0.996706	0.952564
2	1	62049	B	0.950620	0.996338	0.947139
4	0	817642	B	0.963971	0.997419	0.961483
4	1	62049	B	0.951135	0.996408	0.947719
6	0	817642	B	0.967965	0.997796	0.965832
6	1	62049	B	0.951554	0.996494	0.948218
10	0	817642	B	0.970083	0.997864	0.968012
10	1	62049	B	0.955632	0.996914	0.952683
8	0	817642	B	0.969734	0.997893	0.967690
8	1	62049	B	0.951554	0.996494	0.948218
20	0	817642	B	0.969887	0.997800	0.967752
20	1	62049	B	0.964963	0.997695	0.962739
60	0	817642	B	0.968560	0.997459	0.966099
60	1	62049	B	0.967977	0.997736	0.965785
40	0	817642	B	0.968827	0.997579	0.966482
40	1	62049	B	0.967929	0.997702	0.965705
90	0	817642	B	0.967859	0.997278	0.965224
90	1	62049	B	0.967800	0.997502	0.965382
30	0	817642	B	0.969422	0.997661	0.967154
30	1	62049	B	0.967123	0.997750	0.964947
50	0	817642	B	0.968684	0.997525	0.966287
50	1	62049	B	0.967784	0.997635	0.965495
70	0	817642	B	0.968245	0.997438	0.965765
70	1	62049	B	0.967977	0.997686	0.965737
15	0	817642	B	0.970004	0.997831	0.967900
15	1	62049	B	0.962530	0.997421	0.960048
80	0	817642	B	0.967941	0.997335	0.965361
80	1	62049	B	0.967751	0.997768	0.965592
