Pct	DelSNPs	Total	Hap	Aligned	Correct	Overall
0	0	9997164	A	0.984719	0.944003	0.929578
0	1	2629	A	0.976037	1.000000	0.976037
0	2	177	A	0.915254	1.000000	0.915254
0	3	28	A	0.750000	1.000000	0.750000
0	4	2	A	0.500000	1.000000	0.500000
10	0	9997164	A	0.988780	0.945324	0.934717
10	1	2629	A	0.990871	1.000000	0.990871
10	2	177	A	0.988701	1.000000	0.988701
10	3	28	A	1.000000	1.000000	1.000000
10	4	2	A	1.000000	1.000000	1.000000
2	0	9997164	A	0.986923	0.944694	0.932340
2	1	2629	A	0.982883	1.000000	0.982883
2	2	177	A	0.943503	1.000000	0.943503
2	3	28	A	0.857143	1.000000	0.857143
2	4	2	A	1.000000	1.000000	1.000000
15	0	9997164	A	0.988658	0.945281	0.934560
15	1	2629	A	0.991632	1.000000	0.991632
15	2	177	A	0.988701	1.000000	0.988701
15	3	28	A	1.000000	1.000000	1.000000
15	4	2	A	1.000000	1.000000	1.000000
8	0	9997164	A	0.988743	0.945324	0.934682
8	1	2629	A	0.989730	1.000000	0.989730
8	2	177	A	0.988701	1.000000	0.988701
8	3	28	A	1.000000	1.000000	1.000000
8	4	2	A	1.000000	1.000000	1.000000
6	0	9997164	A	0.988540	0.945233	0.934401
6	1	2629	A	0.988589	1.000000	0.988589
6	2	177	A	0.988701	1.000000	0.988701
6	3	28	A	1.000000	1.000000	1.000000
6	4	2	A	1.000000	1.000000	1.000000
4	0	9997164	A	0.988012	0.945061	0.933732
4	1	2629	A	0.985926	1.000000	0.985926
4	2	177	A	0.960452	1.000000	0.960452
4	3	28	A	0.964286	1.000000	0.964286
4	4	2	A	1.000000	1.000000	1.000000
60	0	9997164	A	0.987489	0.944509	0.932692
60	1	2629	A	0.990110	1.000000	0.990110
60	2	177	A	0.994350	1.000000	0.994350
60	3	28	A	1.000000	1.000000	1.000000
60	4	2	A	1.000000	1.000000	1.000000
50	0	9997164	A	0.987672	0.944655	0.933010
50	1	2629	A	0.989730	1.000000	0.989730
50	2	177	A	0.994350	1.000000	0.994350
50	3	28	A	1.000000	1.000000	1.000000
50	4	2	A	1.000000	1.000000	1.000000
20	0	9997164	A	0.988511	0.945165	0.934306
20	1	2629	A	0.991251	1.000000	0.991251
20	2	177	A	0.988701	1.000000	0.988701
20	3	28	A	1.000000	1.000000	1.000000
20	4	2	A	1.000000	1.000000	1.000000
30	0	9997164	A	0.988211	0.945023	0.933882
30	1	2629	A	0.990871	1.000000	0.990871
30	2	177	A	0.994350	1.000000	0.994350
30	3	28	A	1.000000	1.000000	1.000000
30	4	2	A	1.000000	1.000000	1.000000
40	0	9997164	A	0.987932	0.944821	0.933419
40	1	2629	A	0.990491	1.000000	0.990491
40	2	177	A	0.994350	1.000000	0.994350
40	3	28	A	1.000000	1.000000	1.000000
40	4	2	A	1.000000	1.000000	1.000000
90	0	9997164	A	0.986941	0.944244	0.931914
90	1	2629	A	0.990491	1.000000	0.990491
90	2	177	A	0.994350	1.000000	0.994350
90	3	28	A	1.000000	1.000000	1.000000
90	4	2	A	1.000000	1.000000	1.000000
80	0	9997164	A	0.987070	0.944296	0.932087
80	1	2629	A	0.990491	1.000000	0.990491
80	2	177	A	0.994350	1.000000	0.994350
80	3	28	A	1.000000	1.000000	1.000000
80	4	2	A	1.000000	1.000000	1.000000
0	0	9997058	B	0.985070	0.943999	0.929905
0	1	2727	B	0.976898	1.000000	0.976898
0	2	186	B	0.946237	1.000000	0.946237
0	3	26	B	0.884615	1.000000	0.884615
0	4	3	B	0.000000	-1.000000	0.000000
2	0	9997058	B	0.987180	0.944604	0.932494
2	1	2727	B	0.986799	1.000000	0.986799
2	2	186	B	0.967742	1.000000	0.967742
2	3	26	B	1.000000	1.000000	1.000000
2	4	3	B	1.000000	1.000000	1.000000
10	0	9997058	B	0.988825	0.945145	0.934584
10	1	2727	B	0.993766	1.000000	0.993766
10	2	186	B	0.994624	1.000000	0.994624
10	3	26	B	1.000000	1.000000	1.000000
10	4	3	B	1.000000	1.000000	1.000000
8	0	9997058	B	0.988797	0.945147	0.934558
8	1	2727	B	0.993033	1.000000	0.993033
8	2	186	B	0.994624	1.000000	0.994624
8	3	26	B	1.000000	1.000000	1.000000
8	4	3	B	1.000000	1.000000	1.000000
15	0	9997058	B	0.988687	0.945090	0.934398
