Pct	Region	Total	Hap	Aligned	Correct	Overall
8	Total	10000000	A	0.969614	0.944009	0.915325
8	Exome	83482	A	0.974677	0.951086	0.927002
8	NonConf	2375567	A	0.960356	0.776317	0.745540
8	Rep	3409405	A	0.962568	0.929326	0.894540
8	Alu	670574	A	0.947567	0.943963	0.894468
10	Total	10000000	A	0.969692	0.944042	0.915430
10	Exome	83482	A	0.974725	0.951064	0.927026
10	NonConf	2375567	A	0.960448	0.776460	0.745749
10	Rep	3409405	A	0.962655	0.929387	0.894678
10	Alu	670574	A	0.947749	0.944043	0.894716
15	Total	10000000	A	0.969716	0.944059	0.915468
15	Exome	83482	A	0.974785	0.951116	0.927134
15	NonConf	2375567	A	0.960457	0.776544	0.745838
15	Rep	3409405	A	0.962678	0.929443	0.894754
15	Alu	670574	A	0.947667	0.944049	0.894644
20	Total	10000000	A	0.969689	0.944068	0.915453
20	Exome	83482	A	0.974797	0.951105	0.927134
20	NonConf	2375567	A	0.960417	0.776571	0.745832
20	Rep	3409405	A	0.962619	0.929447	0.894703
20	Alu	670574	A	0.947617	0.944041	0.894589
6	Total	10000000	A	0.969400	0.943922	0.915038
6	Exome	83482	A	0.974617	0.951059	0.926918
6	NonConf	2375567	A	0.960067	0.775962	0.744975
6	Rep	3409405	A	0.962323	0.929201	0.894191
6	Alu	670574	A	0.947148	0.943867	0.893982
60	Total	10000000	A	0.969383	0.944051	0.915146
60	Exome	83482	A	0.974713	0.950707	0.926667
60	NonConf	2375567	A	0.959850	0.776442	0.745268
60	Rep	3409405	A	0.962091	0.929456	0.894221
60	Alu	670574	A	0.946755	0.944009	0.893745
50	Total	10000000	A	0.969428	0.944052	0.915191
50	Exome	83482	A	0.974605	0.950898	0.926751
50	NonConf	2375567	A	0.959934	0.776460	0.745351
50	Rep	3409405	A	0.962173	0.929445	0.894287
50	Alu	670574	A	0.946901	0.944018	0.893891
40	Total	10000000	A	0.969496	0.944072	0.915273
40	Exome	83482	A	0.974677	0.950791	0.926715
40	NonConf	2375567	A	0.960044	0.776544	0.745516
40	Rep	3409405	A	0.962291	0.929478	0.894428
40	Alu	670574	A	0.947098	0.944084	0.894140
90	Total	10000000	A	0.969141	0.944105	0.914971
90	Exome	83482	A	0.974426	0.951000	0.926679
90	NonConf	2375567	A	0.959326	0.776583	0.744997
90	Rep	3409405	A	0.961636	0.929535	0.893874
90	Alu	670574	A	0.946185	0.944032	0.893229
80	Total	10000000	A	0.969274	0.944069	0.915061
80	Exome	83482	A	0.974545	0.951080	0.926870
80	NonConf	2375567	A	0.959670	0.776512	0.745195
80	Rep	3409405	A	0.961879	0.929460	0.894028
80	Alu	670574	A	0.946398	0.943988	0.893388
70	Total	10000000	A	0.969324	0.944056	0.915097
70	Exome	83482	A	0.974509	0.951103	0.926858
70	NonConf	2375567	A	0.959744	0.776465	0.745208
70	Rep	3409405	A	0.961995	0.929454	0.894130
70	Alu	670574	A	0.946610	0.944000	0.893600
0	Total	10000000	A	0.965726	0.943184	0.910858
0	Exome	83482	A	0.972293	0.950535	0.924199
0	NonConf	2375567	A	0.954941	0.772655	0.737840
0	Rep	3409405	A	0.958761	0.928236	0.889957
0	Alu	670574	A	0.945925	0.943271	0.892264
2	Total	10000000	A	0.967725	0.943501	0.913049
2	Exome	83482	A	0.973911	0.950519	0.925721
2	NonConf	2375567	A	0.957727	0.774136	0.741410
2	Rep	3409405	A	0.960415	0.928568	0.891810
2	Alu	670574	A	0.944559	0.943372	0.891071
20	Total	10000000	B	0.969757	0.944272	0.915715
20	Exome	83490	B	0.974859	0.951039	0.927129
20	NonConf	2375623	B	0.960556	0.777352	0.746691
20	Rep	3409357	B	0.962717	0.929733	0.895069
20	Alu	670528	B	0.947874	0.943950	0.894746
4	Total	10000000	A	0.968850	0.943771	0.914372
4	Exome	83482	A	0.974438	0.950902	0.926595
4	NonConf	2375567	A	0.959252	0.775293	0.743701
4	Rep	3409405	A	0.961682	0.928972	0.893376
4	Alu	670574	A	0.946218	0.943722	0.892966
6	Total	10000000	B	0.969513	0.944165	0.915380
6	Exome	83490	B	0.974656	0.951029	0.926925
6	NonConf	2375623	B	0.960268	0.776897	0.746029
6	Rep	3409357	B	0.962511	0.929491	0.894645
6	Alu	670528	B	0.947470	0.943800	0.894222
10	Total	10000000	B	0.969771	0.944268	0.915723
10	Exome	83490	B	0.974799	0.951048	0.927081
10	NonConf	2375623	B	0.960593	0.777335	0.746703
10	Rep	3409357	B	0.962780	0.929672	0.895070
10	Alu	670528	B	0.947999	0.943924	0.894840
8	Total	10000000	B	0.969712	0.944244	0.915645
8	Exome	83490	B	0.974739	0.951021	0.926997
8	NonConf	2375623	B	0.960532	0.777224	0.746549
8	Rep	3409357	B	0.962727	0.929620	0.894970
8	Alu	670528	B	0.947868	0.943893	0.894686
50	Total	10000000	B	0.969502	0.944293	0.915494
50	Exome	83490	B	0.974692	0.951092	0.927021
50	NonConf	2375623	B	0.960074	0.777405	0.746366
50	Rep	3409357	B	0.962284	0.929764	0.894697
50	Alu	670528	B	0.947166	0.943925	0.894054
15	Total	10000000	B	0.969791	0.944276	0.915750
15	Exome	83490	B	0.974835	0.950964	0.927033
15	NonConf	2375623	B	0.960617	0.777362	0.746747
15	Rep	3409357	B	0.962787	0.929715	0.895118
15	Alu	670528	B	0.947948	0.943958	0.894823
40	Total	10000000	B	0.969569	0.944290	0.915554
40	Exome	83490	B	0.974739	0.950922	0.926901
40	NonConf	2375623	B	0.960194	0.777392	0.746447
40	Rep	3409357	B	0.962398	0.929775	0.894813
40	Alu	670528	B	0.947365	0.943953	0.894268
60	Total	10000000	B	0.969452	0.944296	0.915449
60	Exome	83490	B	0.974775	0.951305	0.927309
60	NonConf	2375623	B	0.959992	0.777385	0.746283
60	Rep	3409357	B	0.962190	0.929787	0.894632
60	Alu	670528	B	0.946996	0.943971	0.893936
30	Total	10000000	A	0.969603	0.944075	0.915378
30	Exome	83482	A	0.974809	0.951216	0.927254
30	NonConf	2375567	A	0.960236	0.776566	0.745687
30	Rep	3409405	A	0.962452	0.929472	0.894572
30	Alu	670574	A	0.947348	0.944069	0.894362
90	Total	10000000	B	0.969215	0.944328	0.915257
90	Exome	83490	B	0.974524	0.951255	0.927021
90	NonConf	2375623	B	0.959480	0.777438	0.745936
90	Rep	3409357	B	0.961748	0.929864	0.894295
90	Alu	670528	B	0.946457	0.943954	0.893412
70	Total	10000000	B	0.969397	0.944292	0.915394
70	Exome	83490	B	0.974608	0.951260	0.927105
70	NonConf	2375623	B	0.959884	0.777379	0.746194
70	Rep	3409357	B	0.962103	0.929776	0.894540
70	Alu	670528	B	0.946876	0.943970	0.893822
80	Total	10000000	B	0.969351	0.944295	0.915353
80	Exome	83490	B	0.974620	0.951260	0.927117
80	NonConf	2375623	B	0.959816	0.777391	0.746152
80	Rep	3409357	B	0.962000	0.929803	0.894470
80	Alu	670528	B	0.946673	0.943920	0.893584
0	Total	10000000	B	0.966085	0.943465	0.911467
0	Exome	83490	B	0.972428	0.950547	0.924338
0	NonConf	2375623	B	0.955547	0.773817	0.739419
0	Rep	3409357	B	0.959236	0.928532	0.890682
0	Alu	670528	B	0.946474	0.943059	0.892580
2	Total	10000000	B	0.968002	0.943789	0.913589
2	Exome	83490	B	0.973997	0.950848	0.926123
2	NonConf	2375623	B	0.958208	0.775286	0.742885
2	Rep	3409357	B	0.960798	0.928919	0.892503
2	Alu	670528	B	0.945066	0.943387	0.891563
4	Total	10000000	B	0.969020	0.944026	0.914780
4	Exome	83490	B	0.974428	0.950907	0.926590
4	NonConf	2375623	B	0.959557	0.776293	0.744897
4	Rep	3409357	B	0.961957	0.929272	0.893920
4	Alu	670528	B	0.946626	0.943659	0.893292
30	Total	10000000	B	0.969669	0.944295	0.915654
30	Exome	83490	B	0.974871	0.951052	0.927153
30	NonConf	2375623	B	0.960376	0.777418	0.746613
30	Rep	3409357	B	0.962557	0.929778	0.894964
30	Alu	670528	B	0.947617	0.943954	0.894507
100	Total	10000000	B	0.968260	0.943501	0.913554
100	Exome	83490	B	0.972907	0.949722	0.923991
100	NonConf	2375623	B	0.956382	0.775019	0.741214
100	Rep	3409357	B	0.958985	0.928295	0.890222
100	Alu	670528	B	0.943916	0.941089	0.888309
100	Total	10000000	A	0.968234	0.943360	0.913393
100	Exome	83482	A	0.972976	0.949487	0.923828
100	NonConf	2375567	A	0.956332	0.774472	0.740652
100	Rep	3409405	A	0.958986	0.928152	0.890085
100	Alu	670574	A	0.943923	0.941193	0.888414
