Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	910654	A	0.965483	0.981711	0.947825
0	1	68635	A	0.970496	0.985227	0.956159
2	0	910654	A	0.976130	0.984660	0.961156
2	1	68635	A	0.973031	0.985730	0.959146
4	0	910654	A	0.982224	0.987526	0.969971
4	1	68635	A	0.974109	0.986120	0.960589
10	0	910654	A	0.988083	0.990860	0.979052
10	1	68635	A	0.977140	0.986879	0.964318
6	0	910654	A	0.985648	0.989251	0.975053
6	1	68635	A	0.974474	0.986394	0.961215
15	0	910654	A	0.988277	0.990999	0.979381
15	1	68635	A	0.981875	0.988544	0.970627
8	0	910654	A	0.987342	0.990383	0.977847
8	1	68635	A	0.974692	0.986487	0.961521
20	0	910654	A	0.988168	0.990992	0.979267
20	1	68635	A	0.982662	0.988895	0.971749
30	0	910654	A	0.987815	0.990967	0.978892
30	1	68635	A	0.983624	0.989291	0.973090
80	0	910654	A	0.986900	0.990809	0.977829
80	1	68635	A	0.985940	0.990099	0.976178
70	0	910654	A	0.987057	0.990844	0.978019
70	1	68635	A	0.985838	0.989965	0.975945
60	0	910654	A	0.987221	0.990884	0.978222
60	1	68635	A	0.985707	0.989698	0.975552
90	0	910654	A	0.986807	0.990755	0.977684
90	1	68635	A	0.986130	0.990057	0.976324
40	0	910654	A	0.987545	0.990943	0.978601
40	1	68635	A	0.984673	0.989435	0.974270
50	0	910654	A	0.987361	0.990898	0.978374
50	1	68635	A	0.985299	0.989767	0.975217
0	0	910755	B	0.967286	0.982873	0.950720
0	1	69176	B	0.973676	0.985747	0.959798
6	0	910755	B	0.986125	0.989481	0.975752
6	1	69176	B	0.976784	0.986710	0.963802
4	0	910755	B	0.983056	0.987994	0.971254
4	1	69176	B	0.976379	0.986394	0.963094
2	0	910755	B	0.977644	0.985629	0.963594
2	1	69176	B	0.975613	0.986131	0.962082
8	0	910755	B	0.987497	0.990588	0.978203
8	1	69176	B	0.977304	0.986791	0.964395
10	0	910755	B	0.988196	0.990967	0.979269
10	1	69176	B	0.978591	0.987148	0.966014
15	0	910755	B	0.988316	0.991110	0.979530
15	1	69176	B	0.982870	0.989190	0.972245
20	0	910755	B	0.988176	0.991104	0.979385
20	1	69176	B	0.983940	0.989642	0.973748
80	0	910755	B	0.987149	0.990877	0.978143
80	1	69176	B	0.986585	0.991062	0.977767
30	0	910755	B	0.987835	0.991033	0.978978
30	1	69176	B	0.984807	0.990459	0.975411
60	0	910755	B	0.987376	0.990924	0.978415
60	1	69176	B	0.986397	0.991031	0.977550
70	0	910755	B	0.987224	0.990903	0.978243
70	1	69176	B	0.986570	0.991047	0.977738
90	0	910755	B	0.986998	0.990883	0.978000
90	1	69176	B	0.986730	0.991122	0.977969
40	0	910755	B	0.987545	0.991002	0.978659
40	1	69176	B	0.985443	0.990714	0.976292
50	0	910755	B	0.987434	0.990945	0.978493
50	1	69176	B	0.986224	0.990824	0.977174
