Pct	DelSNPs	Total	Hap	Aligned	Correct	Overall
0	0	9997164	A	0.984719	0.944003	0.929578
0	1	2629	A	0.976037	1.000000	0.976037
0	2	177	A	0.915254	1.000000	0.915254
0	3	28	A	0.750000	1.000000	0.750000
0	4	2	A	0.500000	1.000000	0.500000
4	0	9997164	A	0.987946	0.945040	0.933648
4	1	2629	A	0.985165	1.000000	0.985165
4	2	177	A	0.954802	1.000000	0.954802
4	3	28	A	0.964286	1.000000	0.964286
4	4	2	A	1.000000	1.000000	1.000000
2	0	9997164	A	0.986868	0.944684	0.932279
2	1	2629	A	0.982883	1.000000	0.982883
2	2	177	A	0.943503	1.000000	0.943503
2	3	28	A	0.857143	1.000000	0.857143
2	4	2	A	1.000000	1.000000	1.000000
6	0	9997164	A	0.988489	0.945231	0.934350
6	1	2629	A	0.988969	1.000000	0.988969
6	2	177	A	0.988701	1.000000	0.988701
6	3	28	A	1.000000	1.000000	1.000000
6	4	2	A	1.000000	1.000000	1.000000
15	0	9997164	A	0.988673	0.945292	0.934584
15	1	2629	A	0.991251	1.000000	0.991251
15	2	177	A	0.988701	1.000000	0.988701
15	3	28	A	1.000000	1.000000	1.000000
15	4	2	A	1.000000	1.000000	1.000000
8	0	9997164	A	0.988718	0.945316	0.934651
8	1	2629	A	0.989730	1.000000	0.989730
8	2	177	A	0.988701	1.000000	0.988701
8	3	28	A	1.000000	1.000000	1.000000
8	4	2	A	1.000000	1.000000	1.000000
10	0	9997164	A	0.988776	0.945336	0.934726
10	1	2629	A	0.990871	1.000000	0.990871
10	2	177	A	0.988701	1.000000	0.988701
10	3	28	A	1.000000	1.000000	1.000000
10	4	2	A	1.000000	1.000000	1.000000
20	0	9997164	A	0.988534	0.945199	0.934360
20	1	2629	A	0.991251	1.000000	0.991251
20	2	177	A	0.988701	1.000000	0.988701
20	3	28	A	1.000000	1.000000	1.000000
20	4	2	A	1.000000	1.000000	1.000000
30	0	9997164	A	0.988247	0.945076	0.933968
30	1	2629	A	0.990871	1.000000	0.990871
30	2	177	A	0.994350	1.000000	0.994350
30	3	28	A	1.000000	1.000000	1.000000
30	4	2	A	1.000000	1.000000	1.000000
40	0	9997164	A	0.987997	0.944870	0.933529
40	1	2629	A	0.990110	1.000000	0.990110
40	2	177	A	0.994350	1.000000	0.994350
40	3	28	A	1.000000	1.000000	1.000000
40	4	2	A	1.000000	1.000000	1.000000
50	0	9997164	A	0.987804	0.944735	0.933213
50	1	2629	A	0.990871	1.000000	0.990871
50	2	177	A	0.994350	1.000000	0.994350
50	3	28	A	1.000000	1.000000	1.000000
50	4	2	A	1.000000	1.000000	1.000000
60	0	9997164	A	0.987632	0.944626	0.932943
60	1	2629	A	0.990110	1.000000	0.990110
60	2	177	A	0.994350	1.000000	0.994350
60	3	28	A	1.000000	1.000000	1.000000
60	4	2	A	1.000000	1.000000	1.000000
70	0	9997164	A	0.987522	0.944542	0.932757
70	1	2629	A	0.990871	1.000000	0.990871
70	2	177	A	0.994350	1.000000	0.994350
70	3	28	A	1.000000	1.000000	1.000000
70	4	2	A	1.000000	1.000000	1.000000
80	0	9997164	A	0.987413	0.944484	0.932595
80	1	2629	A	0.990871	1.000000	0.990871
80	2	177	A	0.994350	1.000000	0.994350
80	3	28	A	1.000000	1.000000	1.000000
80	4	2	A	1.000000	1.000000	1.000000
90	0	9997164	A	0.987232	0.944379	0.932321
90	1	2629	A	0.991251	1.000000	0.991251
90	2	177	A	0.994350	1.000000	0.994350
90	3	28	A	1.000000	1.000000	1.000000
90	4	2	A	1.000000	1.000000	1.000000
0	0	9997058	B	0.985070	0.943999	0.929905
0	1	2727	B	0.976898	1.000000	0.976898
0	2	186	B	0.946237	1.000000	0.946237
0	3	26	B	0.884615	1.000000	0.884615
0	4	3	B	0.000000	-1.000000	0.000000
4	0	9997058	B	0.988120	0.944901	0.933675
4	1	2727	B	0.988999	1.000000	0.988999
4	2	186	B	0.978495	1.000000	0.978495
4	3	26	B	1.000000	1.000000	1.000000
4	4	3	B	1.000000	1.000000	1.000000
8	0	9997058	B	0.988771	0.945143	0.934530
8	1	2727	B	0.993033	1.000000	0.993033
8	2	186	B	0.994624	1.000000	0.994624
8	3	26	B	1.000000	1.000000	1.000000
8	4	3	B	1.000000	1.000000	1.000000
2	0	9997058	B	0.987139	0.944591	0.932443
