Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	910654	A	0.965483	0.981711	0.947825
0	1	68635	A	0.970496	0.985227	0.956159
6	0	910654	A	0.983767	0.989572	0.973508
6	1	68635	A	0.974255	0.986286	0.960895
4	0	910654	A	0.981625	0.987924	0.969771
4	1	68635	A	0.973993	0.986133	0.960487
10	0	910654	A	0.984131	0.990051	0.974340
10	1	68635	A	0.978903	0.988004	0.967160
8	0	910654	A	0.984122	0.990033	0.974314
8	1	68635	A	0.977446	0.987390	0.965120
15	0	910654	A	0.984063	0.990027	0.974249
15	1	68635	A	0.980258	0.988392	0.968879
2	0	910654	A	0.976254	0.984975	0.961586
2	1	68635	A	0.973075	0.985866	0.959321
20	0	910654	A	0.984002	0.990005	0.974167
20	1	68635	A	0.980272	0.988496	0.968995
30	0	910654	A	0.985796	0.990680	0.976608
30	1	68635	A	0.982574	0.989161	0.971924
50	0	910654	A	0.985972	0.991178	0.977273
50	1	68635	A	0.983318	0.989999	0.973483
40	0	910654	A	0.985787	0.990871	0.976788
40	1	68635	A	0.983084	0.989670	0.972929
70	0	910654	A	0.985995	0.991514	0.977627
70	1	68635	A	0.984265	0.990171	0.974590
80	0	910654	A	0.985995	0.991538	0.977651
80	1	68635	A	0.984527	0.990514	0.975188
60	0	910654	A	0.985871	0.991150	0.977146
60	1	68635	A	0.983711	0.990328	0.974197
90	0	910654	A	0.986062	0.991679	0.977857
90	1	68635	A	0.985226	0.990609	0.975974
0	0	910755	B	0.967286	0.982873	0.950720
0	1	69176	B	0.973676	0.985747	0.959798
10	0	910755	B	0.984679	0.990119	0.974949
10	1	69176	B	0.980210	0.988615	0.969050
8	0	910755	B	0.984692	0.990105	0.974948
8	1	69176	B	0.978663	0.987814	0.966737
2	0	910755	B	0.977789	0.985830	0.963933
2	1	69176	B	0.975613	0.986205	0.962155
6	0	910755	B	0.984412	0.989736	0.974308
6	1	69176	B	0.976625	0.986752	0.963687
4	0	910755	B	0.982490	0.988269	0.970965
4	1	69176	B	0.976263	0.986599	0.963181
15	0	910755	B	0.984603	0.990091	0.974846
15	1	69176	B	0.981063	0.989199	0.970467
20	0	910755	B	0.984572	0.990062	0.974788
20	1	69176	B	0.981121	0.989244	0.970568
30	0	910755	B	0.986131	0.990706	0.976966
30	1	69176	B	0.983679	0.990080	0.973922
40	0	910755	B	0.986056	0.990943	0.977124
40	1	69176	B	0.983968	0.990539	0.974659
50	0	910755	B	0.986133	0.991155	0.977411
50	1	69176	B	0.984070	0.990701	0.974919
80	0	910755	B	0.986187	0.991468	0.977773
80	1	69176	B	0.985298	0.991300	0.976726
70	0	910755	B	0.986213	0.991406	0.977737
70	1	69176	B	0.984706	0.991265	0.976104
60	0	910755	B	0.986125	0.991082	0.977331
60	1	69176	B	0.984315	0.990836	0.975295
90	0	910755	B	0.986275	0.991575	0.977966
90	1	69176	B	0.985631	0.991523	0.977275
