Pct	Region	Total	Hap	Aligned	Correct	Overall
0	Total	8380607	A	0.988460	0.998078	0.986559
0	Exome	73785	A	0.993007	0.996219	0.989253
0	NonConf	1182366	A	0.977696	0.990360	0.968270
0	Rep	2673976	A	0.983728	0.995122	0.978930
0	Alu	560203	A	0.967464	0.995212	0.962831
8	Total	8380607	A	0.990941	0.998137	0.989094
8	Exome	73785	A	0.994023	0.996223	0.990269
8	NonConf	1182366	A	0.983393	0.990695	0.974242
8	Rep	2673976	A	0.986636	0.995251	0.981951
8	Alu	560203	A	0.971580	0.995317	0.967030
20	Total	8380607	A	0.990992	0.998148	0.989157
20	Exome	73785	A	0.993969	0.996209	0.990201
20	NonConf	1182366	A	0.983502	0.990762	0.974416
20	Rep	2673976	A	0.986689	0.995269	0.982020
20	Alu	560203	A	0.971632	0.995326	0.967091
15	Total	8380607	A	0.991007	0.998146	0.989169
15	Exome	73785	A	0.993983	0.996182	0.990188
15	NonConf	1182366	A	0.983542	0.990757	0.974451
15	Rep	2673976	A	0.986716	0.995271	0.982050
15	Alu	560203	A	0.971725	0.995330	0.967187
90	Total	8380607	A	0.990703	0.998169	0.988889
90	Exome	73785	A	0.993833	0.995950	0.989808
90	NonConf	1182366	A	0.982799	0.990917	0.973872
90	Rep	2673976	A	0.986160	0.995318	0.981543
90	Alu	560203	A	0.970570	0.995314	0.966021
80	Total	8380607	A	0.990745	0.998167	0.988929
80	Exome	73785	A	0.993861	0.996032	0.989917
80	NonConf	1182366	A	0.982933	0.990893	0.973981
80	Rep	2673976	A	0.986248	0.995317	0.981629
80	Alu	560203	A	0.970720	0.995335	0.966191
70	Total	8380607	A	0.990779	0.998161	0.988957
70	Exome	73785	A	0.993901	0.996155	0.990079
70	NonConf	1182366	A	0.982987	0.990857	0.974000
70	Rep	2673976	A	0.986320	0.995299	0.981683
70	Alu	560203	A	0.970934	0.995328	0.966398
2	Total	8380607	A	0.989845	0.998094	0.987959
2	Exome	73785	A	0.993535	0.996276	0.989835
2	NonConf	1182366	A	0.980886	0.990458	0.971526
2	Rep	2673976	A	0.985248	0.995159	0.980479
2	Alu	560203	A	0.969156	0.995250	0.964552
