Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
0	0	817616	A	0.937586	0.995267	0.933148
0	1	62065	A	0.947265	0.996445	0.943898
2	0	817616	A	0.952431	0.995301	0.947956
2	1	62065	A	0.947877	0.996311	0.944381
6	0	817616	A	0.964834	0.995681	0.960667
6	1	62065	A	0.949005	0.996520	0.945702
4	0	817616	A	0.961127	0.995513	0.956815
4	1	62065	A	0.948457	0.996348	0.944993
20	0	817616	A	0.965977	0.995817	0.961936
20	1	62065	A	0.961540	0.996716	0.958382
40	0	817616	A	0.965069	0.995810	0.961026
40	1	62065	A	0.961879	0.996784	0.958785
15	0	817616	A	0.966002	0.995818	0.961963
15	1	62065	A	0.960477	0.996712	0.957319
10	0	817616	A	0.965967	0.995785	0.961895
10	1	62065	A	0.956465	0.996681	0.953291
80	0	817616	A	0.966614	0.996427	0.963160
80	1	62065	A	0.965601	0.996963	0.962668
70	0	817616	A	0.966674	0.996356	0.963151
70	1	62065	A	0.964876	0.996978	0.961959
60	0	817616	A	0.966215	0.996059	0.962408
60	1	62065	A	0.963973	0.997075	0.961154
8	0	817616	A	0.965859	0.995758	0.961762
8	1	62065	A	0.953114	0.996636	0.949907
30	0	817616	A	0.965768	0.995822	0.961733
30	1	62065	A	0.962153	0.996735	0.959011
50	0	817616	A	0.966297	0.996072	0.962502
50	1	62065	A	0.963989	0.997159	0.961250
90	0	817616	A	0.967013	0.996718	0.963839
90	1	62065	A	0.966745	0.997050	0.963893
0	0	817642	B	0.939722	0.995497	0.935490
0	1	62049	B	0.949862	0.996030	0.946091
6	0	817642	B	0.965332	0.995920	0.961394
6	1	62049	B	0.951345	0.996256	0.947783
2	0	817642	B	0.954101	0.995558	0.949863
2	1	62049	B	0.950410	0.996049	0.946655
40	0	817642	B	0.965569	0.996032	0.961738
40	1	62049	B	0.961998	0.996599	0.958726
8	0	817642	B	0.966336	0.995994	0.962465
8	1	62049	B	0.954069	0.996402	0.950636
70	0	817642	B	0.966748	0.996531	0.963395
70	1	62049	B	0.965414	0.997012	0.962530
80	0	817642	B	0.966720	0.996608	0.963441
80	1	62049	B	0.966027	0.997064	0.963190
30	0	817642	B	0.966249	0.996055	0.962437
30	1	62049	B	0.961901	0.996599	0.958629
20	0	817642	B	0.966434	0.996039	0.962606
20	1	62049	B	0.961772	0.996582	0.958484
4	0	817642	B	0.961992	0.995766	0.957919
4	1	62049	B	0.950974	0.996085	0.947251
10	0	817642	B	0.966446	0.996011	0.962591
10	1	62049	B	0.957389	0.996431	0.953972
15	0	817642	B	0.966469	0.996032	0.962634
15	1	62049	B	0.960531	0.996527	0.957195
60	0	817642	B	0.966440	0.996204	0.962771
60	1	62049	B	0.964270	0.996858	0.961240
90	0	817642	B	0.967157	0.996869	0.964129
90	1	62049	B	0.967026	0.997183	0.964302
50	0	817642	B	0.966528	0.996228	0.962882
50	1	62049	B	0.964254	0.996808	0.961176
