Pct	RareSNPs	Total	Hap	Aligned	Correct	Overall
4	0	912219	A	0.960221	0.987101	0.947835
4	1	69145	A	0.946576	0.985608	0.932952
20	0	912219	A	0.968289	0.990290	0.958887
20	1	69145	A	0.961501	0.988930	0.950857
50	0	912219	A	0.967153	0.990092	0.957570
50	1	69145	A	0.965073	0.989915	0.955340
60	0	912219	A	0.966952	0.990109	0.957387
60	1	69145	A	0.965753	0.990056	0.956150
70	0	912219	A	0.966783	0.990098	0.957210
70	1	69145	A	0.966042	0.990000	0.956382
80	0	912219	A	0.966592	0.990059	0.956984
80	1	69145	A	0.966274	0.990226	0.956830
30	0	912219	A	0.967886	0.990245	0.958444
30	1	69145	A	0.963323	0.989596	0.953301
90	0	912219	A	0.966421	0.990042	0.956798
90	1	69145	A	0.966577	0.990215	0.957119
8	0	912219	A	0.967688	0.989869	0.957884
8	1	69145	A	0.947849	0.985886	0.934471
15	0	912219	A	0.968516	0.990302	0.959124
15	1	69145	A	0.959592	0.988440	0.948500
40	0	912219	A	0.967450	0.990173	0.957942
40	1	69145	A	0.964582	0.989685	0.954632
2	0	912219	A	0.950794	0.984098	0.935674
2	1	69145	A	0.945853	0.985490	0.932128
6	0	912219	A	0.965315	0.988929	0.954628
6	1	69145	A	0.947502	0.985744	0.933994
10	0	912219	A	0.968407	0.990205	0.958921
10	1	69145	A	0.952954	0.987085	0.940646
4	0	912257	B	0.961078	0.987620	0.949180
4	1	69127	B	0.949253	0.985599	0.935582
20	0	912257	B	0.968217	0.990412	0.958934
20	1	69127	B	0.961390	0.989286	0.951090
60	0	912257	B	0.967028	0.990214	0.957565
60	1	69127	B	0.965194	0.990303	0.955835
80	0	912257	B	0.966688	0.990112	0.957129
80	1	69127	B	0.965990	0.990326	0.956645
15	0	912257	B	0.968434	0.990410	0.959147
15	1	69127	B	0.959336	0.988992	0.948775
40	0	912257	B	0.967423	0.990252	0.957992
40	1	69127	B	0.963603	0.989822	0.953795
50	0	912257	B	0.967127	0.990200	0.957649
50	1	69127	B	0.964428	0.990115	0.954895
30	0	912257	B	0.967818	0.990350	0.958479
30	1	69127	B	0.962837	0.989813	0.953028
2	0	912257	B	0.952361	0.985053	0.938126
2	1	69127	B	0.948775	0.985393	0.934917
70	0	912257	B	0.966780	0.990140	0.957248
70	1	69127	B	0.965469	0.990231	0.956037
10	0	912257	B	0.968336	0.990389	0.959029
10	1	69127	B	0.953303	0.986555	0.940486
90	0	912257	B	0.966524	0.990088	0.956943
90	1	69127	B	0.966236	0.990298	0.956862
8	0	912257	B	0.967710	0.990155	0.958183
8	1	69127	B	0.949918	0.985913	0.936537
6	0	912257	B	0.965526	0.989204	0.955103
6	1	69127	B	0.949614	0.985863	0.936190
