Pct	Region	Total	Hap	Aligned	Correct	Overall
0	Total	8380607	A	0.988460	0.998078	0.986559
0	Exome	73785	A	0.993007	0.996219	0.989253
0	NonConf	1182366	A	0.977696	0.990360	0.968270
0	Rep	2673976	A	0.983728	0.995122	0.978930
0	Alu	560203	A	0.967464	0.995212	0.962831
6	Total	8380607	A	0.991157	0.998308	0.989480
6	Exome	73785	A	0.993888	0.996114	0.990025
6	NonConf	1182366	A	0.984536	0.991705	0.976369
6	Rep	2673976	A	0.987347	0.995776	0.983176
6	Alu	560203	A	0.974766	0.996242	0.971103
2	Total	8380607	A	0.990028	0.998214	0.988260
2	Exome	73785	A	0.993562	0.996222	0.989808
2	NonConf	1182366	A	0.981782	0.991123	0.973067
2	Rep	2673976	A	0.985875	0.995505	0.981443
2	Alu	560203	A	0.971855	0.995843	0.967815
15	Total	8380607	A	0.991280	0.998256	0.989551
15	Exome	73785	A	0.994010	0.996046	0.990079
15	NonConf	1182366	A	0.984551	0.991616	0.976297
15	Rep	2673976	A	0.987396	0.995646	0.983096
15	Alu	560203	A	0.974868	0.995831	0.970803
30	Total	8380607	A	0.991086	0.998132	0.989235
30	Exome	73785	A	0.993969	0.995841	0.989835
30	NonConf	1182366	A	0.983876	0.991172	0.975190
30	Rep	2673976	A	0.986915	0.995304	0.982280
30	Alu	560203	A	0.973665	0.994896	0.968695
4	Total	8380607	A	0.990792	0.998280	0.989088
4	Exome	73785	A	0.993739	0.996195	0.989957
4	NonConf	1182366	A	0.983694	0.991533	0.975365
4	Rep	2673976	A	0.986897	0.995695	0.982649
4	Alu	560203	A	0.973785	0.996176	0.970061
70	Total	8380607	A	0.990631	0.997904	0.988555
70	Exome	73785	A	0.993346	0.995770	0.989144
70	NonConf	1182366	A	0.982372	0.990433	0.972974
70	Rep	2673976	A	0.985819	0.994673	0.980568
70	Alu	560203	A	0.970762	0.993320	0.964277
100	Total	8380607	A	0.990390	0.997832	0.988243
100	Exome	73785	A	0.992316	0.995930	0.988277
100	NonConf	1182366	A	0.981697	0.990275	0.972150
100	Rep	2673976	A	0.985253	0.994458	0.979793
100	Alu	560203	A	0.969079	0.992765	0.962067
